url	parent	ps	ns	text
http://stanford.edu/search	a			Skip to content
http://stanford.edu/search	span			Search
http://stanford.edu/search	h1			Search Stanford Web
http://stanford.edu/search	span			Search 
http://stanford.edu/search	a			Stanford Web
http://stanford.edu/search	span			Search Stanford 
http://stanford.edu/search	a			People
http://stanford.edu/search	span			Search Stanford 
http://stanford.edu/search	a			Organizations
http://stanford.edu/search	span			Search Stanford 
http://stanford.edu/search	a			Campus Map
http://stanford.edu/search	em			This search form requires Javascript.  To use, please enable Javascript in your browser.
http://stanford.edu/search	a			SU Home
http://stanford.edu/search	a			Maps & Directions
http://stanford.edu/search	a			Search Stanford
http://stanford.edu/search	a			Terms of Use
http://stanford.edu/search	a			Emergency Info
http://stanford.edu/search	span			Stanford University
http://stanford.edu/search	span			Stanford
http://stanford.edu/search	span			California
http://stanford.edu/search	span			94305
http://stanford.edu/search	a			Copyright Complaints
http://stanford.edu/search	a			Trademark Notice
