url	parent	ps	ns	text
http://washington.edu/#main_content	noscript	script		"&lt;img src=""https://ad.doubleclick.net/ddm/activity/src=4532109;type=ip156748;cat=ip1560;ord=1?"" width=""1"" height=""1"" alt="""" style=""display: none;""/&gt;"
http://washington.edu/#main_content	a	div		Skip to main content
http://washington.edu/#main_content	a			University of Washington
http://washington.edu/#main_content	a			University of Washington
http://washington.edu/#main_content	a			Students
http://washington.edu/#main_content	a			Parents
http://washington.edu/#main_content	a			Faculty & Staff
http://washington.edu/#main_content	a			Alumni
http://washington.edu/#main_content	button	button	svg	Quick Links
http://washington.edu/#main_content	a			About
http://washington.edu/#main_content	a			About the UW
http://washington.edu/#main_content	a			Diversity
http://washington.edu/#main_content	a			Global Impact
http://washington.edu/#main_content	a			Innovation
http://washington.edu/#main_content	a			Leadership
http://washington.edu/#main_content	a			Maps
http://washington.edu/#main_content	a			Population Health
http://washington.edu/#main_content	a			Sustainability
http://washington.edu/#main_content	a			Visit
http://washington.edu/#main_content	a			Academics
http://washington.edu/#main_content	a			Academic calendar
http://washington.edu/#main_content	a			Academic departments
http://washington.edu/#main_content	a			Colleges and schools
http://washington.edu/#main_content	a			Course descriptions
http://washington.edu/#main_content	a			Registration
http://washington.edu/#main_content	a			Student guide
http://washington.edu/#main_content	a			Time schedule
http://washington.edu/#main_content	a			Apply
http://washington.edu/#main_content	a			Admissions
http://washington.edu/#main_content	a			Financial Aid
http://washington.edu/#main_content	a			Continuing education
http://washington.edu/#main_content	a			Majors
http://washington.edu/#main_content	a			Student housing
http://washington.edu/#main_content	a			Transfer students
http://washington.edu/#main_content	a			Tuition and fees
http://washington.edu/#main_content	a			Undocumented students
http://washington.edu/#main_content	a			UW Online
http://washington.edu/#main_content	a			News & Events
http://washington.edu/#main_content	a			UW News
http://washington.edu/#main_content	a			Arts UW
http://washington.edu/#main_content	a			Calendar
http://washington.edu/#main_content	a			UW Magazine
http://washington.edu/#main_content	a			Husky sports
http://washington.edu/#main_content	a			Research
http://washington.edu/#main_content	a			Office of Research
http://washington.edu/#main_content	a			Research Lifecycle
http://washington.edu/#main_content	a			Resources
http://washington.edu/#main_content	a			Collaboration
http://washington.edu/#main_content	a			Stats and rankings
http://washington.edu/#main_content	a			Campuses
http://washington.edu/#main_content	a			Bothell
http://washington.edu/#main_content	a			Seattle
http://washington.edu/#main_content	a			Tacoma
http://washington.edu/#main_content	a			Give
http://washington.edu/#main_content	a			Give now
http://washington.edu/#main_content	a			Be Boundless Campaign
http://washington.edu/#main_content	a			Ways to give
http://washington.edu/#main_content	a			My UW Giving
http://washington.edu/#main_content	button	div		Menu
http://washington.edu/#main_content	a			About
http://washington.edu/#main_content	a			About the UW
http://washington.edu/#main_content	a			Diversity
http://washington.edu/#main_content	a			Global Impact
http://washington.edu/#main_content	a			Innovation
http://washington.edu/#main_content	a			Leadership
http://washington.edu/#main_content	a			Maps
http://washington.edu/#main_content	a			Population Health
http://washington.edu/#main_content	a			Sustainability
http://washington.edu/#main_content	a			Visit
http://washington.edu/#main_content	a			Academics
http://washington.edu/#main_content	a			Academic calendar
http://washington.edu/#main_content	a			Academic departments
http://washington.edu/#main_content	a			Colleges and schools
http://washington.edu/#main_content	a			Course descriptions
http://washington.edu/#main_content	a			Registration
http://washington.edu/#main_content	a			Student guide
http://washington.edu/#main_content	a			Time schedule
http://washington.edu/#main_content	a			Apply
http://washington.edu/#main_content	a			Admissions
http://washington.edu/#main_content	a			Financial Aid
http://washington.edu/#main_content	a			Continuing education
http://washington.edu/#main_content	a			Majors
http://washington.edu/#main_content	a			Student housing
http://washington.edu/#main_content	a			Transfer students
http://washington.edu/#main_content	a			Tuition and fees
http://washington.edu/#main_content	a			Undocumented students
http://washington.edu/#main_content	a			UW Online
http://washington.edu/#main_content	a			News & Events
http://washington.edu/#main_content	a			UW News
http://washington.edu/#main_content	a			Arts UW
http://washington.edu/#main_content	a			Calendar
http://washington.edu/#main_content	a			UW Magazine
http://washington.edu/#main_content	a			Husky sports
http://washington.edu/#main_content	a			Research
http://washington.edu/#main_content	a			Office of Research
http://washington.edu/#main_content	a			Research Lifecycle
http://washington.edu/#main_content	a			Resources
http://washington.edu/#main_content	a			Collaboration
http://washington.edu/#main_content	a			Stats and rankings
http://washington.edu/#main_content	a			Campuses
http://washington.edu/#main_content	a			Bothell
http://washington.edu/#main_content	a			Seattle
http://washington.edu/#main_content	a			Tacoma
http://washington.edu/#main_content	a			Give
http://washington.edu/#main_content	a			Give now
http://washington.edu/#main_content	a			Be Boundless Campaign
http://washington.edu/#main_content	a			Ways to give
http://washington.edu/#main_content	a			My UW Giving
http://washington.edu/#main_content	h1			University Of Washington
http://washington.edu/#main_content	h2			Featured Story Slideshow
http://washington.edu/#main_content	span			#ThisIsUW
http://washington.edu/#main_content	h3			Native Knowledge
http://washington.edu/#main_content	p	span		Iisaaksiichaa Ross Braine, UW tribal liaison and director of wÇÉ«ÇbÊaltxÊ· â Intellectual House, plays many roles â from ambassador and information manager to powerful advocate for the rights of indigenous peoples.
http://washington.edu/#main_content	a			Read more
http://washington.edu/#main_content	span			#ThisIsUW
http://washington.edu/#main_content	h3		br	Seeing glaciers through 
http://washington.edu/#main_content	h3			the cloud
http://washington.edu/#main_content	p	span		Professor David Shean is using a âglacier time machineâ to track how ice is disappearing from the Earth â and help communities prepare for the profound changes to come.
http://washington.edu/#main_content	a			Read more
http://washington.edu/#main_content	span			#ThisIsUW
http://washington.edu/#main_content	h3			Setting the pace
http://washington.edu/#main_content	p	span		Hallie Jensen was a standout athlete in high school, but she had never rowed. Now sheâs competing on the UWâs Division I crew team, thanks to the Hometown Huskies program.
http://washington.edu/#main_content	a			Read more
http://washington.edu/#main_content	span			#BeBoundless
http://washington.edu/#main_content	h3			The year in focus
http://washington.edu/#main_content	p	span		Check out these 19 memorable photos of 2019, showcasing the diversity and depth of experiences across the UW â and the remarkable Huskies who made it all happen.
http://washington.edu/#main_content	a			Read more
http://washington.edu/#main_content	span			Be Boundless
http://washington.edu/#main_content	span	svg		ArtsUW
http://washington.edu/#main_content	span	svg		Maps
http://washington.edu/#main_content	span	svg		MyUW
http://washington.edu/#main_content	span	svg		Athletics
http://washington.edu/#main_content	span	svg		Social
http://washington.edu/#main_content	span	svg		Libraries
http://washington.edu/#main_content	span	svg		UW Medicine
http://washington.edu/#main_content	h2			News & Events
http://washington.edu/#main_content	span	div		Year in Review 
http://washington.edu/#main_content	h3	span		 Highlights from the yearâs visual stories from UW News 
http://washington.edu/#main_content	p	h3		As 2019 comes to a close, here are a few video highlights from the year. From Antarctica to the International Space Station, our work is not possible without the contribution of knowledge from UW faculty experts.
http://washington.edu/#main_content	a			Watch video
http://washington.edu/#main_content	span	div		Population Health 
http://washington.edu/#main_content	h3	span		 Solving the worldâs greatest health challenges 
http://washington.edu/#main_content	p	h3		The university-wide Population Health Initiative invites all schools and colleges, as well as community partners, to collaborate to improve the health and well-being of populations, from rural communities in Washington state to vulnerable groups in sub-Saharan Africa.
http://washington.edu/#main_content	a			Learn more
http://washington.edu/#main_content	span	div		Husky Football 
http://washington.edu/#main_content	h3	span		 Washington finishes season with bowl victory 
http://washington.edu/#main_content	p	h3		The Huskies defeated Boise State 38-7 at the Mitsubishi Motors Las Vegas Bowl on Saturday in Chris Petersenâs final game as head coach.
http://washington.edu/#main_content	a			BOWL CENTRAL
http://washington.edu/#main_content	span			Fast Facts
http://washington.edu/#main_content	h3			Rankings
http://washington.edu/#main_content	h3			Did you know?
http://washington.edu/#main_content	a			University of Washington
http://washington.edu/#main_content	h3			Be boundless
http://washington.edu/#main_content	h4			Connect with us:
http://washington.edu/#main_content	a			Facebook
http://washington.edu/#main_content	a			Twitter
http://washington.edu/#main_content	a			Instagram
http://washington.edu/#main_content	a			YouTube
http://washington.edu/#main_content	a			LinkedIn
http://washington.edu/#main_content	a			Pinterest
http://washington.edu/#main_content	a			Accessibility
http://washington.edu/#main_content	a			Contact Us
http://washington.edu/#main_content	a			Jobs
http://washington.edu/#main_content	a			Campus Safety
http://washington.edu/#main_content	a			My UW
http://washington.edu/#main_content	a			Rules Docket
http://washington.edu/#main_content	a			Privacy
http://washington.edu/#main_content	a			Terms
http://washington.edu/#main_content	p	nav		Â© 2019 University of Washington | Seattle, WA
