url	parent	ps	ns	text
http://washington.edu/	noscript	script		"&lt;img src=""https://ad.doubleclick.net/ddm/activity/src=4532109;type=ip156748;cat=ip1560;ord=1?"" width=""1"" height=""1"" alt="""" style=""display: none;""/&gt;"
http://washington.edu/	a	div		Skip to main content
http://washington.edu/	a			University of Washington
http://washington.edu/	a			University of Washington
http://washington.edu/	a			Students
http://washington.edu/	a			Parents
http://washington.edu/	a			Faculty & Staff
http://washington.edu/	a			Alumni
http://washington.edu/	button	button	svg	Quick Links
http://washington.edu/	a			About
http://washington.edu/	a			About the UW
http://washington.edu/	a			Diversity
http://washington.edu/	a			Global Impact
http://washington.edu/	a			Innovation
http://washington.edu/	a			Leadership
http://washington.edu/	a			Maps
http://washington.edu/	a			Population Health
http://washington.edu/	a			Sustainability
http://washington.edu/	a			Visit
http://washington.edu/	a			Academics
http://washington.edu/	a			Academic calendar
http://washington.edu/	a			Academic departments
http://washington.edu/	a			Colleges and schools
http://washington.edu/	a			Course descriptions
http://washington.edu/	a			Registration
http://washington.edu/	a			Student guide
http://washington.edu/	a			Time schedule
http://washington.edu/	a			Apply
http://washington.edu/	a			Admissions
http://washington.edu/	a			Financial Aid
http://washington.edu/	a			Continuing education
http://washington.edu/	a			Majors
http://washington.edu/	a			Student housing
http://washington.edu/	a			Transfer students
http://washington.edu/	a			Tuition and fees
http://washington.edu/	a			Undocumented students
http://washington.edu/	a			UW Online
http://washington.edu/	a			News & Events
http://washington.edu/	a			UW News
http://washington.edu/	a			Arts UW
http://washington.edu/	a			Calendar
http://washington.edu/	a			UW Magazine
http://washington.edu/	a			Husky sports
http://washington.edu/	a			Research
http://washington.edu/	a			Office of Research
http://washington.edu/	a			Research Lifecycle
http://washington.edu/	a			Resources
http://washington.edu/	a			Collaboration
http://washington.edu/	a			Stats and rankings
http://washington.edu/	a			Campuses
http://washington.edu/	a			Bothell
http://washington.edu/	a			Seattle
http://washington.edu/	a			Tacoma
http://washington.edu/	a			Give
http://washington.edu/	a			Give now
http://washington.edu/	a			Be Boundless Campaign
http://washington.edu/	a			Ways to give
http://washington.edu/	a			My UW Giving
http://washington.edu/	button	div		Menu
http://washington.edu/	a			About
http://washington.edu/	a			About the UW
http://washington.edu/	a			Diversity
http://washington.edu/	a			Global Impact
http://washington.edu/	a			Innovation
http://washington.edu/	a			Leadership
http://washington.edu/	a			Maps
http://washington.edu/	a			Population Health
http://washington.edu/	a			Sustainability
http://washington.edu/	a			Visit
http://washington.edu/	a			Academics
http://washington.edu/	a			Academic calendar
http://washington.edu/	a			Academic departments
http://washington.edu/	a			Colleges and schools
http://washington.edu/	a			Course descriptions
http://washington.edu/	a			Registration
http://washington.edu/	a			Student guide
http://washington.edu/	a			Time schedule
http://washington.edu/	a			Apply
http://washington.edu/	a			Admissions
http://washington.edu/	a			Financial Aid
http://washington.edu/	a			Continuing education
http://washington.edu/	a			Majors
http://washington.edu/	a			Student housing
http://washington.edu/	a			Transfer students
http://washington.edu/	a			Tuition and fees
http://washington.edu/	a			Undocumented students
http://washington.edu/	a			UW Online
http://washington.edu/	a			News & Events
http://washington.edu/	a			UW News
http://washington.edu/	a			Arts UW
http://washington.edu/	a			Calendar
http://washington.edu/	a			UW Magazine
http://washington.edu/	a			Husky sports
http://washington.edu/	a			Research
http://washington.edu/	a			Office of Research
http://washington.edu/	a			Research Lifecycle
http://washington.edu/	a			Resources
http://washington.edu/	a			Collaboration
http://washington.edu/	a			Stats and rankings
http://washington.edu/	a			Campuses
http://washington.edu/	a			Bothell
http://washington.edu/	a			Seattle
http://washington.edu/	a			Tacoma
http://washington.edu/	a			Give
http://washington.edu/	a			Give now
http://washington.edu/	a			Be Boundless Campaign
http://washington.edu/	a			Ways to give
http://washington.edu/	a			My UW Giving
http://washington.edu/	h1			University Of Washington
http://washington.edu/	h2			Featured Story Slideshow
http://washington.edu/	span			#ThisIsUW
http://washington.edu/	h3			Native Knowledge
http://washington.edu/	p	span		Iisaaksiichaa Ross Braine, UW tribal liaison and director of wÇÉ«ÇbÊaltxÊ· â Intellectual House, plays many roles â from ambassador and information manager to powerful advocate for the rights of indigenous peoples.
http://washington.edu/	a			Read more
http://washington.edu/	span			#ThisIsUW
http://washington.edu/	h3		br	Seeing glaciers through 
http://washington.edu/	h3			the cloud
http://washington.edu/	p	span		Professor David Shean is using a âglacier time machineâ to track how ice is disappearing from the Earth â and help communities prepare for the profound changes to come.
http://washington.edu/	a			Read more
http://washington.edu/	span			#ThisIsUW
http://washington.edu/	h3			Setting the pace
http://washington.edu/	p	span		Hallie Jensen was a standout athlete in high school, but she had never rowed. Now sheâs competing on the UWâs Division I crew team, thanks to the Hometown Huskies program.
http://washington.edu/	a			Read more
http://washington.edu/	span			#BeBoundless
http://washington.edu/	h3			The year in focus
http://washington.edu/	p	span		Check out these 19 memorable photos of 2019, showcasing the diversity and depth of experiences across the UW â and the remarkable Huskies who made it all happen.
http://washington.edu/	a			Read more
http://washington.edu/	span			Be Boundless
http://washington.edu/	span	svg		ArtsUW
http://washington.edu/	span	svg		Maps
http://washington.edu/	span	svg		MyUW
http://washington.edu/	span	svg		Athletics
http://washington.edu/	span	svg		Social
http://washington.edu/	span	svg		Libraries
http://washington.edu/	span	svg		UW Medicine
http://washington.edu/	h2			News & Events
http://washington.edu/	span	div		Year in Review 
http://washington.edu/	h3	span		 Highlights from the yearâs visual stories from UW News 
http://washington.edu/	p	h3		As 2019 comes to a close, here are a few video highlights from the year. From Antarctica to the International Space Station, our work is not possible without the contribution of knowledge from UW faculty experts.
http://washington.edu/	a			Watch video
http://washington.edu/	span	div		Population Health 
http://washington.edu/	h3	span		 Solving the worldâs greatest health challenges 
http://washington.edu/	p	h3		The university-wide Population Health Initiative invites all schools and colleges, as well as community partners, to collaborate to improve the health and well-being of populations, from rural communities in Washington state to vulnerable groups in sub-Saharan Africa.
http://washington.edu/	a			Learn more
http://washington.edu/	span	div		Husky Football 
http://washington.edu/	h3	span		 Washington finishes season with bowl victory 
http://washington.edu/	p	h3		The Huskies defeated Boise State 38-7 at the Mitsubishi Motors Las Vegas Bowl on Saturday in Chris Petersenâs final game as head coach.
http://washington.edu/	a			BOWL CENTRAL
http://washington.edu/	span			Fast Facts
http://washington.edu/	h3			Rankings
http://washington.edu/	h3			Did you know?
http://washington.edu/	a			University of Washington
http://washington.edu/	h3			Be boundless
http://washington.edu/	h4			Connect with us:
http://washington.edu/	a			Facebook
http://washington.edu/	a			Twitter
http://washington.edu/	a			Instagram
http://washington.edu/	a			YouTube
http://washington.edu/	a			LinkedIn
