url	parent	ps	ns	text
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Skip to Navigation
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Skip to Search
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Skip to Main Content
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Skip to Footer Links
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Prospective Students
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Current Students
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Faculty
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Staff
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Alumni
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Parents & Families
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			UCLA
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a		span	Apps
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a		span	Menu
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			ABOUT
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Overview
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Chancellor
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Leadership
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Mission & Values
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Facts & Figures
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Awards & Honors
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			History
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Impact & Accomplishments
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Iconic & Influential Alumni
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Rankings
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Centers & Institutes
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Careers
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a	ul		Close (X)
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			ACADEMICS
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Overview
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Undergraduate Education
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Graduate & Professional Education
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Continuing Education
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Academic Opportunities
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Faculty
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Departments & Programs
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Libraries
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a	ul		Close (X)
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			ADMISSION
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Admission Overview
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Undergraduate Admission
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Graduate Admission
http://www.ucla.edu/#bootstrap-fieldgroup-accordion-item--research-policy-compliance-4	a			Extension Enrollment
