url	parent	ps	ns	text
http://www.ucla.edu/#dept-list-group-g	a			Skip to Navigation
http://www.ucla.edu/#dept-list-group-g	a			Skip to Search
http://www.ucla.edu/#dept-list-group-g	a			Skip to Main Content
http://www.ucla.edu/#dept-list-group-g	a			Skip to Footer Links
http://www.ucla.edu/#dept-list-group-g	a			Prospective Students
http://www.ucla.edu/#dept-list-group-g	a			Current Students
http://www.ucla.edu/#dept-list-group-g	a			Faculty
http://www.ucla.edu/#dept-list-group-g	a			Staff
http://www.ucla.edu/#dept-list-group-g	a			Alumni
http://www.ucla.edu/#dept-list-group-g	a			Parents & Families
http://www.ucla.edu/#dept-list-group-g	a			UCLA
http://www.ucla.edu/#dept-list-group-g	a		span	Apps
http://www.ucla.edu/#dept-list-group-g	a		span	Menu
http://www.ucla.edu/#dept-list-group-g	a			ABOUT
http://www.ucla.edu/#dept-list-group-g	a			Overview
http://www.ucla.edu/#dept-list-group-g	a			Chancellor
http://www.ucla.edu/#dept-list-group-g	a			Leadership
http://www.ucla.edu/#dept-list-group-g	a			Mission & Values
http://www.ucla.edu/#dept-list-group-g	a			Facts & Figures
http://www.ucla.edu/#dept-list-group-g	a			Awards & Honors
http://www.ucla.edu/#dept-list-group-g	a			History
http://www.ucla.edu/#dept-list-group-g	a			Impact & Accomplishments
http://www.ucla.edu/#dept-list-group-g	a			Iconic & Influential Alumni
http://www.ucla.edu/#dept-list-group-g	a			Rankings
http://www.ucla.edu/#dept-list-group-g	a			Centers & Institutes
http://www.ucla.edu/#dept-list-group-g	a			Careers
http://www.ucla.edu/#dept-list-group-g	a	ul		Close (X)
http://www.ucla.edu/#dept-list-group-g	a			ACADEMICS
http://www.ucla.edu/#dept-list-group-g	a			Overview
http://www.ucla.edu/#dept-list-group-g	a			Undergraduate Education
http://www.ucla.edu/#dept-list-group-g	a			Graduate & Professional Education
http://www.ucla.edu/#dept-list-group-g	a			Continuing Education
http://www.ucla.edu/#dept-list-group-g	a			Academic Opportunities
http://www.ucla.edu/#dept-list-group-g	a			Faculty
http://www.ucla.edu/#dept-list-group-g	a			Departments & Programs
http://www.ucla.edu/#dept-list-group-g	a			Libraries
http://www.ucla.edu/#dept-list-group-g	a	ul		Close (X)
http://www.ucla.edu/#dept-list-group-g	a			ADMISSION
http://www.ucla.edu/#dept-list-group-g	a			Admission Overview
http://www.ucla.edu/#dept-list-group-g	a			Undergraduate Admission
http://www.ucla.edu/#dept-list-group-g	a			Graduate Admission
http://www.ucla.edu/#dept-list-group-g	a			Extension Enrollment
http://www.ucla.edu/#dept-list-group-g	a			International Admission
http://www.ucla.edu/#dept-list-group-g	a			Transfer Admission
http://www.ucla.edu/#dept-list-group-g	a			Affordability & Financial Aid
http://www.ucla.edu/#dept-list-group-g	a	ul		Close (X)
http://www.ucla.edu/#dept-list-group-g	a			UCLA IN THE COMMUNITY
http://www.ucla.edu/#dept-list-group-g	a			Overview
http://www.ucla.edu/#dept-list-group-g	a			Community Programs & Partnerships
http://www.ucla.edu/#dept-list-group-g	a			K-12 Education Programs & Resources
http://www.ucla.edu/#dept-list-group-g	a			Academic Programs
http://www.ucla.edu/#dept-list-group-g	a			Health Care
http://www.ucla.edu/#dept-list-group-g	a			Arts & Culture
http://www.ucla.edu/#dept-list-group-g	a	ul		Close (X)
http://www.ucla.edu/#dept-list-group-g	a			THE ARTS
http://www.ucla.edu/#dept-list-group-g	a			Arts Overview
http://www.ucla.edu/#dept-list-group-g	a			School of the Arts and Architecture
http://www.ucla.edu/#dept-list-group-g	a			Herb Alpert School of Music
http://www.ucla.edu/#dept-list-group-g	a			School of Theater, Film and Television
http://www.ucla.edu/#dept-list-group-g	a			Performing Arts
http://www.ucla.edu/#dept-list-group-g	a			Museums
http://www.ucla.edu/#dept-list-group-g	a			Arts In The Community
http://www.ucla.edu/#dept-list-group-g	a	ul		Close (X)
