url	parent	ps	ns	text
http://www.ucla.edu/#logo	a			Skip to Navigation
http://www.ucla.edu/#logo	a			Skip to Search
http://www.ucla.edu/#logo	a			Skip to Main Content
http://www.ucla.edu/#logo	a			Skip to Footer Links
http://www.ucla.edu/#logo	a			Prospective Students
http://www.ucla.edu/#logo	a			Current Students
http://www.ucla.edu/#logo	a			Faculty
http://www.ucla.edu/#logo	a			Staff
http://www.ucla.edu/#logo	a			Alumni
http://www.ucla.edu/#logo	a			Parents & Families
http://www.ucla.edu/#logo	a			UCLA
http://www.ucla.edu/#logo	a		span	Apps
http://www.ucla.edu/#logo	a		span	Menu
http://www.ucla.edu/#logo	a			ABOUT
http://www.ucla.edu/#logo	a			Overview
http://www.ucla.edu/#logo	a			Chancellor
http://www.ucla.edu/#logo	a			Leadership
http://www.ucla.edu/#logo	a			Mission & Values
http://www.ucla.edu/#logo	a			Facts & Figures
http://www.ucla.edu/#logo	a			Awards & Honors
http://www.ucla.edu/#logo	a			History
http://www.ucla.edu/#logo	a			Impact & Accomplishments
http://www.ucla.edu/#logo	a			Iconic & Influential Alumni
http://www.ucla.edu/#logo	a			Rankings
http://www.ucla.edu/#logo	a			Centers & Institutes
http://www.ucla.edu/#logo	a			Careers
http://www.ucla.edu/#logo	a	ul		Close (X)
http://www.ucla.edu/#logo	a			ACADEMICS
http://www.ucla.edu/#logo	a			Overview
http://www.ucla.edu/#logo	a			Undergraduate Education
http://www.ucla.edu/#logo	a			Graduate & Professional Education
http://www.ucla.edu/#logo	a			Continuing Education
http://www.ucla.edu/#logo	a			Academic Opportunities
http://www.ucla.edu/#logo	a			Faculty
http://www.ucla.edu/#logo	a			Departments & Programs
http://www.ucla.edu/#logo	a			Libraries
http://www.ucla.edu/#logo	a	ul		Close (X)
http://www.ucla.edu/#logo	a			ADMISSION
http://www.ucla.edu/#logo	a			Admission Overview
http://www.ucla.edu/#logo	a			Undergraduate Admission
http://www.ucla.edu/#logo	a			Graduate Admission
http://www.ucla.edu/#logo	a			Extension Enrollment
http://www.ucla.edu/#logo	a			International Admission
http://www.ucla.edu/#logo	a			Transfer Admission
http://www.ucla.edu/#logo	a			Affordability & Financial Aid
http://www.ucla.edu/#logo	a	ul		Close (X)
http://www.ucla.edu/#logo	a			UCLA IN THE COMMUNITY
http://www.ucla.edu/#logo	a			Overview
http://www.ucla.edu/#logo	a			Community Programs & Partnerships
http://www.ucla.edu/#logo	a			K-12 Education Programs & Resources
http://www.ucla.edu/#logo	a			Academic Programs
http://www.ucla.edu/#logo	a			Health Care
http://www.ucla.edu/#logo	a			Arts & Culture
http://www.ucla.edu/#logo	a	ul		Close (X)
http://www.ucla.edu/#logo	a			THE ARTS
http://www.ucla.edu/#logo	a			Arts Overview
http://www.ucla.edu/#logo	a			School of the Arts and Architecture
http://www.ucla.edu/#logo	a			Herb Alpert School of Music
http://www.ucla.edu/#logo	a			School of Theater, Film and Television
http://www.ucla.edu/#logo	a			Performing Arts
http://www.ucla.edu/#logo	a			Museums
http://www.ucla.edu/#logo	a			Arts In The Community
http://www.ucla.edu/#logo	a	ul		Close (X)
http://www.ucla.edu/#logo	a			CAMPUS LIFE
http://www.ucla.edu/#logo	a			Overview
http://www.ucla.edu/#logo	a			Values
http://www.ucla.edu/#logo	a			Housing & Dining
http://www.ucla.edu/#logo	a			LA Lifestyle
http://www.ucla.edu/#logo	a			Health & Safety
http://www.ucla.edu/#logo	a			Clubs, Organizations & Recreation
http://www.ucla.edu/#logo	a			Student Support
http://www.ucla.edu/#logo	a	ul		Close (X)
http://www.ucla.edu/#logo	a			HEALTH SYSTEM
http://www.ucla.edu/#logo	a			Overview
http://www.ucla.edu/#logo	a			For Patients
http://www.ucla.edu/#logo	a			For Healthcare Professionals
http://www.ucla.edu/#logo	a			Education
http://www.ucla.edu/#logo	a			Continuing Education
http://www.ucla.edu/#logo	a			Giving Back to UCLA
http://www.ucla.edu/#logo	a	ul		Close (X)
http://www.ucla.edu/#logo	a			RESEARCH
http://www.ucla.edu/#logo	a			Overview
http://www.ucla.edu/#logo	a			Research Across Campus
http://www.ucla.edu/#logo	a			Undergraduate Research
http://www.ucla.edu/#logo	a			Graduate Research
http://www.ucla.edu/#logo	a			Research and Entrepreneurship
http://www.ucla.edu/#logo	a			Libraries
http://www.ucla.edu/#logo	a			Administration Overview
http://www.ucla.edu/#logo	a	ul		Close (X)
http://www.ucla.edu/#logo	a			ATHLETICS
http://www.ucla.edu/#logo	a			Visit
http://www.ucla.edu/#logo	a			Apply
http://www.ucla.edu/#logo	a			Give
http://www.ucla.edu/#logo	strong			THE CHANCELLOR'S GREATEST NEEDS FUND
http://www.ucla.edu/#logo	span			Help UCLA provide one of the most enriching educational experiences in the world.
http://www.ucla.edu/#logo	strong			OUR STORIES, OUR IMPACT
http://www.ucla.edu/#logo	span			See the multimedia exhibit showcasing how Bruins advance equity and equality in America.
http://www.ucla.edu/#logo	strong			HOOP DREAMS
http://www.ucla.edu/#logo	span			UCLA Men’s Basketball tips off their first season under Head Coach Mick Cronin.
http://www.ucla.edu/#logo	strong			SEPARATING EARTHQUAKE FACT AND FICTION
http://www.ucla.edu/#logo	span			Two UCLA experts debunk common myths and share how research turns disaster into knowledge.
http://www.ucla.edu/#logo	h2			Featured Stories
