url	parent	ps	ns	text
http://www.ucla.edu/#main-content	a			Skip to Navigation
http://www.ucla.edu/#main-content	a			Skip to Search
http://www.ucla.edu/#main-content	a			Skip to Main Content
http://www.ucla.edu/#main-content	a			Skip to Footer Links
http://www.ucla.edu/#main-content	a			Prospective Students
http://www.ucla.edu/#main-content	a			Current Students
http://www.ucla.edu/#main-content	a			Faculty
http://www.ucla.edu/#main-content	a			Staff
http://www.ucla.edu/#main-content	a			Alumni
http://www.ucla.edu/#main-content	a			Parents & Families
http://www.ucla.edu/#main-content	a			UCLA
http://www.ucla.edu/#main-content	a		span	Apps
http://www.ucla.edu/#main-content	a		span	Menu
http://www.ucla.edu/#main-content	a			ABOUT
http://www.ucla.edu/#main-content	a			Overview
http://www.ucla.edu/#main-content	a			Chancellor
http://www.ucla.edu/#main-content	a			Leadership
http://www.ucla.edu/#main-content	a			Mission & Values
http://www.ucla.edu/#main-content	a			Facts & Figures
http://www.ucla.edu/#main-content	a			Awards & Honors
http://www.ucla.edu/#main-content	a			History
http://www.ucla.edu/#main-content	a			Impact & Accomplishments
http://www.ucla.edu/#main-content	a			Iconic & Influential Alumni
http://www.ucla.edu/#main-content	a			Rankings
http://www.ucla.edu/#main-content	a			Centers & Institutes
http://www.ucla.edu/#main-content	a			Careers
http://www.ucla.edu/#main-content	a	ul		Close (X)
http://www.ucla.edu/#main-content	a			ACADEMICS
http://www.ucla.edu/#main-content	a			Overview
http://www.ucla.edu/#main-content	a			Undergraduate Education
http://www.ucla.edu/#main-content	a			Graduate & Professional Education
http://www.ucla.edu/#main-content	a			Continuing Education
http://www.ucla.edu/#main-content	a			Academic Opportunities
http://www.ucla.edu/#main-content	a			Faculty
http://www.ucla.edu/#main-content	a			Departments & Programs
http://www.ucla.edu/#main-content	a			Libraries
http://www.ucla.edu/#main-content	a	ul		Close (X)
http://www.ucla.edu/#main-content	a			ADMISSION
http://www.ucla.edu/#main-content	a			Admission Overview
http://www.ucla.edu/#main-content	a			Undergraduate Admission
http://www.ucla.edu/#main-content	a			Graduate Admission
http://www.ucla.edu/#main-content	a			Extension Enrollment
http://www.ucla.edu/#main-content	a			International Admission
http://www.ucla.edu/#main-content	a			Transfer Admission
http://www.ucla.edu/#main-content	a			Affordability & Financial Aid
