url	parent	ps	ns	text
http://www.ucla.edu/#masthead	a			Skip to Navigation
http://www.ucla.edu/#masthead	a			Skip to Search
http://www.ucla.edu/#masthead	a			Skip to Main Content
http://www.ucla.edu/#masthead	a			Skip to Footer Links
http://www.ucla.edu/#masthead	a			Prospective Students
http://www.ucla.edu/#masthead	a			Current Students
http://www.ucla.edu/#masthead	a			Faculty
http://www.ucla.edu/#masthead	a			Staff
http://www.ucla.edu/#masthead	a			Alumni
http://www.ucla.edu/#masthead	a			Parents & Families
http://www.ucla.edu/#masthead	a			UCLA
http://www.ucla.edu/#masthead	a		span	Apps
http://www.ucla.edu/#masthead	a		span	Menu
http://www.ucla.edu/#masthead	a			ABOUT
http://www.ucla.edu/#masthead	a			Overview
http://www.ucla.edu/#masthead	a			Chancellor
http://www.ucla.edu/#masthead	a			Leadership
http://www.ucla.edu/#masthead	a			Mission & Values
http://www.ucla.edu/#masthead	a			Facts & Figures
http://www.ucla.edu/#masthead	a			Awards & Honors
http://www.ucla.edu/#masthead	a			History
http://www.ucla.edu/#masthead	a			Impact & Accomplishments
http://www.ucla.edu/#masthead	a			Iconic & Influential Alumni
http://www.ucla.edu/#masthead	a			Rankings
http://www.ucla.edu/#masthead	a			Centers & Institutes
http://www.ucla.edu/#masthead	a			Careers
http://www.ucla.edu/#masthead	a	ul		Close (X)
http://www.ucla.edu/#masthead	a			ACADEMICS
http://www.ucla.edu/#masthead	a			Overview
http://www.ucla.edu/#masthead	a			Undergraduate Education
http://www.ucla.edu/#masthead	a			Graduate & Professional Education
http://www.ucla.edu/#masthead	a			Continuing Education
http://www.ucla.edu/#masthead	a			Academic Opportunities
http://www.ucla.edu/#masthead	a			Faculty
http://www.ucla.edu/#masthead	a			Departments & Programs
http://www.ucla.edu/#masthead	a			Libraries
http://www.ucla.edu/#masthead	a	ul		Close (X)
http://www.ucla.edu/#masthead	a			ADMISSION
http://www.ucla.edu/#masthead	a			Admission Overview
http://www.ucla.edu/#masthead	a			Undergraduate Admission
http://www.ucla.edu/#masthead	a			Graduate Admission
http://www.ucla.edu/#masthead	a			Extension Enrollment
http://www.ucla.edu/#masthead	a			International Admission
http://www.ucla.edu/#masthead	a			Transfer Admission
http://www.ucla.edu/#masthead	a			Affordability & Financial Aid
http://www.ucla.edu/#masthead	a	ul		Close (X)
http://www.ucla.edu/#masthead	a			UCLA IN THE COMMUNITY
http://www.ucla.edu/#masthead	a			Overview
http://www.ucla.edu/#masthead	a			Community Programs & Partnerships
http://www.ucla.edu/#masthead	a			K-12 Education Programs & Resources
http://www.ucla.edu/#masthead	a			Academic Programs
http://www.ucla.edu/#masthead	a			Health Care
http://www.ucla.edu/#masthead	a			Arts & Culture
http://www.ucla.edu/#masthead	a	ul		Close (X)
http://www.ucla.edu/#masthead	a			THE ARTS
http://www.ucla.edu/#masthead	a			Arts Overview
http://www.ucla.edu/#masthead	a			School of the Arts and Architecture
http://www.ucla.edu/#masthead	a			Herb Alpert School of Music
http://www.ucla.edu/#masthead	a			School of Theater, Film and Television
http://www.ucla.edu/#masthead	a			Performing Arts
http://www.ucla.edu/#masthead	a			Museums
http://www.ucla.edu/#masthead	a			Arts In The Community
http://www.ucla.edu/#masthead	a	ul		Close (X)
http://www.ucla.edu/#masthead	a			CAMPUS LIFE
http://www.ucla.edu/#masthead	a			Overview
http://www.ucla.edu/#masthead	a			Values
http://www.ucla.edu/#masthead	a			Housing & Dining
http://www.ucla.edu/#masthead	a			LA Lifestyle
http://www.ucla.edu/#masthead	a			Health & Safety
http://www.ucla.edu/#masthead	a			Clubs, Organizations & Recreation
http://www.ucla.edu/#masthead	a			Student Support
http://www.ucla.edu/#masthead	a	ul		Close (X)
http://www.ucla.edu/#masthead	a			HEALTH SYSTEM
http://www.ucla.edu/#masthead	a			Overview
http://www.ucla.edu/#masthead	a			For Patients
http://www.ucla.edu/#masthead	a			For Healthcare Professionals
http://www.ucla.edu/#masthead	a			Education
http://www.ucla.edu/#masthead	a			Continuing Education
http://www.ucla.edu/#masthead	a			Giving Back to UCLA
http://www.ucla.edu/#masthead	a	ul		Close (X)
http://www.ucla.edu/#masthead	a			RESEARCH
http://www.ucla.edu/#masthead	a			Overview
http://www.ucla.edu/#masthead	a			Research Across Campus
http://www.ucla.edu/#masthead	a			Undergraduate Research
http://www.ucla.edu/#masthead	a			Graduate Research
http://www.ucla.edu/#masthead	a			Research and Entrepreneurship
http://www.ucla.edu/#masthead	a			Libraries
http://www.ucla.edu/#masthead	a			Administration Overview
http://www.ucla.edu/#masthead	a	ul		Close (X)
http://www.ucla.edu/#masthead	a			ATHLETICS
http://www.ucla.edu/#masthead	a			Visit
http://www.ucla.edu/#masthead	a			Apply
http://www.ucla.edu/#masthead	a			Give
http://www.ucla.edu/#masthead	strong			THE CHANCELLOR'S GREATEST NEEDS FUND
http://www.ucla.edu/#masthead	span			Help UCLA provide one of the most enriching educational experiences in the world.
http://www.ucla.edu/#masthead	strong			OUR STORIES, OUR IMPACT
http://www.ucla.edu/#masthead	span			See the multimedia exhibit showcasing how Bruins advance equity and equality in America.
http://www.ucla.edu/#masthead	strong			HOOP DREAMS
http://www.ucla.edu/#masthead	span			UCLA Men’s Basketball tips off their first season under Head Coach Mick Cronin.
http://www.ucla.edu/#masthead	strong			SEPARATING EARTHQUAKE FACT AND FICTION
http://www.ucla.edu/#masthead	span			Two UCLA experts debunk common myths and share how research turns disaster into knowledge.
http://www.ucla.edu/#masthead	h2			Featured Stories
http://www.ucla.edu/#masthead	span	img		Raves for work on the Sephardic journey
http://www.ucla.edu/#masthead	p			Professor's book traces the intertwined lives of a single family through world history
http://www.ucla.edu/#masthead	span	img		Top UCLA stories of 2019
http://www.ucla.edu/#masthead	p			Advances in research, health care, community service — and a viral gymnastics routine
http://www.ucla.edu/#masthead	span	img		Father and son received new hearts
http://www.ucla.edu/#masthead	p			Transplant patients at UCLA celebrate the gift of life
http://www.ucla.edu/#masthead	span			Previous Featured Stories
http://www.ucla.edu/#masthead	span	span		Next Featured Stories
http://www.ucla.edu/#masthead	h3			Newsroom
http://www.ucla.edu/#masthead	a			Researchers discover process that may explain how Type 2 diabetes develops
http://www.ucla.edu/#masthead	a			Astronomers reveal new image of candy cane-shaped feature in the center of our galaxy
http://www.ucla.edu/#masthead	a			UCLA students and faculty participate in international climate talks 
http://www.ucla.edu/#masthead	a			Researchers observe brain-like behavior in nanoscale device
http://www.ucla.edu/#masthead	a			Unearthing the mystery of the meaning of Easter Island’s Moai 
http://www.ucla.edu/#masthead	a			Enter Newsroom
http://www.ucla.edu/#masthead	h3			Happenings
http://www.ucla.edu/#masthead	li		a	       For Happenings, go to 
http://www.ucla.edu/#masthead	a			http://happenings.ucla.edu
http://www.ucla.edu/#masthead	a			Enter Happenings
http://www.ucla.edu/#masthead	h3			Connect with UCLA
http://www.ucla.edu/#masthead	a			Facebook
http://www.ucla.edu/#masthead	a			Twitter
http://www.ucla.edu/#masthead	a			Instagram
http://www.ucla.edu/#masthead	a			Snapchat
http://www.ucla.edu/#masthead	a			LinkedIn
http://www.ucla.edu/#masthead	a			YouTube
http://www.ucla.edu/#masthead	span			UCLA on Facebook
http://www.ucla.edu/#masthead	span			UCLA on Twitter
http://www.ucla.edu/#masthead	span			UCLA on Instagram
http://www.ucla.edu/#masthead	span			UCLA on Snapchat
http://www.ucla.edu/#masthead	span			UCLA on LinkedIn
http://www.ucla.edu/#masthead	span			UCLA on YouTube
http://www.ucla.edu/#masthead	span			UCLA.edu Homepage
http://www.ucla.edu/#masthead	em			Information
http://www.ucla.edu/#masthead	span			Careers
http://www.ucla.edu/#masthead	span			Directory
http://www.ucla.edu/#masthead	span			Contact
http://www.ucla.edu/#masthead	span			Academic Calendar
http://www.ucla.edu/#masthead	span			Maps, Directions
http://www.ucla.edu/#masthead	span			Parking & Transportation
http://www.ucla.edu/#masthead	span			Emergency
http://www.ucla.edu/#masthead	em			Campus Values
http://www.ucla.edu/#masthead	span			Equity, Diversity & Inclusion
http://www.ucla.edu/#masthead	span			Environment & Sustainability
http://www.ucla.edu/#masthead	span			True Bruin Statement
http://www.ucla.edu/#masthead	span			Volunteerism
http://www.ucla.edu/#masthead	em			Event Venues
http://www.ucla.edu/#masthead	span			Luskin Conference Center
http://www.ucla.edu/#masthead	span			Event Planning
http://www.ucla.edu/#masthead	span			Film Production
http://www.ucla.edu/#masthead	span		a	©2019 Regents of the 
http://www.ucla.edu/#masthead	a			University of California
http://www.ucla.edu/#masthead	a			Terms of Use
http://www.ucla.edu/#masthead	a			Accessibility
http://www.ucla.edu/#masthead	a			Report Misconduct
