url	parent	ps	ns	text
http://www.ucla.edu/about/awards-and-honors	a			Skip to Navigation
http://www.ucla.edu/about/awards-and-honors	a			Skip to Search
http://www.ucla.edu/about/awards-and-honors	a			Skip to Main Content
http://www.ucla.edu/about/awards-and-honors	a			Skip to Footer Links
http://www.ucla.edu/about/awards-and-honors	a			Prospective Students
http://www.ucla.edu/about/awards-and-honors	a			Current Students
http://www.ucla.edu/about/awards-and-honors	a			Faculty
http://www.ucla.edu/about/awards-and-honors	a			Staff
http://www.ucla.edu/about/awards-and-honors	a			Alumni
http://www.ucla.edu/about/awards-and-honors	a			Parents & Families
http://www.ucla.edu/about/awards-and-honors	a			UCLA
http://www.ucla.edu/about/awards-and-honors	a		span	Apps
http://www.ucla.edu/about/awards-and-honors	a		span	Menu
http://www.ucla.edu/about/awards-and-honors	a			ABOUT
http://www.ucla.edu/about/awards-and-honors	a			Overview
http://www.ucla.edu/about/awards-and-honors	a			Chancellor
http://www.ucla.edu/about/awards-and-honors	a			Leadership
http://www.ucla.edu/about/awards-and-honors	a			Mission & Values
http://www.ucla.edu/about/awards-and-honors	a			Facts & Figures
http://www.ucla.edu/about/awards-and-honors	a			Awards & Honors
http://www.ucla.edu/about/awards-and-honors	a			History
http://www.ucla.edu/about/awards-and-honors	a			Impact & Accomplishments
http://www.ucla.edu/about/awards-and-honors	a			Iconic & Influential Alumni
http://www.ucla.edu/about/awards-and-honors	a			Rankings
http://www.ucla.edu/about/awards-and-honors	a			Centers & Institutes
http://www.ucla.edu/about/awards-and-honors	a			Careers
http://www.ucla.edu/about/awards-and-honors	a	ul		Close (X)
http://www.ucla.edu/about/awards-and-honors	a			ACADEMICS
http://www.ucla.edu/about/awards-and-honors	a			Overview
http://www.ucla.edu/about/awards-and-honors	a			Undergraduate Education
http://www.ucla.edu/about/awards-and-honors	a			Graduate & Professional Education
http://www.ucla.edu/about/awards-and-honors	a			Continuing Education
http://www.ucla.edu/about/awards-and-honors	a			Academic Opportunities
http://www.ucla.edu/about/awards-and-honors	a			Faculty
http://www.ucla.edu/about/awards-and-honors	a			Departments & Programs
http://www.ucla.edu/about/awards-and-honors	a			Libraries
http://www.ucla.edu/about/awards-and-honors	a	ul		Close (X)
http://www.ucla.edu/about/awards-and-honors	a			ADMISSION
http://www.ucla.edu/about/awards-and-honors	a			Admission Overview
http://www.ucla.edu/about/awards-and-honors	a			Undergraduate Admission
http://www.ucla.edu/about/awards-and-honors	a			Graduate Admission
http://www.ucla.edu/about/awards-and-honors	a			Extension Enrollment
http://www.ucla.edu/about/awards-and-honors	a			International Admission
http://www.ucla.edu/about/awards-and-honors	a			Transfer Admission
http://www.ucla.edu/about/awards-and-honors	a			Affordability & Financial Aid
http://www.ucla.edu/about/awards-and-honors	a	ul		Close (X)
http://www.ucla.edu/about/awards-and-honors	a			UCLA IN THE COMMUNITY
http://www.ucla.edu/about/awards-and-honors	a			Overview
http://www.ucla.edu/about/awards-and-honors	a			Community Programs & Partnerships
http://www.ucla.edu/about/awards-and-honors	a			K-12 Education Programs & Resources
http://www.ucla.edu/about/awards-and-honors	a			Academic Programs
http://www.ucla.edu/about/awards-and-honors	a			Health Care
http://www.ucla.edu/about/awards-and-honors	a			Arts & Culture
http://www.ucla.edu/about/awards-and-honors	a	ul		Close (X)
http://www.ucla.edu/about/awards-and-honors	a			THE ARTS
http://www.ucla.edu/about/awards-and-honors	a			Arts Overview
http://www.ucla.edu/about/awards-and-honors	a			School of the Arts and Architecture
http://www.ucla.edu/about/awards-and-honors	a			Herb Alpert School of Music
http://www.ucla.edu/about/awards-and-honors	a			School of Theater, Film and Television
http://www.ucla.edu/about/awards-and-honors	a			Performing Arts
http://www.ucla.edu/about/awards-and-honors	a			Museums
http://www.ucla.edu/about/awards-and-honors	a			Arts In The Community
http://www.ucla.edu/about/awards-and-honors	a	ul		Close (X)
http://www.ucla.edu/about/awards-and-honors	a			CAMPUS LIFE
http://www.ucla.edu/about/awards-and-honors	a			Overview
http://www.ucla.edu/about/awards-and-honors	a			Values
http://www.ucla.edu/about/awards-and-honors	a			Housing & Dining
http://www.ucla.edu/about/awards-and-honors	a			LA Lifestyle
http://www.ucla.edu/about/awards-and-honors	a			Health & Safety
http://www.ucla.edu/about/awards-and-honors	a			Clubs, Organizations & Recreation
http://www.ucla.edu/about/awards-and-honors	a			Student Support
http://www.ucla.edu/about/awards-and-honors	a	ul		Close (X)
http://www.ucla.edu/about/awards-and-honors	a			HEALTH SYSTEM
http://www.ucla.edu/about/awards-and-honors	a			Overview
http://www.ucla.edu/about/awards-and-honors	a			For Patients
http://www.ucla.edu/about/awards-and-honors	a			For Healthcare Professionals
http://www.ucla.edu/about/awards-and-honors	a			Education
http://www.ucla.edu/about/awards-and-honors	a			Continuing Education
http://www.ucla.edu/about/awards-and-honors	a			Giving Back to UCLA
http://www.ucla.edu/about/awards-and-honors	a	ul		Close (X)
http://www.ucla.edu/about/awards-and-honors	a			RESEARCH
http://www.ucla.edu/about/awards-and-honors	a			Overview
http://www.ucla.edu/about/awards-and-honors	a			Research Across Campus
http://www.ucla.edu/about/awards-and-honors	a			Undergraduate Research
http://www.ucla.edu/about/awards-and-honors	a			Graduate Research
http://www.ucla.edu/about/awards-and-honors	a			Research and Entrepreneurship
http://www.ucla.edu/about/awards-and-honors	a			Libraries
http://www.ucla.edu/about/awards-and-honors	a			Administration Overview
http://www.ucla.edu/about/awards-and-honors	a	ul		Close (X)
http://www.ucla.edu/about/awards-and-honors	a			ATHLETICS
http://www.ucla.edu/about/awards-and-honors	a			Visit
http://www.ucla.edu/about/awards-and-honors	a			Apply
http://www.ucla.edu/about/awards-and-honors	a			Give
http://www.ucla.edu/about/awards-and-honors	a			OVERVIEW
http://www.ucla.edu/about/awards-and-honors	a			CHANCELLOR
http://www.ucla.edu/about/awards-and-honors	a			LEADERSHIP
http://www.ucla.edu/about/awards-and-honors	a			MISSION &AMP VALUES
http://www.ucla.edu/about/awards-and-honors	a			FACTS &AMP FIGURES
http://www.ucla.edu/about/awards-and-honors	a			AWARDS &AMP HONORS
http://www.ucla.edu/about/awards-and-honors	a			HISTORY
http://www.ucla.edu/about/awards-and-honors	a			IMPACT &AMP ACCOMPLISHMENTS
http://www.ucla.edu/about/awards-and-honors	a			ICONIC &AMP INFLUENTIAL ALUMNI
