url	parent	ps	ns	text
http://www.ucla.edu/about/facts-and-figures	a			Skip to Navigation
http://www.ucla.edu/about/facts-and-figures	a			Skip to Search
http://www.ucla.edu/about/facts-and-figures	a			Skip to Main Content
http://www.ucla.edu/about/facts-and-figures	a			Skip to Footer Links
http://www.ucla.edu/about/facts-and-figures	a			Prospective Students
http://www.ucla.edu/about/facts-and-figures	a			Current Students
http://www.ucla.edu/about/facts-and-figures	a			Faculty
http://www.ucla.edu/about/facts-and-figures	a			Staff
http://www.ucla.edu/about/facts-and-figures	a			Alumni
http://www.ucla.edu/about/facts-and-figures	a			Parents & Families
http://www.ucla.edu/about/facts-and-figures	a			UCLA
http://www.ucla.edu/about/facts-and-figures	a		span	Apps
http://www.ucla.edu/about/facts-and-figures	a		span	Menu
http://www.ucla.edu/about/facts-and-figures	a			ABOUT
http://www.ucla.edu/about/facts-and-figures	a			Overview
http://www.ucla.edu/about/facts-and-figures	a			Chancellor
http://www.ucla.edu/about/facts-and-figures	a			Leadership
http://www.ucla.edu/about/facts-and-figures	a			Mission & Values
http://www.ucla.edu/about/facts-and-figures	a			Facts & Figures
http://www.ucla.edu/about/facts-and-figures	a			Awards & Honors
http://www.ucla.edu/about/facts-and-figures	a			History
http://www.ucla.edu/about/facts-and-figures	a			Impact & Accomplishments
http://www.ucla.edu/about/facts-and-figures	a			Iconic & Influential Alumni
http://www.ucla.edu/about/facts-and-figures	a			Rankings
http://www.ucla.edu/about/facts-and-figures	a			Centers & Institutes
http://www.ucla.edu/about/facts-and-figures	a			Careers
http://www.ucla.edu/about/facts-and-figures	a	ul		Close (X)
http://www.ucla.edu/about/facts-and-figures	a			ACADEMICS
http://www.ucla.edu/about/facts-and-figures	a			Overview
http://www.ucla.edu/about/facts-and-figures	a			Undergraduate Education
http://www.ucla.edu/about/facts-and-figures	a			Graduate & Professional Education
http://www.ucla.edu/about/facts-and-figures	a			Continuing Education
http://www.ucla.edu/about/facts-and-figures	a			Academic Opportunities
http://www.ucla.edu/about/facts-and-figures	a			Faculty
http://www.ucla.edu/about/facts-and-figures	a			Departments & Programs
http://www.ucla.edu/about/facts-and-figures	a			Libraries
http://www.ucla.edu/about/facts-and-figures	a	ul		Close (X)
http://www.ucla.edu/about/facts-and-figures	a			ADMISSION
http://www.ucla.edu/about/facts-and-figures	a			Admission Overview
http://www.ucla.edu/about/facts-and-figures	a			Undergraduate Admission
http://www.ucla.edu/about/facts-and-figures	a			Graduate Admission
http://www.ucla.edu/about/facts-and-figures	a			Extension Enrollment
http://www.ucla.edu/about/facts-and-figures	a			International Admission
http://www.ucla.edu/about/facts-and-figures	a			Transfer Admission
http://www.ucla.edu/about/facts-and-figures	a			Affordability & Financial Aid
http://www.ucla.edu/about/facts-and-figures	a	ul		Close (X)
http://www.ucla.edu/about/facts-and-figures	a			UCLA IN THE COMMUNITY
http://www.ucla.edu/about/facts-and-figures	a			Overview
http://www.ucla.edu/about/facts-and-figures	a			Community Programs & Partnerships
http://www.ucla.edu/about/facts-and-figures	a			K-12 Education Programs & Resources
http://www.ucla.edu/about/facts-and-figures	a			Academic Programs
http://www.ucla.edu/about/facts-and-figures	a			Health Care
http://www.ucla.edu/about/facts-and-figures	a			Arts & Culture
http://www.ucla.edu/about/facts-and-figures	a	ul		Close (X)
http://www.ucla.edu/about/facts-and-figures	a			THE ARTS
http://www.ucla.edu/about/facts-and-figures	a			Arts Overview
http://www.ucla.edu/about/facts-and-figures	a			School of the Arts and Architecture
