url	parent	ps	ns	text
http://www.ucla.edu/about/mission-and-values	a			Skip to Navigation
http://www.ucla.edu/about/mission-and-values	a			Skip to Search
http://www.ucla.edu/about/mission-and-values	a			Skip to Main Content
http://www.ucla.edu/about/mission-and-values	a			Skip to Footer Links
http://www.ucla.edu/about/mission-and-values	a			Prospective Students
http://www.ucla.edu/about/mission-and-values	a			Current Students
http://www.ucla.edu/about/mission-and-values	a			Faculty
http://www.ucla.edu/about/mission-and-values	a			Staff
http://www.ucla.edu/about/mission-and-values	a			Alumni
http://www.ucla.edu/about/mission-and-values	a			Parents & Families
http://www.ucla.edu/about/mission-and-values	a			UCLA
http://www.ucla.edu/about/mission-and-values	a		span	Apps
http://www.ucla.edu/about/mission-and-values	a		span	Menu
http://www.ucla.edu/about/mission-and-values	a			ABOUT
http://www.ucla.edu/about/mission-and-values	a			Overview
http://www.ucla.edu/about/mission-and-values	a			Chancellor
http://www.ucla.edu/about/mission-and-values	a			Leadership
http://www.ucla.edu/about/mission-and-values	a			Mission & Values
http://www.ucla.edu/about/mission-and-values	a			Facts & Figures
http://www.ucla.edu/about/mission-and-values	a			Awards & Honors
http://www.ucla.edu/about/mission-and-values	a			History
http://www.ucla.edu/about/mission-and-values	a			Impact & Accomplishments
http://www.ucla.edu/about/mission-and-values	a			Iconic & Influential Alumni
http://www.ucla.edu/about/mission-and-values	a			Rankings
http://www.ucla.edu/about/mission-and-values	a			Centers & Institutes
http://www.ucla.edu/about/mission-and-values	a			Careers
http://www.ucla.edu/about/mission-and-values	a	ul		Close (X)
http://www.ucla.edu/about/mission-and-values	a			ACADEMICS
http://www.ucla.edu/about/mission-and-values	a			Overview
http://www.ucla.edu/about/mission-and-values	a			Undergraduate Education
http://www.ucla.edu/about/mission-and-values	a			Graduate & Professional Education
http://www.ucla.edu/about/mission-and-values	a			Continuing Education
http://www.ucla.edu/about/mission-and-values	a			Academic Opportunities
http://www.ucla.edu/about/mission-and-values	a			Faculty
http://www.ucla.edu/about/mission-and-values	a			Departments & Programs
http://www.ucla.edu/about/mission-and-values	a			Libraries
http://www.ucla.edu/about/mission-and-values	a	ul		Close (X)
http://www.ucla.edu/about/mission-and-values	a			ADMISSION
http://www.ucla.edu/about/mission-and-values	a			Admission Overview
http://www.ucla.edu/about/mission-and-values	a			Undergraduate Admission
http://www.ucla.edu/about/mission-and-values	a			Graduate Admission
http://www.ucla.edu/about/mission-and-values	a			Extension Enrollment
http://www.ucla.edu/about/mission-and-values	a			International Admission
http://www.ucla.edu/about/mission-and-values	a			Transfer Admission
http://www.ucla.edu/about/mission-and-values	a			Affordability & Financial Aid
http://www.ucla.edu/about/mission-and-values	a	ul		Close (X)
http://www.ucla.edu/about/mission-and-values	a			UCLA IN THE COMMUNITY
http://www.ucla.edu/about/mission-and-values	a			Overview
http://www.ucla.edu/about/mission-and-values	a			Community Programs & Partnerships
http://www.ucla.edu/about/mission-and-values	a			K-12 Education Programs & Resources
http://www.ucla.edu/about/mission-and-values	a			Academic Programs
http://www.ucla.edu/about/mission-and-values	a			Health Care
http://www.ucla.edu/about/mission-and-values	a			Arts & Culture
http://www.ucla.edu/about/mission-and-values	a	ul		Close (X)
http://www.ucla.edu/about/mission-and-values	a			THE ARTS
http://www.ucla.edu/about/mission-and-values	a			Arts Overview
http://www.ucla.edu/about/mission-and-values	a			School of the Arts and Architecture
http://www.ucla.edu/about/mission-and-values	a			Herb Alpert School of Music
http://www.ucla.edu/about/mission-and-values	a			School of Theater, Film and Television
http://www.ucla.edu/about/mission-and-values	a			Performing Arts
http://www.ucla.edu/about/mission-and-values	a			Museums
http://www.ucla.edu/about/mission-and-values	a			Arts In The Community
http://www.ucla.edu/about/mission-and-values	a	ul		Close (X)
