url	parent	ps	ns	text
http://www.ucla.edu/about/rankings	a			Skip to Navigation
http://www.ucla.edu/about/rankings	a			Skip to Search
http://www.ucla.edu/about/rankings	a			Skip to Main Content
http://www.ucla.edu/about/rankings	a			Skip to Footer Links
http://www.ucla.edu/about/rankings	a			Prospective Students
http://www.ucla.edu/about/rankings	a			Current Students
http://www.ucla.edu/about/rankings	a			Faculty
http://www.ucla.edu/about/rankings	a			Staff
http://www.ucla.edu/about/rankings	a			Alumni
http://www.ucla.edu/about/rankings	a			Parents & Families
http://www.ucla.edu/about/rankings	a			UCLA
http://www.ucla.edu/about/rankings	a		span	Apps
http://www.ucla.edu/about/rankings	a		span	Menu
http://www.ucla.edu/about/rankings	a			ABOUT
http://www.ucla.edu/about/rankings	a			Overview
http://www.ucla.edu/about/rankings	a			Chancellor
http://www.ucla.edu/about/rankings	a			Leadership
http://www.ucla.edu/about/rankings	a			Mission & Values
http://www.ucla.edu/about/rankings	a			Facts & Figures
http://www.ucla.edu/about/rankings	a			Awards & Honors
http://www.ucla.edu/about/rankings	a			History
http://www.ucla.edu/about/rankings	a			Impact & Accomplishments
http://www.ucla.edu/about/rankings	a			Iconic & Influential Alumni
http://www.ucla.edu/about/rankings	a			Rankings
http://www.ucla.edu/about/rankings	a			Centers & Institutes
http://www.ucla.edu/about/rankings	a			Careers
http://www.ucla.edu/about/rankings	a	ul		Close (X)
http://www.ucla.edu/about/rankings	a			ACADEMICS
http://www.ucla.edu/about/rankings	a			Overview
http://www.ucla.edu/about/rankings	a			Undergraduate Education
http://www.ucla.edu/about/rankings	a			Graduate & Professional Education
http://www.ucla.edu/about/rankings	a			Continuing Education
http://www.ucla.edu/about/rankings	a			Academic Opportunities
http://www.ucla.edu/about/rankings	a			Faculty
http://www.ucla.edu/about/rankings	a			Departments & Programs
http://www.ucla.edu/about/rankings	a			Libraries
http://www.ucla.edu/about/rankings	a	ul		Close (X)
http://www.ucla.edu/about/rankings	a			ADMISSION
http://www.ucla.edu/about/rankings	a			Admission Overview
