url	parent	ps	ns	text
http://www.ucla.edu/academics/academic-opportunities	a			Skip to Navigation
http://www.ucla.edu/academics/academic-opportunities	a			Skip to Search
http://www.ucla.edu/academics/academic-opportunities	a			Skip to Main Content
http://www.ucla.edu/academics/academic-opportunities	a			Skip to Footer Links
http://www.ucla.edu/academics/academic-opportunities	a			Prospective Students
http://www.ucla.edu/academics/academic-opportunities	a			Current Students
http://www.ucla.edu/academics/academic-opportunities	a			Faculty
http://www.ucla.edu/academics/academic-opportunities	a			Staff
http://www.ucla.edu/academics/academic-opportunities	a			Alumni
http://www.ucla.edu/academics/academic-opportunities	a			Parents & Families
http://www.ucla.edu/academics/academic-opportunities	a			UCLA
http://www.ucla.edu/academics/academic-opportunities	a		span	Apps
http://www.ucla.edu/academics/academic-opportunities	a		span	Menu
http://www.ucla.edu/academics/academic-opportunities	a			ABOUT
http://www.ucla.edu/academics/academic-opportunities	a			Overview
http://www.ucla.edu/academics/academic-opportunities	a			Chancellor
http://www.ucla.edu/academics/academic-opportunities	a			Leadership
http://www.ucla.edu/academics/academic-opportunities	a			Mission & Values
http://www.ucla.edu/academics/academic-opportunities	a			Facts & Figures
http://www.ucla.edu/academics/academic-opportunities	a			Awards & Honors
http://www.ucla.edu/academics/academic-opportunities	a			History
http://www.ucla.edu/academics/academic-opportunities	a			Impact & Accomplishments
http://www.ucla.edu/academics/academic-opportunities	a			Iconic & Influential Alumni
http://www.ucla.edu/academics/academic-opportunities	a			Rankings
http://www.ucla.edu/academics/academic-opportunities	a			Centers & Institutes
http://www.ucla.edu/academics/academic-opportunities	a			Careers
http://www.ucla.edu/academics/academic-opportunities	a	ul		Close (X)
http://www.ucla.edu/academics/academic-opportunities	a			ACADEMICS
http://www.ucla.edu/academics/academic-opportunities	a			Overview
http://www.ucla.edu/academics/academic-opportunities	a			Undergraduate Education
http://www.ucla.edu/academics/academic-opportunities	a			Graduate & Professional Education
http://www.ucla.edu/academics/academic-opportunities	a			Continuing Education
http://www.ucla.edu/academics/academic-opportunities	a			Academic Opportunities
http://www.ucla.edu/academics/academic-opportunities	a			Faculty
http://www.ucla.edu/academics/academic-opportunities	a			Departments & Programs
http://www.ucla.edu/academics/academic-opportunities	a			Libraries
http://www.ucla.edu/academics/academic-opportunities	a	ul		Close (X)
http://www.ucla.edu/academics/academic-opportunities	a			ADMISSION
http://www.ucla.edu/academics/academic-opportunities	a			Admission Overview
http://www.ucla.edu/academics/academic-opportunities	a			Undergraduate Admission
http://www.ucla.edu/academics/academic-opportunities	a			Graduate Admission
http://www.ucla.edu/academics/academic-opportunities	a			Extension Enrollment
http://www.ucla.edu/academics/academic-opportunities	a			International Admission
http://www.ucla.edu/academics/academic-opportunities	a			Transfer Admission
http://www.ucla.edu/academics/academic-opportunities	a			Affordability & Financial Aid
http://www.ucla.edu/academics/academic-opportunities	a	ul		Close (X)
http://www.ucla.edu/academics/academic-opportunities	a			UCLA IN THE COMMUNITY
http://www.ucla.edu/academics/academic-opportunities	a			Overview
http://www.ucla.edu/academics/academic-opportunities	a			Community Programs & Partnerships
http://www.ucla.edu/academics/academic-opportunities	a			K-12 Education Programs & Resources
http://www.ucla.edu/academics/academic-opportunities	a			Academic Programs
http://www.ucla.edu/academics/academic-opportunities	a			Health Care
http://www.ucla.edu/academics/academic-opportunities	a			Arts & Culture
http://www.ucla.edu/academics/academic-opportunities	a	ul		Close (X)
http://www.ucla.edu/academics/academic-opportunities	a			THE ARTS
http://www.ucla.edu/academics/academic-opportunities	a			Arts Overview
http://www.ucla.edu/academics/academic-opportunities	a			School of the Arts and Architecture
http://www.ucla.edu/academics/academic-opportunities	a			Herb Alpert School of Music
http://www.ucla.edu/academics/academic-opportunities	a			School of Theater, Film and Television
http://www.ucla.edu/academics/academic-opportunities	a			Performing Arts
http://www.ucla.edu/academics/academic-opportunities	a			Museums
http://www.ucla.edu/academics/academic-opportunities	a			Arts In The Community
http://www.ucla.edu/academics/academic-opportunities	a	ul		Close (X)
http://www.ucla.edu/academics/academic-opportunities	a			CAMPUS LIFE
http://www.ucla.edu/academics/academic-opportunities	a			Overview
http://www.ucla.edu/academics/academic-opportunities	a			Values
http://www.ucla.edu/academics/academic-opportunities	a			Housing & Dining
http://www.ucla.edu/academics/academic-opportunities	a			LA Lifestyle
http://www.ucla.edu/academics/academic-opportunities	a			Health & Safety
http://www.ucla.edu/academics/academic-opportunities	a			Clubs, Organizations & Recreation
http://www.ucla.edu/academics/academic-opportunities	a			Student Support
http://www.ucla.edu/academics/academic-opportunities	a	ul		Close (X)
http://www.ucla.edu/academics/academic-opportunities	a			HEALTH SYSTEM
http://www.ucla.edu/academics/academic-opportunities	a			Overview
http://www.ucla.edu/academics/academic-opportunities	a			For Patients
http://www.ucla.edu/academics/academic-opportunities	a			For Healthcare Professionals
http://www.ucla.edu/academics/academic-opportunities	a			Education
http://www.ucla.edu/academics/academic-opportunities	a			Continuing Education
http://www.ucla.edu/academics/academic-opportunities	a			Giving Back to UCLA
http://www.ucla.edu/academics/academic-opportunities	a	ul		Close (X)
http://www.ucla.edu/academics/academic-opportunities	a			RESEARCH
http://www.ucla.edu/academics/academic-opportunities	a			Overview
http://www.ucla.edu/academics/academic-opportunities	a			Research Across Campus
http://www.ucla.edu/academics/academic-opportunities	a			Undergraduate Research
http://www.ucla.edu/academics/academic-opportunities	a			Graduate Research
http://www.ucla.edu/academics/academic-opportunities	a			Research and Entrepreneurship
http://www.ucla.edu/academics/academic-opportunities	a			Libraries
http://www.ucla.edu/academics/academic-opportunities	a			Administration Overview
http://www.ucla.edu/academics/academic-opportunities	a	ul		Close (X)
http://www.ucla.edu/academics/academic-opportunities	a			ATHLETICS
http://www.ucla.edu/academics/academic-opportunities	a			Visit
http://www.ucla.edu/academics/academic-opportunities	a			Apply
http://www.ucla.edu/academics/academic-opportunities	a			Give
http://www.ucla.edu/academics/academic-opportunities	a			OVERVIEW
http://www.ucla.edu/academics/academic-opportunities	a			UNDERGRADUATE EDUCATION
http://www.ucla.edu/academics/academic-opportunities	a			GRADUATE &AMP PROFESSIONAL EDUCATION
http://www.ucla.edu/academics/academic-opportunities	a			CONTINUING EDUCATION
http://www.ucla.edu/academics/academic-opportunities	a			ACADEMIC OPPORTUNITIES
http://www.ucla.edu/academics/academic-opportunities	a			FACULTY
http://www.ucla.edu/academics/academic-opportunities	a			DEPARTMENTS &AMP PROGRAMS
http://www.ucla.edu/academics/academic-opportunities	a			LIBRARIES
http://www.ucla.edu/academics/academic-opportunities	h2			Academic Opportunities
http://www.ucla.edu/academics/academic-opportunities	span			For every background, social status and interest, UCLA provides an opportunity.
http://www.ucla.edu/academics/academic-opportunities	p		a	From UCLA's 
http://www.ucla.edu/academics/academic-opportunities	a			Center for Community Learning
http://www.ucla.edu/academics/academic-opportunities	p		a	 to its 
http://www.ucla.edu/academics/academic-opportunities	a			Capstone Initiative
http://www.ucla.edu/academics/academic-opportunities	p		a	, students can leverage every resource on campus to reach their full potential. The campus has a wide scope of innovative academic opportunities, including 
