url	parent	ps	ns	text
http://www.ucla.edu/academics/libraries	a			Skip to Navigation
http://www.ucla.edu/academics/libraries	a			Skip to Search
http://www.ucla.edu/academics/libraries	a			Skip to Main Content
http://www.ucla.edu/academics/libraries	a			Skip to Footer Links
http://www.ucla.edu/academics/libraries	a			Prospective Students
http://www.ucla.edu/academics/libraries	a			Current Students
http://www.ucla.edu/academics/libraries	a			Faculty
http://www.ucla.edu/academics/libraries	a			Staff
http://www.ucla.edu/academics/libraries	a			Alumni
http://www.ucla.edu/academics/libraries	a			Parents & Families
http://www.ucla.edu/academics/libraries	a			UCLA
http://www.ucla.edu/academics/libraries	a		span	Apps
http://www.ucla.edu/academics/libraries	a		span	Menu
http://www.ucla.edu/academics/libraries	a			ABOUT
http://www.ucla.edu/academics/libraries	a			Overview
http://www.ucla.edu/academics/libraries	a			Chancellor
http://www.ucla.edu/academics/libraries	a			Leadership
http://www.ucla.edu/academics/libraries	a			Mission & Values
http://www.ucla.edu/academics/libraries	a			Facts & Figures
http://www.ucla.edu/academics/libraries	a			Awards & Honors
http://www.ucla.edu/academics/libraries	a			History
http://www.ucla.edu/academics/libraries	a			Impact & Accomplishments
http://www.ucla.edu/academics/libraries	a			Iconic & Influential Alumni
http://www.ucla.edu/academics/libraries	a			Rankings
http://www.ucla.edu/academics/libraries	a			Centers & Institutes
http://www.ucla.edu/academics/libraries	a			Careers
http://www.ucla.edu/academics/libraries	a	ul		Close (X)
http://www.ucla.edu/academics/libraries	a			ACADEMICS
http://www.ucla.edu/academics/libraries	a			Overview
http://www.ucla.edu/academics/libraries	a			Undergraduate Education
http://www.ucla.edu/academics/libraries	a			Graduate & Professional Education
http://www.ucla.edu/academics/libraries	a			Continuing Education
http://www.ucla.edu/academics/libraries	a			Academic Opportunities
http://www.ucla.edu/academics/libraries	a			Faculty
http://www.ucla.edu/academics/libraries	a			Departments & Programs
http://www.ucla.edu/academics/libraries	a			Libraries
http://www.ucla.edu/academics/libraries	a	ul		Close (X)
http://www.ucla.edu/academics/libraries	a			ADMISSION
http://www.ucla.edu/academics/libraries	a			Admission Overview
http://www.ucla.edu/academics/libraries	a			Undergraduate Admission
http://www.ucla.edu/academics/libraries	a			Graduate Admission
http://www.ucla.edu/academics/libraries	a			Extension Enrollment
http://www.ucla.edu/academics/libraries	a			International Admission
http://www.ucla.edu/academics/libraries	a			Transfer Admission
http://www.ucla.edu/academics/libraries	a			Affordability & Financial Aid
http://www.ucla.edu/academics/libraries	a	ul		Close (X)
http://www.ucla.edu/academics/libraries	a			UCLA IN THE COMMUNITY
http://www.ucla.edu/academics/libraries	a			Overview
http://www.ucla.edu/academics/libraries	a			Community Programs & Partnerships
http://www.ucla.edu/academics/libraries	a			K-12 Education Programs & Resources
http://www.ucla.edu/academics/libraries	a			Academic Programs
http://www.ucla.edu/academics/libraries	a			Health Care
http://www.ucla.edu/academics/libraries	a			Arts & Culture
http://www.ucla.edu/academics/libraries	a	ul		Close (X)
http://www.ucla.edu/academics/libraries	a			THE ARTS
http://www.ucla.edu/academics/libraries	a			Arts Overview
http://www.ucla.edu/academics/libraries	a			School of the Arts and Architecture
http://www.ucla.edu/academics/libraries	a			Herb Alpert School of Music
http://www.ucla.edu/academics/libraries	a			School of Theater, Film and Television
http://www.ucla.edu/academics/libraries	a			Performing Arts
http://www.ucla.edu/academics/libraries	a			Museums
http://www.ucla.edu/academics/libraries	a			Arts In The Community
http://www.ucla.edu/academics/libraries	a	ul		Close (X)
http://www.ucla.edu/academics/libraries	a			CAMPUS LIFE
http://www.ucla.edu/academics/libraries	a			Overview
http://www.ucla.edu/academics/libraries	a			Values
http://www.ucla.edu/academics/libraries	a			Housing & Dining
http://www.ucla.edu/academics/libraries	a			LA Lifestyle
http://www.ucla.edu/academics/libraries	a			Health & Safety
http://www.ucla.edu/academics/libraries	a			Clubs, Organizations & Recreation
http://www.ucla.edu/academics/libraries	a			Student Support
http://www.ucla.edu/academics/libraries	a	ul		Close (X)
http://www.ucla.edu/academics/libraries	a			HEALTH SYSTEM
http://www.ucla.edu/academics/libraries	a			Overview
http://www.ucla.edu/academics/libraries	a			For Patients
http://www.ucla.edu/academics/libraries	a			For Healthcare Professionals
http://www.ucla.edu/academics/libraries	a			Education
http://www.ucla.edu/academics/libraries	a			Continuing Education
http://www.ucla.edu/academics/libraries	a			Giving Back to UCLA
http://www.ucla.edu/academics/libraries	a	ul		Close (X)
http://www.ucla.edu/academics/libraries	a			RESEARCH
http://www.ucla.edu/academics/libraries	a			Overview
http://www.ucla.edu/academics/libraries	a			Research Across Campus
http://www.ucla.edu/academics/libraries	a			Undergraduate Research
http://www.ucla.edu/academics/libraries	a			Graduate Research
http://www.ucla.edu/academics/libraries	a			Research and Entrepreneurship
http://www.ucla.edu/academics/libraries	a			Libraries
http://www.ucla.edu/academics/libraries	a			Administration Overview
http://www.ucla.edu/academics/libraries	a	ul		Close (X)
http://www.ucla.edu/academics/libraries	a			ATHLETICS
http://www.ucla.edu/academics/libraries	a			Visit
http://www.ucla.edu/academics/libraries	a			Apply
http://www.ucla.edu/academics/libraries	a			Give
http://www.ucla.edu/academics/libraries	a			OVERVIEW
http://www.ucla.edu/academics/libraries	a			UNDERGRADUATE EDUCATION
http://www.ucla.edu/academics/libraries	a			GRADUATE &AMP PROFESSIONAL EDUCATION
http://www.ucla.edu/academics/libraries	a			CONTINUING EDUCATION
http://www.ucla.edu/academics/libraries	a			ACADEMIC OPPORTUNITIES
http://www.ucla.edu/academics/libraries	a			FACULTY
http://www.ucla.edu/academics/libraries	a			DEPARTMENTS &AMP PROGRAMS
http://www.ucla.edu/academics/libraries	a			LIBRARIES
http://www.ucla.edu/academics/libraries	h2			Libraries
http://www.ucla.edu/academics/libraries	span			Reinvention and innovative research are at the core of the UCLA identity.
http://www.ucla.edu/academics/libraries	p			And it's evident in the caliber of our libraries. They are not only reading reference rooms but also cutting-edge research centers. The newly renovated and reconceived Charles E. Young Research Library is more than just a repository of existing knowledge. It is now flush with idea labs, communal research pods and a host of other tools designed to promote and capture the exchange of information at every stage. It's a place that has to be experienced to be appreciated, and it is just one of 10 world-class libraries on campus.
http://www.ucla.edu/academics/libraries	h3			Libraries & Resources
http://www.ucla.edu/academics/libraries	a			UCLA Library
http://www.ucla.edu/academics/libraries	a			Library Catalog
http://www.ucla.edu/academics/libraries	a			Campus Locations
http://www.ucla.edu/academics/libraries	a			Giving to the Library
http://www.ucla.edu/academics/libraries	h3			Special Collections
http://www.ucla.edu/academics/libraries	a			Biomedical Library History and Special Collections
http://www.ucla.edu/academics/libraries	a			Research Library Special Collections
http://www.ucla.edu/academics/libraries	a			Clark Library (17th & 18th Century Studies) - off campus
http://www.ucla.edu/academics/libraries	a			East Asian Library (Chinese, Japanese and Korean language materials)
http://www.ucla.edu/academics/libraries	a			Center for African American Studies Library
http://www.ucla.edu/academics/libraries	a			American Indian Studies Center Library
http://www.ucla.edu/academics/libraries	a			Asian American Studies Center Reading Room
http://www.ucla.edu/academics/libraries	a			Chicano Studies Research Center Library
http://www.ucla.edu/academics/libraries	h3			Archives
http://www.ucla.edu/academics/libraries	a			University Archives (history of UCLA)
http://www.ucla.edu/academics/libraries	a			Air Photo Archives
http://www.ucla.edu/academics/libraries	a			Ethnomusicology Archive
http://www.ucla.edu/academics/libraries	a			Film and Television Archive
http://www.ucla.edu/academics/libraries	a			Folk Medicine Archive
http://www.ucla.edu/academics/libraries	a			California Digital Library
http://www.ucla.edu/academics/libraries	a			Southern Regional Library Facility
http://www.ucla.edu/academics/libraries	a			Cuneiform Digital Library Initiative
http://www.ucla.edu/academics/libraries	a			English Reading Room
http://www.ucla.edu/academics/libraries	span			UCLA on Facebook
http://www.ucla.edu/academics/libraries	span			UCLA on Twitter
http://www.ucla.edu/academics/libraries	span			UCLA on Instagram
http://www.ucla.edu/academics/libraries	span			UCLA on Snapchat
http://www.ucla.edu/academics/libraries	span			UCLA on LinkedIn
http://www.ucla.edu/academics/libraries	span			UCLA on YouTube
http://www.ucla.edu/academics/libraries	span			UCLA.edu Homepage
