url	parent	ps	ns	text
http://www.ucla.edu/admission/affordability	a			Skip to Navigation
http://www.ucla.edu/admission/affordability	a			Skip to Search
http://www.ucla.edu/admission/affordability	a			Skip to Main Content
http://www.ucla.edu/admission/affordability	a			Skip to Footer Links
http://www.ucla.edu/admission/affordability	a			Prospective Students
http://www.ucla.edu/admission/affordability	a			Current Students
http://www.ucla.edu/admission/affordability	a			Faculty
http://www.ucla.edu/admission/affordability	a			Staff
http://www.ucla.edu/admission/affordability	a			Alumni
http://www.ucla.edu/admission/affordability	a			Parents & Families
http://www.ucla.edu/admission/affordability	a			UCLA
http://www.ucla.edu/admission/affordability	a		span	Apps
http://www.ucla.edu/admission/affordability	a		span	Menu
http://www.ucla.edu/admission/affordability	a			ABOUT
http://www.ucla.edu/admission/affordability	a			Overview
http://www.ucla.edu/admission/affordability	a			Chancellor
http://www.ucla.edu/admission/affordability	a			Leadership
http://www.ucla.edu/admission/affordability	a			Mission & Values
http://www.ucla.edu/admission/affordability	a			Facts & Figures
http://www.ucla.edu/admission/affordability	a			Awards & Honors
http://www.ucla.edu/admission/affordability	a			History
http://www.ucla.edu/admission/affordability	a			Impact & Accomplishments
http://www.ucla.edu/admission/affordability	a			Iconic & Influential Alumni
http://www.ucla.edu/admission/affordability	a			Rankings
http://www.ucla.edu/admission/affordability	a			Centers & Institutes
http://www.ucla.edu/admission/affordability	a			Careers
http://www.ucla.edu/admission/affordability	a	ul		Close (X)
http://www.ucla.edu/admission/affordability	a			ACADEMICS
http://www.ucla.edu/admission/affordability	a			Overview
http://www.ucla.edu/admission/affordability	a			Undergraduate Education
http://www.ucla.edu/admission/affordability	a			Graduate & Professional Education
http://www.ucla.edu/admission/affordability	a			Continuing Education
http://www.ucla.edu/admission/affordability	a			Academic Opportunities
http://www.ucla.edu/admission/affordability	a			Faculty
http://www.ucla.edu/admission/affordability	a			Departments & Programs
http://www.ucla.edu/admission/affordability	a			Libraries
http://www.ucla.edu/admission/affordability	a	ul		Close (X)
http://www.ucla.edu/admission/affordability	a			ADMISSION
http://www.ucla.edu/admission/affordability	a			Admission Overview
http://www.ucla.edu/admission/affordability	a			Undergraduate Admission
http://www.ucla.edu/admission/affordability	a			Graduate Admission
http://www.ucla.edu/admission/affordability	a			Extension Enrollment
http://www.ucla.edu/admission/affordability	a			International Admission
http://www.ucla.edu/admission/affordability	a			Transfer Admission
http://www.ucla.edu/admission/affordability	a			Affordability & Financial Aid
http://www.ucla.edu/admission/affordability	a	ul		Close (X)
http://www.ucla.edu/admission/affordability	a			UCLA IN THE COMMUNITY
http://www.ucla.edu/admission/affordability	a			Overview
http://www.ucla.edu/admission/affordability	a			Community Programs & Partnerships
http://www.ucla.edu/admission/affordability	a			K-12 Education Programs & Resources
http://www.ucla.edu/admission/affordability	a			Academic Programs
http://www.ucla.edu/admission/affordability	a			Health Care
http://www.ucla.edu/admission/affordability	a			Arts & Culture
http://www.ucla.edu/admission/affordability	a	ul		Close (X)
http://www.ucla.edu/admission/affordability	a			THE ARTS
http://www.ucla.edu/admission/affordability	a			Arts Overview
http://www.ucla.edu/admission/affordability	a			School of the Arts and Architecture
http://www.ucla.edu/admission/affordability	a			Herb Alpert School of Music
http://www.ucla.edu/admission/affordability	a			School of Theater, Film and Television
http://www.ucla.edu/admission/affordability	a			Performing Arts
http://www.ucla.edu/admission/affordability	a			Museums
http://www.ucla.edu/admission/affordability	a			Arts In The Community
http://www.ucla.edu/admission/affordability	a	ul		Close (X)
http://www.ucla.edu/admission/affordability	a			CAMPUS LIFE
http://www.ucla.edu/admission/affordability	a			Overview
http://www.ucla.edu/admission/affordability	a			Values
http://www.ucla.edu/admission/affordability	a			Housing & Dining
http://www.ucla.edu/admission/affordability	a			LA Lifestyle
http://www.ucla.edu/admission/affordability	a			Health & Safety
http://www.ucla.edu/admission/affordability	a			Clubs, Organizations & Recreation
http://www.ucla.edu/admission/affordability	a			Student Support
http://www.ucla.edu/admission/affordability	a	ul		Close (X)
http://www.ucla.edu/admission/affordability	a			HEALTH SYSTEM
http://www.ucla.edu/admission/affordability	a			Overview
http://www.ucla.edu/admission/affordability	a			For Patients
http://www.ucla.edu/admission/affordability	a			For Healthcare Professionals
http://www.ucla.edu/admission/affordability	a			Education
http://www.ucla.edu/admission/affordability	a			Continuing Education
http://www.ucla.edu/admission/affordability	a			Giving Back to UCLA
http://www.ucla.edu/admission/affordability	a	ul		Close (X)
http://www.ucla.edu/admission/affordability	a			RESEARCH
http://www.ucla.edu/admission/affordability	a			Overview
http://www.ucla.edu/admission/affordability	a			Research Across Campus
http://www.ucla.edu/admission/affordability	a			Undergraduate Research
http://www.ucla.edu/admission/affordability	a			Graduate Research
http://www.ucla.edu/admission/affordability	a			Research and Entrepreneurship
http://www.ucla.edu/admission/affordability	a			Libraries
http://www.ucla.edu/admission/affordability	a			Administration Overview
http://www.ucla.edu/admission/affordability	a	ul		Close (X)
http://www.ucla.edu/admission/affordability	a			ATHLETICS
http://www.ucla.edu/admission/affordability	a			Visit
http://www.ucla.edu/admission/affordability	a			Apply
http://www.ucla.edu/admission/affordability	a			Give
http://www.ucla.edu/admission/affordability	a			ADMISSION OVERVIEW
http://www.ucla.edu/admission/affordability	a			UNDERGRADUATE ADMISSION
http://www.ucla.edu/admission/affordability	a			GRADUATE ADMISSION
http://www.ucla.edu/admission/affordability	a			EXTENSION ENROLLMENT
http://www.ucla.edu/admission/affordability	a			INTERNATIONAL ADMISSION
http://www.ucla.edu/admission/affordability	a			TRANSFER ADMISSION
http://www.ucla.edu/admission/affordability	a			AFFORDABILITY &AMP FINANCIAL AID
http://www.ucla.edu/admission/affordability	h2			Affordability and How Financial Aid Can Help
http://www.ucla.edu/admission/affordability	span			"""How To Afford UCLA"""
http://www.ucla.edu/admission/affordability	p			When you are admitted to UCLA, you and your family might have a lot of questions about how you’ll cover the costs of tuition, housing and other necessities. Our financial aid professionals will make every effort to help you afford to pay for your education. Our office is dedicated to helping each family create a strategy that works for them. Thanks to the numerous options available, your education can be affordable.
http://www.ucla.edu/admission/affordability	span			The No. 1 Best Value University
http://www.ucla.edu/admission/affordability	p		em	In 2018, 
http://www.ucla.edu/admission/affordability	em			Forbes
http://www.ucla.edu/admission/affordability	p			 ranked UCLA the No. 1 best value university, citing our combination of high education quality and low student debt upon graduation.
http://www.ucla.edu/admission/affordability	p		a	Most families pay less than the full price, and 46 percent of our undergraduate students pay no tuition at all. We offer an array of 
http://www.ucla.edu/admission/affordability	a			housing options
http://www.ucla.edu/admission/affordability	p		a	 and 
http://www.ucla.edu/admission/affordability	a			meal plans
http://www.ucla.edu/admission/affordability	p		a	 — as well as financial aid for housing — so that you have flexibility as to how much you pay for room and board. In addition, UCLA offers 
http://www.ucla.edu/admission/affordability	a			payment plans
http://www.ucla.edu/admission/affordability	p			 for both tuition and housing so that families can make smaller, regular payments throughout the academic year instead of larger payments.
http://www.ucla.edu/admission/affordability	h3			ESTIMATED COSTS FOR THE ACADEMIC YEAR 2019-20
http://www.ucla.edu/admission/affordability	p			(Note: all fees are subject to change)
http://www.ucla.edu/admission/affordability	th			LIVING IN A RESIDENCE HALL
http://www.ucla.edu/admission/affordability	td			University Fees
http://www.ucla.edu/admission/affordability	td			$13,239
http://www.ucla.edu/admission/affordability	td			Room and Meals*
http://www.ucla.edu/admission/affordability	td			$16,625
http://www.ucla.edu/admission/affordability	td			Books and Supplies
http://www.ucla.edu/admission/affordability	td			$1,464
http://www.ucla.edu/admission/affordability	td			Transportation
http://www.ucla.edu/admission/affordability	td			$441
http://www.ucla.edu/admission/affordability	td			Personal
http://www.ucla.edu/admission/affordability	td			$1,506
http://www.ucla.edu/admission/affordability	td			Health Insurance**
http://www.ucla.edu/admission/affordability	td			$2,516
http://www.ucla.edu/admission/affordability	b			TOTAL
http://www.ucla.edu/admission/affordability	b			$35,791
http://www.ucla.edu/admission/affordability	td			Non-resident Tuition
http://www.ucla.edu/admission/affordability	td			$29,754
http://www.ucla.edu/admission/affordability	b			NON-RESIDENT TOTAL
http://www.ucla.edu/admission/affordability	b			$65,545
http://www.ucla.edu/admission/affordability	p			 Housing costs may vary, depending on room type and meal plan chosen
http://www.ucla.edu/admission/affordability	p			 Waived if proof of insurance is provided
http://www.ucla.edu/admission/affordability	h3			Financial Aid Applications
http://www.ucla.edu/admission/affordability	p		a	Before you do anything else, fill out the 
http://www.ucla.edu/admission/affordability	a			Free Application for Federal Student Aid (FAFSA)
http://www.ucla.edu/admission/affordability	p		a	 or the 
http://www.ucla.edu/admission/affordability	a			DREAM Act Application
http://www.ucla.edu/admission/affordability	p			. Make sure that you complete the application before the UCLA priority deadline (March 2). These applications provide access to federal- and state-based financial aid programs for all eligible students.
http://www.ucla.edu/admission/affordability	a			Continue to FAFSA
http://www.ucla.edu/admission/affordability	a			Continue to DREAM Act
http://www.ucla.edu/admission/affordability	span			Four Types of Financial Aid
http://www.ucla.edu/admission/affordability	p			Paying for your education should be a partnership between student, family and university. Check out the many ways you can pay for your UCLA education.
http://www.ucla.edu/admission/affordability	h3			1. Scholarships
http://www.ucla.edu/admission/affordability	p			UCLA offers financial support that may be awarded based on need, academic merit, background, specific talents or professional interests:
http://www.ucla.edu/admission/affordability	a			UCLA Regents Scholarships (merit-based)
http://www.ucla.edu/admission/affordability	a			UCLA Alumni Scholarships (merit-based)
