url	parent	ps	ns	text
http://www.ucla.edu/admission/international-admission	a			Skip to Navigation
http://www.ucla.edu/admission/international-admission	a			Skip to Search
http://www.ucla.edu/admission/international-admission	a			Skip to Main Content
http://www.ucla.edu/admission/international-admission	a			Skip to Footer Links
http://www.ucla.edu/admission/international-admission	a			Prospective Students
http://www.ucla.edu/admission/international-admission	a			Current Students
http://www.ucla.edu/admission/international-admission	a			Faculty
http://www.ucla.edu/admission/international-admission	a			Staff
http://www.ucla.edu/admission/international-admission	a			Alumni
http://www.ucla.edu/admission/international-admission	a			Parents & Families
http://www.ucla.edu/admission/international-admission	a			UCLA
http://www.ucla.edu/admission/international-admission	a		span	Apps
http://www.ucla.edu/admission/international-admission	a		span	Menu
http://www.ucla.edu/admission/international-admission	a			ABOUT
http://www.ucla.edu/admission/international-admission	a			Overview
http://www.ucla.edu/admission/international-admission	a			Chancellor
http://www.ucla.edu/admission/international-admission	a			Leadership
http://www.ucla.edu/admission/international-admission	a			Mission & Values
http://www.ucla.edu/admission/international-admission	a			Facts & Figures
http://www.ucla.edu/admission/international-admission	a			Awards & Honors
http://www.ucla.edu/admission/international-admission	a			History
http://www.ucla.edu/admission/international-admission	a			Impact & Accomplishments
http://www.ucla.edu/admission/international-admission	a			Iconic & Influential Alumni
http://www.ucla.edu/admission/international-admission	a			Rankings
http://www.ucla.edu/admission/international-admission	a			Centers & Institutes
http://www.ucla.edu/admission/international-admission	a			Careers
http://www.ucla.edu/admission/international-admission	a	ul		Close (X)
http://www.ucla.edu/admission/international-admission	a			ACADEMICS
http://www.ucla.edu/admission/international-admission	a			Overview
http://www.ucla.edu/admission/international-admission	a			Undergraduate Education
http://www.ucla.edu/admission/international-admission	a			Graduate & Professional Education
http://www.ucla.edu/admission/international-admission	a			Continuing Education
http://www.ucla.edu/admission/international-admission	a			Academic Opportunities
http://www.ucla.edu/admission/international-admission	a			Faculty
http://www.ucla.edu/admission/international-admission	a			Departments & Programs
http://www.ucla.edu/admission/international-admission	a			Libraries
http://www.ucla.edu/admission/international-admission	a	ul		Close (X)
http://www.ucla.edu/admission/international-admission	a			ADMISSION
http://www.ucla.edu/admission/international-admission	a			Admission Overview
http://www.ucla.edu/admission/international-admission	a			Undergraduate Admission
http://www.ucla.edu/admission/international-admission	a			Graduate Admission
http://www.ucla.edu/admission/international-admission	a			Extension Enrollment
http://www.ucla.edu/admission/international-admission	a			International Admission
http://www.ucla.edu/admission/international-admission	a			Transfer Admission
http://www.ucla.edu/admission/international-admission	a			Affordability & Financial Aid
http://www.ucla.edu/admission/international-admission	a	ul		Close (X)
http://www.ucla.edu/admission/international-admission	a			UCLA IN THE COMMUNITY
http://www.ucla.edu/admission/international-admission	a			Overview
http://www.ucla.edu/admission/international-admission	a			Community Programs & Partnerships
http://www.ucla.edu/admission/international-admission	a			K-12 Education Programs & Resources
http://www.ucla.edu/admission/international-admission	a			Academic Programs
http://www.ucla.edu/admission/international-admission	a			Health Care
http://www.ucla.edu/admission/international-admission	a			Arts & Culture
http://www.ucla.edu/admission/international-admission	a	ul		Close (X)
http://www.ucla.edu/admission/international-admission	a			THE ARTS
http://www.ucla.edu/admission/international-admission	a			Arts Overview
http://www.ucla.edu/admission/international-admission	a			School of the Arts and Architecture
http://www.ucla.edu/admission/international-admission	a			Herb Alpert School of Music
http://www.ucla.edu/admission/international-admission	a			School of Theater, Film and Television
http://www.ucla.edu/admission/international-admission	a			Performing Arts
http://www.ucla.edu/admission/international-admission	a			Museums
http://www.ucla.edu/admission/international-admission	a			Arts In The Community
http://www.ucla.edu/admission/international-admission	a	ul		Close (X)
http://www.ucla.edu/admission/international-admission	a			CAMPUS LIFE
http://www.ucla.edu/admission/international-admission	a			Overview
http://www.ucla.edu/admission/international-admission	a			Values
http://www.ucla.edu/admission/international-admission	a			Housing & Dining
http://www.ucla.edu/admission/international-admission	a			LA Lifestyle
http://www.ucla.edu/admission/international-admission	a			Health & Safety
http://www.ucla.edu/admission/international-admission	a			Clubs, Organizations & Recreation
http://www.ucla.edu/admission/international-admission	a			Student Support
http://www.ucla.edu/admission/international-admission	a	ul		Close (X)
http://www.ucla.edu/admission/international-admission	a			HEALTH SYSTEM
http://www.ucla.edu/admission/international-admission	a			Overview
http://www.ucla.edu/admission/international-admission	a			For Patients
http://www.ucla.edu/admission/international-admission	a			For Healthcare Professionals
http://www.ucla.edu/admission/international-admission	a			Education
http://www.ucla.edu/admission/international-admission	a			Continuing Education
http://www.ucla.edu/admission/international-admission	a			Giving Back to UCLA
http://www.ucla.edu/admission/international-admission	a	ul		Close (X)
http://www.ucla.edu/admission/international-admission	a			RESEARCH
http://www.ucla.edu/admission/international-admission	a			Overview
http://www.ucla.edu/admission/international-admission	a			Research Across Campus
http://www.ucla.edu/admission/international-admission	a			Undergraduate Research
http://www.ucla.edu/admission/international-admission	a			Graduate Research
http://www.ucla.edu/admission/international-admission	a			Research and Entrepreneurship
http://www.ucla.edu/admission/international-admission	a			Libraries
http://www.ucla.edu/admission/international-admission	a			Administration Overview
http://www.ucla.edu/admission/international-admission	a	ul		Close (X)
http://www.ucla.edu/admission/international-admission	a			ATHLETICS
http://www.ucla.edu/admission/international-admission	a			Visit
http://www.ucla.edu/admission/international-admission	a			Apply
http://www.ucla.edu/admission/international-admission	a			Give
http://www.ucla.edu/admission/international-admission	a			ADMISSION OVERVIEW
http://www.ucla.edu/admission/international-admission	a			UNDERGRADUATE ADMISSION
http://www.ucla.edu/admission/international-admission	a			GRADUATE ADMISSION
http://www.ucla.edu/admission/international-admission	a			EXTENSION ENROLLMENT
http://www.ucla.edu/admission/international-admission	a			INTERNATIONAL ADMISSION
http://www.ucla.edu/admission/international-admission	a			TRANSFER ADMISSION
http://www.ucla.edu/admission/international-admission	a			AFFORDABILITY &AMP FINANCIAL AID
http://www.ucla.edu/admission/international-admission	h2			International Admission
http://www.ucla.edu/admission/international-admission	p		a	That means opening our doors to students from 
http://www.ucla.edu/admission/international-admission	a			around the world
http://www.ucla.edu/admission/international-admission	p			.     In the middle of one of the most vibrant global cities, with accomplished faculty and extensive resources, UCLA is one of the most     desirable academic destinations in the world.
http://www.ucla.edu/admission/international-admission	p		a	The UCLA International Education Office offers a range of different programs for international students. Between     
http://www.ucla.edu/admission/international-admission	a			Summer Study
http://www.ucla.edu/admission/international-admission	p			 and Reciprocity Exchange programs, we're bound      to identify the right means for accommodating an enriching multicultural educational experience.
http://www.ucla.edu/admission/international-admission	p		a	Our international student and scholar community is 12,000 strong. And providing these talented individuals with useful resources is     paramount to assist their acclimation to UCLA. 
http://www.ucla.edu/admission/international-admission	a			The Dashew Center
http://www.ucla.edu/admission/international-admission	p			 provides a wide     variety of services, resources and programs, from assistance with immigration regulations to orientation and English Conversation     programs. At UCLA, you're not alone—even when you're far from home.
http://www.ucla.edu/admission/international-admission	h4			More Information
http://www.ucla.edu/admission/international-admission	a			International Student Admission (Undergraduates)
http://www.ucla.edu/admission/international-admission	a			International Student Admission (Graduate School)
http://www.ucla.edu/admission/international-admission	a			UCLA Global: International programs, activities and data at UCLA
http://www.ucla.edu/admission/international-admission	a			Enrollment Opportunities
http://www.ucla.edu/admission/international-admission	a			International Education Office
http://www.ucla.edu/admission/international-admission	a			Visiting Graduate Researchers
http://www.ucla.edu/admission/international-admission	a			International Institute
http://www.ucla.edu/admission/international-admission	a			UCLA Extension International Programs
http://www.ucla.edu/admission/international-admission	a			Dashew Center for International Students
http://www.ucla.edu/admission/international-admission	span			UCLA on Facebook
http://www.ucla.edu/admission/international-admission	span			UCLA on Twitter
http://www.ucla.edu/admission/international-admission	span			UCLA on Instagram
http://www.ucla.edu/admission/international-admission	span			UCLA on Snapchat
http://www.ucla.edu/admission/international-admission	span			UCLA on LinkedIn
http://www.ucla.edu/admission/international-admission	span			UCLA on YouTube
http://www.ucla.edu/admission/international-admission	span			UCLA.edu Homepage
http://www.ucla.edu/admission/international-admission	em			Information
http://www.ucla.edu/admission/international-admission	span			Careers
http://www.ucla.edu/admission/international-admission	span			Directory
http://www.ucla.edu/admission/international-admission	span			Contact
http://www.ucla.edu/admission/international-admission	span			Academic Calendar
http://www.ucla.edu/admission/international-admission	span			Maps, Directions
http://www.ucla.edu/admission/international-admission	span			Parking & Transportation
http://www.ucla.edu/admission/international-admission	span			Emergency
http://www.ucla.edu/admission/international-admission	em			Campus Values
http://www.ucla.edu/admission/international-admission	span			Equity, Diversity & Inclusion
http://www.ucla.edu/admission/international-admission	span			Environment & Sustainability
http://www.ucla.edu/admission/international-admission	span			True Bruin Statement
http://www.ucla.edu/admission/international-admission	span			Volunteerism
http://www.ucla.edu/admission/international-admission	em			Event Venues
http://www.ucla.edu/admission/international-admission	span			Luskin Conference Center
http://www.ucla.edu/admission/international-admission	span			Event Planning
http://www.ucla.edu/admission/international-admission	span			Film Production
http://www.ucla.edu/admission/international-admission	span		a	©2019 Regents of the 
http://www.ucla.edu/admission/international-admission	a			University of California
http://www.ucla.edu/admission/international-admission	a			Terms of Use
http://www.ucla.edu/admission/international-admission	a			Accessibility
http://www.ucla.edu/admission/international-admission	a			Report Misconduct
