url	parent	ps	ns	text
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a			Skip to Navigation
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a			Skip to Search
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a			Skip to Main Content
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a			Skip to Footer Links
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a			Prospective Students
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a			Current Students
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a			Faculty
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a			Staff
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a			Alumni
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a			Parents & Families
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a			UCLA
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a		span	Apps
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a		span	Menu
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a			ABOUT
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a			Overview
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a			Chancellor
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a			Leadership
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a			Mission & Values
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a			Facts & Figures
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a			Awards & Honors
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a			History
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a			Impact & Accomplishments
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a			Iconic & Influential Alumni
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a			Rankings
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a			Centers & Institutes
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a			Careers
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a	ul		Close (X)
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a			ACADEMICS
http://www.ucla.edu/cdn-cgi/l/email-protection#81eef7e2f3c1e2eeefe4f5aff4e2ede0afe4e5f4	a			Overview
