url	parent	ps	ns	text
http://www.ucla.edu/extension-enrollment	a			Skip to Navigation
http://www.ucla.edu/extension-enrollment	a			Skip to Search
http://www.ucla.edu/extension-enrollment	a			Skip to Main Content
http://www.ucla.edu/extension-enrollment	a			Skip to Footer Links
http://www.ucla.edu/extension-enrollment	a			Prospective Students
http://www.ucla.edu/extension-enrollment	a			Current Students
http://www.ucla.edu/extension-enrollment	a			Faculty
http://www.ucla.edu/extension-enrollment	a			Staff
http://www.ucla.edu/extension-enrollment	a			Alumni
http://www.ucla.edu/extension-enrollment	a			Parents & Families
http://www.ucla.edu/extension-enrollment	a			UCLA
http://www.ucla.edu/extension-enrollment	a		span	Apps
http://www.ucla.edu/extension-enrollment	a		span	Menu
http://www.ucla.edu/extension-enrollment	a			ABOUT
http://www.ucla.edu/extension-enrollment	a			Overview
http://www.ucla.edu/extension-enrollment	a			Chancellor
http://www.ucla.edu/extension-enrollment	a			Leadership
http://www.ucla.edu/extension-enrollment	a			Mission & Values
http://www.ucla.edu/extension-enrollment	a			Facts & Figures
http://www.ucla.edu/extension-enrollment	a			Awards & Honors
http://www.ucla.edu/extension-enrollment	a			History
http://www.ucla.edu/extension-enrollment	a			Impact & Accomplishments
http://www.ucla.edu/extension-enrollment	a			Iconic & Influential Alumni
http://www.ucla.edu/extension-enrollment	a			Rankings
http://www.ucla.edu/extension-enrollment	a			Centers & Institutes
http://www.ucla.edu/extension-enrollment	a			Careers
http://www.ucla.edu/extension-enrollment	a	ul		Close (X)
http://www.ucla.edu/extension-enrollment	a			ACADEMICS
http://www.ucla.edu/extension-enrollment	a			Overview
http://www.ucla.edu/extension-enrollment	a			Undergraduate Education
http://www.ucla.edu/extension-enrollment	a			Graduate & Professional Education
http://www.ucla.edu/extension-enrollment	a			Continuing Education
http://www.ucla.edu/extension-enrollment	a			Academic Opportunities
http://www.ucla.edu/extension-enrollment	a			Faculty
http://www.ucla.edu/extension-enrollment	a			Departments & Programs
http://www.ucla.edu/extension-enrollment	a			Libraries
http://www.ucla.edu/extension-enrollment	a	ul		Close (X)
