url	parent	ps	ns	text
http://www.ucla.edu/external-affairs	a			Skip to Navigation
http://www.ucla.edu/external-affairs	a			Skip to Main Content
http://www.ucla.edu/external-affairs	a			UCLA.edu
http://www.ucla.edu/external-affairs	a			Prospective Students
http://www.ucla.edu/external-affairs	a			Current Students
http://www.ucla.edu/external-affairs	a			Faculty
http://www.ucla.edu/external-affairs	a			Staff
http://www.ucla.edu/external-affairs	a			Alumni
http://www.ucla.edu/external-affairs	a			Parents & Families
http://www.ucla.edu/external-affairs	a		span	Menu
http://www.ucla.edu/external-affairs	a			EXTERNAL AFFAIRS
http://www.ucla.edu/external-affairs	a			ALUMNI AFFAIRS
http://www.ucla.edu/external-affairs	a			DEVELOPMENT
http://www.ucla.edu/external-affairs	a			ADVANCEMENT SERVICES
http://www.ucla.edu/external-affairs	a			GOVERNMENT AND COMMUNITY RELATIONS
http://www.ucla.edu/external-affairs	h2			External Affairs
http://www.ucla.edu/external-affairs	p		strong	External Affairs’ mission is: 
http://www.ucla.edu/external-affairs	strong			To build    enduring relationships that promote advocacy and financial support    for UCLA.
http://www.ucla.edu/external-affairs	p			UCLA External Affairs advances UCLA’s mission    of teaching, research and community service through a coordinated    campuswide communications, advocacy and development effort. The    common goal is to connect UCLA’s faculty, staff, students,    alumni and friends through strategies and programs designed to    build long-term relationships and support for the university. 
http://www.ucla.edu/external-affairs	p			Rhea Turteltaub's leadership as Vice Chancellor, UCLA External Affairs, began in April 2008.    She manages External Affairs with the help of a senior team and an executive support staff.
http://www.ucla.edu/external-affairs	h4			More Information
http://www.ucla.edu/external-affairs	a			Employment Opportunities in External Affairs
http://www.ucla.edu/external-affairs	a			UCLA Implementing Procedures of UC Policy On Distribution of Tickets and Passes to University Officials
http://www.ucla.edu/external-affairs	span			UCLA on Facebook
http://www.ucla.edu/external-affairs	span			UCLA on Twitter
http://www.ucla.edu/external-affairs	span			UCLA on Instagram
http://www.ucla.edu/external-affairs	span			UCLA on Snapchat
http://www.ucla.edu/external-affairs	span			UCLA on LinkedIn
http://www.ucla.edu/external-affairs	span			UCLA on YouTube
http://www.ucla.edu/external-affairs	span			UCLA.edu Homepage
http://www.ucla.edu/external-affairs	em			Information
http://www.ucla.edu/external-affairs	span			Careers
http://www.ucla.edu/external-affairs	span			Directory
http://www.ucla.edu/external-affairs	span			Contact
http://www.ucla.edu/external-affairs	span			Academic Calendar
http://www.ucla.edu/external-affairs	span			Maps, Directions
http://www.ucla.edu/external-affairs	span			Parking & Transportation
http://www.ucla.edu/external-affairs	span			Emergency
http://www.ucla.edu/external-affairs	em			Campus Values
http://www.ucla.edu/external-affairs	span			Equity, Diversity & Inclusion
http://www.ucla.edu/external-affairs	span			Environment & Sustainability
http://www.ucla.edu/external-affairs	span			True Bruin Statement
http://www.ucla.edu/external-affairs	span			Volunteerism
http://www.ucla.edu/external-affairs	em			Event Venues
http://www.ucla.edu/external-affairs	span			Luskin Conference Center
http://www.ucla.edu/external-affairs	span			Event Planning
http://www.ucla.edu/external-affairs	span			Film Production
http://www.ucla.edu/external-affairs	span		a	©2019 Regents of the 
http://www.ucla.edu/external-affairs	a			University of California
http://www.ucla.edu/external-affairs	a			Terms of Use
http://www.ucla.edu/external-affairs	a			Accessibility
