url	parent	ps	ns	text
http://www.ucla.edu/faculty	a			Skip to Navigation
http://www.ucla.edu/faculty	a			Skip to Search
http://www.ucla.edu/faculty	a			Skip to Main Content
http://www.ucla.edu/faculty	a			Skip to Footer Links
http://www.ucla.edu/faculty	a			Prospective Students
http://www.ucla.edu/faculty	a			Current Students
http://www.ucla.edu/faculty	a			Faculty
http://www.ucla.edu/faculty	a			Staff
http://www.ucla.edu/faculty	a			Alumni
http://www.ucla.edu/faculty	a			Parents & Families
http://www.ucla.edu/faculty	a			UCLA
http://www.ucla.edu/faculty	a		span	Apps
http://www.ucla.edu/faculty	a		span	Menu
http://www.ucla.edu/faculty	a			ABOUT
http://www.ucla.edu/faculty	a			Overview
http://www.ucla.edu/faculty	a			Chancellor
http://www.ucla.edu/faculty	a			Leadership
http://www.ucla.edu/faculty	a			Mission & Values
http://www.ucla.edu/faculty	a			Facts & Figures
http://www.ucla.edu/faculty	a			Awards & Honors
http://www.ucla.edu/faculty	a			History
http://www.ucla.edu/faculty	a			Impact & Accomplishments
http://www.ucla.edu/faculty	a			Iconic & Influential Alumni
http://www.ucla.edu/faculty	a			Rankings
http://www.ucla.edu/faculty	a			Centers & Institutes
http://www.ucla.edu/faculty	a			Careers
http://www.ucla.edu/faculty	a	ul		Close (X)
http://www.ucla.edu/faculty	a			ACADEMICS
http://www.ucla.edu/faculty	a			Overview
http://www.ucla.edu/faculty	a			Undergraduate Education
http://www.ucla.edu/faculty	a			Graduate & Professional Education
http://www.ucla.edu/faculty	a			Continuing Education
http://www.ucla.edu/faculty	a			Academic Opportunities
http://www.ucla.edu/faculty	a			Faculty
http://www.ucla.edu/faculty	a			Departments & Programs
http://www.ucla.edu/faculty	a			Libraries
http://www.ucla.edu/faculty	a	ul		Close (X)
http://www.ucla.edu/faculty	a			ADMISSION
http://www.ucla.edu/faculty	a			Admission Overview
http://www.ucla.edu/faculty	a			Undergraduate Admission
http://www.ucla.edu/faculty	a			Graduate Admission
http://www.ucla.edu/faculty	a			Extension Enrollment
http://www.ucla.edu/faculty	a			International Admission
http://www.ucla.edu/faculty	a			Transfer Admission
http://www.ucla.edu/faculty	a			Affordability & Financial Aid
http://www.ucla.edu/faculty	a	ul		Close (X)
http://www.ucla.edu/faculty	a			UCLA IN THE COMMUNITY
http://www.ucla.edu/faculty	a			Overview
http://www.ucla.edu/faculty	a			Community Programs & Partnerships
http://www.ucla.edu/faculty	a			K-12 Education Programs & Resources
http://www.ucla.edu/faculty	a			Academic Programs
http://www.ucla.edu/faculty	a			Health Care
http://www.ucla.edu/faculty	a			Arts & Culture
http://www.ucla.edu/faculty	a	ul		Close (X)
http://www.ucla.edu/faculty	a			THE ARTS
http://www.ucla.edu/faculty	a			Arts Overview
http://www.ucla.edu/faculty	a			School of the Arts and Architecture
http://www.ucla.edu/faculty	a			Herb Alpert School of Music
http://www.ucla.edu/faculty	a			School of Theater, Film and Television
http://www.ucla.edu/faculty	a			Performing Arts
http://www.ucla.edu/faculty	a			Museums
http://www.ucla.edu/faculty	a			Arts In The Community
http://www.ucla.edu/faculty	a	ul		Close (X)
http://www.ucla.edu/faculty	a			CAMPUS LIFE
