url	parent	ps	ns	text
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a			Skip to Navigation
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a			Skip to Search
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a			Skip to Main Content
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a			Skip to Footer Links
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a			Prospective Students
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a			Current Students
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a			Faculty
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a			Staff
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a			Alumni
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a			Parents & Families
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a			UCLA
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a		span	Apps
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a		span	Menu
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a			ABOUT
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a			Overview
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a			Chancellor
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a			Leadership
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a			Mission & Values
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a			Facts & Figures
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a			Awards & Honors
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a			History
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a			Impact & Accomplishments
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a			Iconic & Influential Alumni
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a			Rankings
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a			Centers & Institutes
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a			Careers
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a	ul		Close (X)
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a			ACADEMICS
http://www.ucla.edu/faculty/american-association-for-the-advancement-of-science	a			Overview
