url	parent	ps	ns	text
http://www.ucla.edu/faculty/national-academy-of-education	a			Skip to Navigation
http://www.ucla.edu/faculty/national-academy-of-education	a			Skip to Search
http://www.ucla.edu/faculty/national-academy-of-education	a			Skip to Main Content
http://www.ucla.edu/faculty/national-academy-of-education	a			Skip to Footer Links
http://www.ucla.edu/faculty/national-academy-of-education	a			Prospective Students
http://www.ucla.edu/faculty/national-academy-of-education	a			Current Students
http://www.ucla.edu/faculty/national-academy-of-education	a			Faculty
http://www.ucla.edu/faculty/national-academy-of-education	a			Staff
http://www.ucla.edu/faculty/national-academy-of-education	a			Alumni
http://www.ucla.edu/faculty/national-academy-of-education	a			Parents & Families
http://www.ucla.edu/faculty/national-academy-of-education	a			UCLA
http://www.ucla.edu/faculty/national-academy-of-education	a		span	Apps
http://www.ucla.edu/faculty/national-academy-of-education	a		span	Menu
http://www.ucla.edu/faculty/national-academy-of-education	a			ABOUT
http://www.ucla.edu/faculty/national-academy-of-education	a			Overview
http://www.ucla.edu/faculty/national-academy-of-education	a			Chancellor
http://www.ucla.edu/faculty/national-academy-of-education	a			Leadership
http://www.ucla.edu/faculty/national-academy-of-education	a			Mission & Values
http://www.ucla.edu/faculty/national-academy-of-education	a			Facts & Figures
http://www.ucla.edu/faculty/national-academy-of-education	a			Awards & Honors
http://www.ucla.edu/faculty/national-academy-of-education	a			History
http://www.ucla.edu/faculty/national-academy-of-education	a			Impact & Accomplishments
http://www.ucla.edu/faculty/national-academy-of-education	a			Iconic & Influential Alumni
http://www.ucla.edu/faculty/national-academy-of-education	a			Rankings
http://www.ucla.edu/faculty/national-academy-of-education	a			Centers & Institutes
http://www.ucla.edu/faculty/national-academy-of-education	a			Careers
http://www.ucla.edu/faculty/national-academy-of-education	a	ul		Close (X)
http://www.ucla.edu/faculty/national-academy-of-education	a			ACADEMICS
http://www.ucla.edu/faculty/national-academy-of-education	a			Overview
http://www.ucla.edu/faculty/national-academy-of-education	a			Undergraduate Education
http://www.ucla.edu/faculty/national-academy-of-education	a			Graduate & Professional Education
http://www.ucla.edu/faculty/national-academy-of-education	a			Continuing Education
http://www.ucla.edu/faculty/national-academy-of-education	a			Academic Opportunities
http://www.ucla.edu/faculty/national-academy-of-education	a			Faculty
http://www.ucla.edu/faculty/national-academy-of-education	a			Departments & Programs
http://www.ucla.edu/faculty/national-academy-of-education	a			Libraries
http://www.ucla.edu/faculty/national-academy-of-education	a	ul		Close (X)
http://www.ucla.edu/faculty/national-academy-of-education	a			ADMISSION
http://www.ucla.edu/faculty/national-academy-of-education	a			Admission Overview
http://www.ucla.edu/faculty/national-academy-of-education	a			Undergraduate Admission
http://www.ucla.edu/faculty/national-academy-of-education	a			Graduate Admission
http://www.ucla.edu/faculty/national-academy-of-education	a			Extension Enrollment
http://www.ucla.edu/faculty/national-academy-of-education	a			International Admission
http://www.ucla.edu/faculty/national-academy-of-education	a			Transfer Admission
http://www.ucla.edu/faculty/national-academy-of-education	a			Affordability & Financial Aid
http://www.ucla.edu/faculty/national-academy-of-education	a	ul		Close (X)
http://www.ucla.edu/faculty/national-academy-of-education	a			UCLA IN THE COMMUNITY
http://www.ucla.edu/faculty/national-academy-of-education	a			Overview
http://www.ucla.edu/faculty/national-academy-of-education	a			Community Programs & Partnerships
http://www.ucla.edu/faculty/national-academy-of-education	a			K-12 Education Programs & Resources
