url	parent	ps	ns	text
http://www.ucla.edu/highlights	a			Skip to Navigation
http://www.ucla.edu/highlights	a			Skip to Search
http://www.ucla.edu/highlights	a			Skip to Main Content
http://www.ucla.edu/highlights	a			Skip to Footer Links
http://www.ucla.edu/highlights	a			Prospective Students
http://www.ucla.edu/highlights	a			Current Students
http://www.ucla.edu/highlights	a			Faculty
http://www.ucla.edu/highlights	a			Staff
http://www.ucla.edu/highlights	a			Alumni
http://www.ucla.edu/highlights	a			Parents & Families
http://www.ucla.edu/highlights	a			UCLA
http://www.ucla.edu/highlights	a		span	Apps
http://www.ucla.edu/highlights	a		span	Menu
http://www.ucla.edu/highlights	a			ABOUT
http://www.ucla.edu/highlights	a			Overview
http://www.ucla.edu/highlights	a			Chancellor
http://www.ucla.edu/highlights	a			Leadership
http://www.ucla.edu/highlights	a			Mission & Values
http://www.ucla.edu/highlights	a			Facts & Figures
http://www.ucla.edu/highlights	a			Awards & Honors
http://www.ucla.edu/highlights	a			History
http://www.ucla.edu/highlights	a			Impact & Accomplishments
http://www.ucla.edu/highlights	a			Iconic & Influential Alumni
http://www.ucla.edu/highlights	a			Rankings
http://www.ucla.edu/highlights	a			Centers & Institutes
http://www.ucla.edu/highlights	a			Careers
http://www.ucla.edu/highlights	a	ul		Close (X)
http://www.ucla.edu/highlights	a			ACADEMICS
http://www.ucla.edu/highlights	a			Overview
http://www.ucla.edu/highlights	a			Undergraduate Education
http://www.ucla.edu/highlights	a			Graduate & Professional Education
http://www.ucla.edu/highlights	a			Continuing Education
http://www.ucla.edu/highlights	a			Academic Opportunities
http://www.ucla.edu/highlights	a			Faculty
http://www.ucla.edu/highlights	a			Departments & Programs
http://www.ucla.edu/highlights	a			Libraries
http://www.ucla.edu/highlights	a	ul		Close (X)
http://www.ucla.edu/highlights	a			ADMISSION
http://www.ucla.edu/highlights	a			Admission Overview
http://www.ucla.edu/highlights	a			Undergraduate Admission
http://www.ucla.edu/highlights	a			Graduate Admission
http://www.ucla.edu/highlights	a			Extension Enrollment
http://www.ucla.edu/highlights	a			International Admission
http://www.ucla.edu/highlights	a			Transfer Admission
http://www.ucla.edu/highlights	a			Affordability & Financial Aid
http://www.ucla.edu/highlights	a	ul		Close (X)
http://www.ucla.edu/highlights	a			UCLA IN THE COMMUNITY
http://www.ucla.edu/highlights	a			Overview
http://www.ucla.edu/highlights	a			Community Programs & Partnerships
http://www.ucla.edu/highlights	a			K-12 Education Programs & Resources
http://www.ucla.edu/highlights	a			Academic Programs
http://www.ucla.edu/highlights	a			Health Care
http://www.ucla.edu/highlights	a			Arts & Culture
http://www.ucla.edu/highlights	a	ul		Close (X)
http://www.ucla.edu/highlights	a			THE ARTS
http://www.ucla.edu/highlights	a			Arts Overview
http://www.ucla.edu/highlights	a			School of the Arts and Architecture
http://www.ucla.edu/highlights	a			Herb Alpert School of Music
http://www.ucla.edu/highlights	a			School of Theater, Film and Television
http://www.ucla.edu/highlights	a			Performing Arts
