url	parent	ps	ns	text
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a			Skip to Navigation
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a			Skip to Search
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a			Skip to Main Content
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a			Skip to Footer Links
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a			Prospective Students
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a			Current Students
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a			Faculty
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a			Staff
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a			Alumni
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a			Parents & Families
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a			UCLA
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a		span	Apps
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a		span	Menu
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a			ABOUT
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a			Overview
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a			Chancellor
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a			Leadership
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a			Mission & Values
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a			Facts & Figures
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a			Awards & Honors
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a			History
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a			Impact & Accomplishments
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a			Iconic & Influential Alumni
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a			Rankings
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a			Centers & Institutes
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a			Careers
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a	ul		Close (X)
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a			ACADEMICS
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a			Overview
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a			Undergraduate Education
http://www.ucla.edu/news/appointment-professor-eric-hoek-faculty-director-sustainable-la-grand-challenge	a			Graduate & Professional Education
