url	parent	ps	ns	text
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			UCLA Map Downloads
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			Map Downloads
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			Home
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			News
http://www.ucla.edu/pdf/ucla-campus-map.pdf	h1			UCLA Map Downloads
http://www.ucla.edu/pdf/ucla-campus-map.pdf	p		a	This page provides a centralized location to download printable maps created and maintained by UCLA Facilities Management. Maps are available in Adobe PDF format. If you need a specialized map, custom base-map for a specific map you are creating, or map data in different formats, please 
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			contact us
http://www.ucla.edu/pdf/ucla-campus-map.pdf	p			 and we will do our best to accommodate your needs.
http://www.ucla.edu/pdf/ucla-campus-map.pdf	h3			Printable PDF Maps
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			UCLA Campus Map
http://www.ucla.edu/pdf/ucla-campus-map.pdf	p			Locations of buildings, parking and other points of interest on campus. Includes alphabetical name index.
http://www.ucla.edu/pdf/ucla-campus-map.pdf	p			Revised October 2019
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			UCLA Campus Map (Grayscale)
http://www.ucla.edu/pdf/ucla-campus-map.pdf	p			Locations of buildings, parking and other points of interest on campus. Includes alphabetical name index.
http://www.ucla.edu/pdf/ucla-campus-map.pdf	p			Revised October 2019
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			Campus Accessibility Map
http://www.ucla.edu/pdf/ucla-campus-map.pdf	p			Accessible routes around campus, parking, entrances, powered entrances and elevators.
http://www.ucla.edu/pdf/ucla-campus-map.pdf	p			Revised October 2019
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			Campus Evacuation Areas for Major Emergencies or Disasters
http://www.ucla.edu/pdf/ucla-campus-map.pdf	p			Locations of gathering areas and command posts by campus zone in the event that several buildings must be evacuated outdoors during major emergencies or disasters.
http://www.ucla.edu/pdf/ucla-campus-map.pdf	p			Revised October 2019
http://www.ucla.edu/pdf/ucla-campus-map.pdf	li			Search, identify, pan, zoom, navigate, even annotate buildings, streets, and points of interest.
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			Launch Map
http://www.ucla.edu/pdf/ucla-campus-map.pdf	h3			Download the App
http://www.ucla.edu/pdf/ucla-campus-map.pdf	p			The UCLA Campus Map App makes finding your way around campus easy using your smartphone or tablet.
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			Facilities Management
http://www.ucla.edu/pdf/ucla-campus-map.pdf	p			Facilities Management supports UCLA's mission by maintaining and enhancing buildings, grounds and the physical infrastructure in a cost-effective, safe and environmentally responsible manner.
http://www.ucla.edu/pdf/ucla-campus-map.pdf	h4			Services
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			Service Requests
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			Trouble Call
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			Billing Information
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			Campus Outages
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			Information Systems
http://www.ucla.edu/pdf/ucla-campus-map.pdf	h4			Contact us
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			(310) 206-1033
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a		br	helpdesk
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			facnet.ucla.edu
http://www.ucla.edu/pdf/ucla-campus-map.pdf	h4			News
http://www.ucla.edu/pdf/ucla-campus-map.pdf	p			Keep up with the latest changes.
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			Stay Connected
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			Overview
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			Campuses
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			Admissions
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			News
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			Contact
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			About
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			Happenings
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			News
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			Contact
http://www.ucla.edu/pdf/ucla-campus-map.pdf	a			Directory
http://www.ucla.edu/pdf/ucla-campus-map.pdf	p			B) 2015 University of California, Los Angeles. General Services. All Rights Reserved.
