url	parent	ps	ns	text
http://www.ucla.edu/quarterly-updates	a			Skip to Navigation
http://www.ucla.edu/quarterly-updates	a			Skip to Search
http://www.ucla.edu/quarterly-updates	a			Skip to Main Content
http://www.ucla.edu/quarterly-updates	a			Skip to Footer Links
http://www.ucla.edu/quarterly-updates	a			Prospective Students
http://www.ucla.edu/quarterly-updates	a			Current Students
http://www.ucla.edu/quarterly-updates	a			Faculty
http://www.ucla.edu/quarterly-updates	a			Staff
http://www.ucla.edu/quarterly-updates	a			Alumni
http://www.ucla.edu/quarterly-updates	a			Parents & Families
http://www.ucla.edu/quarterly-updates	a			UCLA
http://www.ucla.edu/quarterly-updates	a		span	Apps
http://www.ucla.edu/quarterly-updates	a		span	Menu
http://www.ucla.edu/quarterly-updates	a			ABOUT
http://www.ucla.edu/quarterly-updates	a			Overview
http://www.ucla.edu/quarterly-updates	a			Chancellor
http://www.ucla.edu/quarterly-updates	a			Leadership
http://www.ucla.edu/quarterly-updates	a			Mission & Values
http://www.ucla.edu/quarterly-updates	a			Facts & Figures
http://www.ucla.edu/quarterly-updates	a			Awards & Honors
http://www.ucla.edu/quarterly-updates	a			History
http://www.ucla.edu/quarterly-updates	a			Impact & Accomplishments
http://www.ucla.edu/quarterly-updates	a			Iconic & Influential Alumni
http://www.ucla.edu/quarterly-updates	a			Rankings
http://www.ucla.edu/quarterly-updates	a			Centers & Institutes
http://www.ucla.edu/quarterly-updates	a			Careers
http://www.ucla.edu/quarterly-updates	a	ul		Close (X)
http://www.ucla.edu/quarterly-updates	a			ACADEMICS
http://www.ucla.edu/quarterly-updates	a			Overview
http://www.ucla.edu/quarterly-updates	a			Undergraduate Education
http://www.ucla.edu/quarterly-updates	a			Graduate & Professional Education
http://www.ucla.edu/quarterly-updates	a			Continuing Education
http://www.ucla.edu/quarterly-updates	a			Academic Opportunities
http://www.ucla.edu/quarterly-updates	a			Faculty
http://www.ucla.edu/quarterly-updates	a			Departments & Programs
http://www.ucla.edu/quarterly-updates	a			Libraries
http://www.ucla.edu/quarterly-updates	a	ul		Close (X)
http://www.ucla.edu/quarterly-updates	a			ADMISSION
http://www.ucla.edu/quarterly-updates	a			Admission Overview
http://www.ucla.edu/quarterly-updates	a			Undergraduate Admission
http://www.ucla.edu/quarterly-updates	a			Graduate Admission
http://www.ucla.edu/quarterly-updates	a			Extension Enrollment
http://www.ucla.edu/quarterly-updates	a			International Admission
http://www.ucla.edu/quarterly-updates	a			Transfer Admission
http://www.ucla.edu/quarterly-updates	a			Affordability & Financial Aid
http://www.ucla.edu/quarterly-updates	a	ul		Close (X)
http://www.ucla.edu/quarterly-updates	a			UCLA IN THE COMMUNITY
http://www.ucla.edu/quarterly-updates	a			Overview
http://www.ucla.edu/quarterly-updates	a			Community Programs & Partnerships
http://www.ucla.edu/quarterly-updates	a			K-12 Education Programs & Resources
http://www.ucla.edu/quarterly-updates	a			Academic Programs
http://www.ucla.edu/quarterly-updates	a			Health Care
http://www.ucla.edu/quarterly-updates	a			Arts & Culture
