url	parent	ps	ns	text
http://www.ucla.edu/research/graduate-research	a			Skip to main content
http://www.ucla.edu/research/graduate-research	span			Toggle navigation
http://www.ucla.edu/research/graduate-research	span			UCLA Vice Chancellor of Research
http://www.ucla.edu/research/graduate-research	a		i	About UCLA Research 
http://www.ucla.edu/research/graduate-research	a			About the Vice Chancellor for Research
http://www.ucla.edu/research/graduate-research	a			Research Across Campus
http://www.ucla.edu/research/graduate-research	a			Organization of Research Enterprise
http://www.ucla.edu/research/graduate-research	a			Statistics
http://www.ucla.edu/research/graduate-research	a			Reports
http://www.ucla.edu/research/graduate-research	a			Campus Announcements
http://www.ucla.edu/research/graduate-research	a			Research Highlights
http://www.ucla.edu/research/graduate-research	a			Engage with UCLA Research
http://www.ucla.edu/research/graduate-research	a			Entrepreneurship
http://www.ucla.edu/research/graduate-research	a			Libraries
http://www.ucla.edu/research/graduate-research	a			Researcher Resources
http://www.ucla.edu/research/graduate-research	a			Student Research
http://www.ucla.edu/research/graduate-research	a			Initiatives
http://www.ucla.edu/research/graduate-research	a			UCLA Home
http://www.ucla.edu/research/graduate-research	div			Where should we search?
http://www.ucla.edu/research/graduate-research	label			Research Admin
http://www.ucla.edu/research/graduate-research	label			All of UCLA.edu
http://www.ucla.edu/research/graduate-research	button	div		Search
http://www.ucla.edu/research/graduate-research	a			Home
http://www.ucla.edu/research/graduate-research	li			Student Research
http://www.ucla.edu/research/graduate-research	div			Experiential learning sparked by curiosity and fostered with collaboration
http://www.ucla.edu/research/graduate-research	h1			Student Research
http://www.ucla.edu/research/graduate-research	em			Explore the Questions that Need Answers
http://www.ucla.edu/research/graduate-research	div			UCLA offers experiences for undergraduate, graduate and visiting students. 
http://www.ucla.edu/research/graduate-research	a			               Undergraduate Student Research Opportunities            
http://www.ucla.edu/research/graduate-research	strong			CONDUCTING UNDERGRADUATE RESEARCH HELPS STUDENTS EXPLORE THEIR INTERESTS, GAIN EXPERIENCE AND DEVELOP SKILLS.
http://www.ucla.edu/research/graduate-research	p	p		Digital humanities students create a database of African-American silent films ― and inspire a museum exhibit. Environmental science students survey the impact of oil drilling on a neighborhood and share results at a public forum. Biology students conduct field research in French Polynesia and publish their results in a scientific journal. At UCLA, undergraduates have the opportunity to work on original research not only in the STEM sciences, but in the humanities, arts and social sciences. Two on-campus centers help match faculty and students for research opportunities.
http://www.ucla.edu/research/graduate-research	p	p		The Undergraduate Research Center for Humanities, Arts, and Social Sciences works to serve students and faculty in the humanities, arts, social science and behavioral science disciplines. The center promotes, develops and celebrates undergraduate student research with the overall goal of enhancing undergraduate education and preparing students for careers in all areas.
http://www.ucla.edu/research/graduate-research	p	p		The Undergraduate Research Center for Sciences works to serve students and faculty in the life and physical sciences, engineering and mathematics. The center focuses on increasing the retention of science majors in all disciplines, as well as preparing students for academic and research careers.
http://www.ucla.edu/research/graduate-research	a			Continue to Research Center — Humanities, Arts, and Social Sciences
http://www.ucla.edu/research/graduate-research	a	br		Continue to Research Center — Sciences
http://www.ucla.edu/research/graduate-research	a			               Graduate Student Research Opportunities            
http://www.ucla.edu/research/graduate-research	strong			GRADUATE STUDENTS WORK WITH FACULTY MENTORS ON THE ENTIRE SPECTRUM OF RESEARCH PROJECTS.
http://www.ucla.edu/research/graduate-research	p	p		Thousands of original research projects are undertaken each year by UCLA graduate and professional students, working as part of a team or independently. Their research may create scientific and medical advances, address urgent societal problems or deepen understanding of arts and cultures.
http://www.ucla.edu/research/graduate-research	a			Continue to Graduate Education — Research
http://www.ucla.edu/research/graduate-research	a			               Process for Visiting Undergraduate Research            
http://www.ucla.edu/research/graduate-research	p		a	UCLA welcomes visiting undergraduate students for research experiences. 
http://www.ucla.edu/research/graduate-research	a			Please see the process that must be followed in connection with the faculty host's department.
http://www.ucla.edu/research/graduate-research	h4			Office of the Vice Chancellor for research
http://www.ucla.edu/research/graduate-research	h4			310-825-7943
http://www.ucla.edu/research/graduate-research	span			[email protected]
http://www.ucla.edu/research/graduate-research	a			Share Your Research News
http://www.ucla.edu/research/graduate-research	a			Link to Campus Announcements
http://www.ucla.edu/research/graduate-research	a			Terms of Use
http://www.ucla.edu/research/graduate-research	a			UCLA.edu
http://www.ucla.edu/research/graduate-research	span			© 2019 Regents of the University of California • All Rights Reserved
http://www.ucla.edu/research/graduate-research	a			Back to Top
