url	parent	ps	ns	text
http://www.ucla.edu/research/research-across-campus	a			Skip to main content
http://www.ucla.edu/research/research-across-campus	span			Toggle navigation
http://www.ucla.edu/research/research-across-campus	span			UCLA Vice Chancellor of Research
http://www.ucla.edu/research/research-across-campus	a		i	About UCLA Research 
http://www.ucla.edu/research/research-across-campus	a			About the Vice Chancellor for Research
http://www.ucla.edu/research/research-across-campus	a			Research Across Campus
http://www.ucla.edu/research/research-across-campus	a			Organization of Research Enterprise
http://www.ucla.edu/research/research-across-campus	a			Statistics
http://www.ucla.edu/research/research-across-campus	a			Reports
http://www.ucla.edu/research/research-across-campus	a			Campus Announcements
http://www.ucla.edu/research/research-across-campus	a			Research Highlights
http://www.ucla.edu/research/research-across-campus	a			Engage with UCLA Research
http://www.ucla.edu/research/research-across-campus	a			Entrepreneurship
http://www.ucla.edu/research/research-across-campus	a			Libraries
http://www.ucla.edu/research/research-across-campus	a			Researcher Resources
http://www.ucla.edu/research/research-across-campus	a			Student Research
http://www.ucla.edu/research/research-across-campus	a			Initiatives
http://www.ucla.edu/research/research-across-campus	a			UCLA Home
http://www.ucla.edu/research/research-across-campus	div			Where should we search?
http://www.ucla.edu/research/research-across-campus	label			Research Admin
http://www.ucla.edu/research/research-across-campus	label			All of UCLA.edu
http://www.ucla.edu/research/research-across-campus	button	div		Search
http://www.ucla.edu/research/research-across-campus	a			Home
http://www.ucla.edu/research/research-across-campus	a			About UCLA Research
http://www.ucla.edu/research/research-across-campus	li			Research Across Campus
http://www.ucla.edu/research/research-across-campus	div			Explore Your Field of Interest
http://www.ucla.edu/research/research-across-campus	h1			Research Across Campus
http://www.ucla.edu/research/research-across-campus	strong			FROM LABS TO CONVENINGS TO LIBRARIES AND TO THE FIELD, RESEARCH & CREATIVE ACTIVITIES TAKE MANY FORMS
http://www.ucla.edu/research/research-across-campus	p	p		Literature professors find new clues to the writings of Oscar Wilde in unpublished letters and journals. Mathematicians create algorithms for more realistic snow and water in animated films. Space scientists explore the subsurface of the dwarf planet Ceres. Biologists, computer scientists and physicians team up to decode complex genetic diseases. Geographers and environmental scientists track the Greenland ice melt. In every discipline and across disciplines, UCLA faculty, researchers and students pursue new knowledge, make discoveries, and change our understanding of the world.
http://www.ucla.edu/research/research-across-campus	em		u	Follow the links below to learn about specific research & creative activities across the campus in selected units and institutes. If you want to explore how you might engage with one or more of these Schools or units, 
http://www.ucla.edu/research/research-across-campus	a			please visit our Engage page.
http://www.ucla.edu/research/research-across-campus	strong			COLLEGE OF LETTERS AND SCIENCE
http://www.ucla.edu/research/research-across-campus	a			Humanities Division
http://www.ucla.edu/research/research-across-campus	a			Life Sciences Division
http://www.ucla.edu/research/research-across-campus	a			Division of Physical Sciences
http://www.ucla.edu/research/research-across-campus	a			Division of Social Sciences
http://www.ucla.edu/research/research-across-campus	a			Undergraduate Research Division (home of the Undergraduate Research Centers)
http://www.ucla.edu/research/research-across-campus	strong			GRADUATE AND PROFESSIONAL SCHOOLS
http://www.ucla.edu/research/research-across-campus	a			Anderson School of Management
http://www.ucla.edu/research/research-across-campus	a			David Geffen School of Medicine
http://www.ucla.edu/research/research-across-campus	a			Fielding School of Public Health
http://www.ucla.edu/research/research-across-campus	a			Graduate School of Education and Information Studies
http://www.ucla.edu/research/research-across-campus	a			Henry Samueli School of Engineering and Applied Science
http://www.ucla.edu/research/research-across-campus	a			Herb Alpert School of Music
http://www.ucla.edu/research/research-across-campus	a			Luskin School of Public Affairs
http://www.ucla.edu/research/research-across-campus	a			School of the Arts and Architecture
http://www.ucla.edu/research/research-across-campus	a			School of Dentistry
http://www.ucla.edu/research/research-across-campus	a			School of Law
http://www.ucla.edu/research/research-across-campus	a			School of Nursing
http://www.ucla.edu/research/research-across-campus	a			School of Theater, Film, and Television
http://www.ucla.edu/research/research-across-campus	strong			SELECTED INSTITUTES AND RESEARCH UNITS
http://www.ucla.edu/research/research-across-campus	a			California Nanosystem Institute
http://www.ucla.edu/research/research-across-campus	a			Clinical and Translational Science Institute
http://www.ucla.edu/research/research-across-campus	a			Institute for American Cultures
http://www.ucla.edu/research/research-across-campus	a			Institute for Digital Research & Education
http://www.ucla.edu/research/research-across-campus	a			International Institute
http://www.ucla.edu/research/research-across-campus	a			Organized Research Units
http://www.ucla.edu/research/research-across-campus	h4			Office of the Vice Chancellor for research
http://www.ucla.edu/research/research-across-campus	h4			310-825-7943
http://www.ucla.edu/research/research-across-campus	span			[email protected]
http://www.ucla.edu/research/research-across-campus	a			Share Your Research News
http://www.ucla.edu/research/research-across-campus	a			Link to Campus Announcements
http://www.ucla.edu/research/research-across-campus	a			Terms of Use
http://www.ucla.edu/research/research-across-campus	a			UCLA.edu
http://www.ucla.edu/research/research-across-campus	span			© 2019 Regents of the University of California • All Rights Reserved
http://www.ucla.edu/research/research-across-campus	a			Back to Top
