url	parent	ps	ns	text
http://www.ucla.edu/terms-of-use	a			Skip to Navigation
http://www.ucla.edu/terms-of-use	a			Skip to Search
http://www.ucla.edu/terms-of-use	a			Skip to Main Content
http://www.ucla.edu/terms-of-use	a			Skip to Footer Links
http://www.ucla.edu/terms-of-use	a			Prospective Students
http://www.ucla.edu/terms-of-use	a			Current Students
http://www.ucla.edu/terms-of-use	a			Faculty
http://www.ucla.edu/terms-of-use	a			Staff
http://www.ucla.edu/terms-of-use	a			Alumni
http://www.ucla.edu/terms-of-use	a			Parents & Families
http://www.ucla.edu/terms-of-use	a			UCLA
http://www.ucla.edu/terms-of-use	a		span	Apps
http://www.ucla.edu/terms-of-use	a		span	Menu
http://www.ucla.edu/terms-of-use	a			ABOUT
http://www.ucla.edu/terms-of-use	a			Overview
http://www.ucla.edu/terms-of-use	a			Chancellor
http://www.ucla.edu/terms-of-use	a			Leadership
http://www.ucla.edu/terms-of-use	a			Mission & Values
http://www.ucla.edu/terms-of-use	a			Facts & Figures
http://www.ucla.edu/terms-of-use	a			Awards & Honors
http://www.ucla.edu/terms-of-use	a			History
http://www.ucla.edu/terms-of-use	a			Impact & Accomplishments
http://www.ucla.edu/terms-of-use	a			Iconic & Influential Alumni
http://www.ucla.edu/terms-of-use	a			Rankings
http://www.ucla.edu/terms-of-use	a			Centers & Institutes
http://www.ucla.edu/terms-of-use	a			Careers
http://www.ucla.edu/terms-of-use	a	ul		Close (X)
http://www.ucla.edu/terms-of-use	a			ACADEMICS
http://www.ucla.edu/terms-of-use	a			Overview
http://www.ucla.edu/terms-of-use	a			Undergraduate Education
http://www.ucla.edu/terms-of-use	a			Graduate & Professional Education
http://www.ucla.edu/terms-of-use	a			Continuing Education
http://www.ucla.edu/terms-of-use	a			Academic Opportunities
http://www.ucla.edu/terms-of-use	a			Faculty
http://www.ucla.edu/terms-of-use	a			Departments & Programs
http://www.ucla.edu/terms-of-use	a			Libraries
http://www.ucla.edu/terms-of-use	a	ul		Close (X)
http://www.ucla.edu/terms-of-use	a			ADMISSION
http://www.ucla.edu/terms-of-use	a			Admission Overview
http://www.ucla.edu/terms-of-use	a			Undergraduate Admission
http://www.ucla.edu/terms-of-use	a			Graduate Admission
http://www.ucla.edu/terms-of-use	a			Extension Enrollment
http://www.ucla.edu/terms-of-use	a			International Admission
http://www.ucla.edu/terms-of-use	a			Transfer Admission
http://www.ucla.edu/terms-of-use	a			Affordability & Financial Aid
http://www.ucla.edu/terms-of-use	a	ul		Close (X)
http://www.ucla.edu/terms-of-use	a			UCLA IN THE COMMUNITY
http://www.ucla.edu/terms-of-use	a			Overview
http://www.ucla.edu/terms-of-use	a			Community Programs & Partnerships
http://www.ucla.edu/terms-of-use	a			K-12 Education Programs & Resources
http://www.ucla.edu/terms-of-use	a			Academic Programs
http://www.ucla.edu/terms-of-use	a			Health Care
http://www.ucla.edu/terms-of-use	a			Arts & Culture
http://www.ucla.edu/terms-of-use	a	ul		Close (X)
http://www.ucla.edu/terms-of-use	a			THE ARTS
http://www.ucla.edu/terms-of-use	a			Arts Overview
http://www.ucla.edu/terms-of-use	a			School of the Arts and Architecture
http://www.ucla.edu/terms-of-use	a			Herb Alpert School of Music
http://www.ucla.edu/terms-of-use	a			School of Theater, Film and Television
http://www.ucla.edu/terms-of-use	a			Performing Arts
http://www.ucla.edu/terms-of-use	a			Museums
http://www.ucla.edu/terms-of-use	a			Arts In The Community
http://www.ucla.edu/terms-of-use	a	ul		Close (X)
http://www.ucla.edu/terms-of-use	a			CAMPUS LIFE
http://www.ucla.edu/terms-of-use	a			Overview
http://www.ucla.edu/terms-of-use	a			Values
http://www.ucla.edu/terms-of-use	a			Housing & Dining
http://www.ucla.edu/terms-of-use	a			LA Lifestyle
http://www.ucla.edu/terms-of-use	a			Health & Safety
http://www.ucla.edu/terms-of-use	a			Clubs, Organizations & Recreation
http://www.ucla.edu/terms-of-use	a			Student Support
http://www.ucla.edu/terms-of-use	a	ul		Close (X)
http://www.ucla.edu/terms-of-use	a			HEALTH SYSTEM
http://www.ucla.edu/terms-of-use	a			Overview
http://www.ucla.edu/terms-of-use	a			For Patients
http://www.ucla.edu/terms-of-use	a			For Healthcare Professionals
http://www.ucla.edu/terms-of-use	a			Education
http://www.ucla.edu/terms-of-use	a			Continuing Education
http://www.ucla.edu/terms-of-use	a			Giving Back to UCLA
http://www.ucla.edu/terms-of-use	a	ul		Close (X)
http://www.ucla.edu/terms-of-use	a			RESEARCH
http://www.ucla.edu/terms-of-use	a			Overview
http://www.ucla.edu/terms-of-use	a			Research Across Campus
http://www.ucla.edu/terms-of-use	a			Undergraduate Research
http://www.ucla.edu/terms-of-use	a			Graduate Research
http://www.ucla.edu/terms-of-use	a			Research and Entrepreneurship
http://www.ucla.edu/terms-of-use	a			Libraries
http://www.ucla.edu/terms-of-use	a			Administration Overview
http://www.ucla.edu/terms-of-use	a	ul		Close (X)
http://www.ucla.edu/terms-of-use	a			ATHLETICS
http://www.ucla.edu/terms-of-use	a			Visit
http://www.ucla.edu/terms-of-use	a			Apply
http://www.ucla.edu/terms-of-use	a			Give
http://www.ucla.edu/terms-of-use	h2			Terms of Use
http://www.ucla.edu/terms-of-use	p			"Thank you for visiting the official website of the University of California, Los Angeles (UCLA). This privacy policy explains how personal information about you is collected, used and disclosed by UCLA with respect to your use of the UCLA websites where this policy is posted (collectively, ""Sites"")."
http://www.ucla.edu/terms-of-use	p			By continuing to use UCLA Sites, you are accepting the terms of use defined in this statement.
http://www.ucla.edu/terms-of-use	h3			Information Collected by UCLA
http://www.ucla.edu/terms-of-use	h4			General
http://www.ucla.edu/terms-of-use	p			Our Sites are made available to you to provide information about our university and the services offered. You can browse our Sites without providing any personal information such as your name, mailing address, email address, phone number or social security number.
http://www.ucla.edu/terms-of-use	h4			Non-Personal Information
http://www.ucla.edu/terms-of-use	p			When you access and use our Sites, some information is automatically collected. For example, we may collect information about your computer's operating system, Internet Protocol (IP) address, access times, browser type and language, and the website that referred you to us. We also collect information about your usage and activity on our Sites.
http://www.ucla.edu/terms-of-use	h4			Cookies
http://www.ucla.edu/terms-of-use	p			"When you visit our Sites, you may be issued a ""cookie,"" which helps track your session while online. Cookies are small data files stored on your hard drive. Among other things, cookies help to make your site visit more relevant and personalized for you. We use cookies to see which areas and features are popular and to count visits to our Sites. Most browsers are initially set to accept cookies. If you would prefer, you may set your browser to refuse cookies or alert you when cookies are being sent; however, it is possible that some parts of our Sites will not function properly if you do so."
http://www.ucla.edu/terms-of-use	h4			Web Beacons
http://www.ucla.edu/terms-of-use	p			"The Sites and any communications sent by UCLA may contain electronic images (generally, single pixel "".gif"" images) called ""web beacons."" These web beacons allow UCLA and third parties authorized by UCLA to monitor and collect certain information about the viewer of a web page, email message or other communication, such as the type of browser requesting the web beacon, the device identifier of the device the web beacon is sent to and the time the web beacon was viewed. Web beacons may be used count unique users, visits and page views; monitor traffic and conversion patterns; personalize your experience when you visit the Sites, including advertising and content you see; and determine whether or not messages were opened, links were clicked and/or notifications/offers were acted upon."
http://www.ucla.edu/terms-of-use	h4			Third Party Advertising
http://www.ucla.edu/terms-of-use	p		a	We may also allow third parties to use cookies or other tracking technologies to collect non-personal information about your use of our Sites, including your IP address, pages viewed and conversion information. This information may be used, among other things, to deliver advertising targeted to your interests and to better understand the usage and visitation of our Sites and other sites tracked by these third parties. This privacy policy does not apply to, and we are not responsible for, third party cookies or other tracking technologies. We encourage you to check the privacy policies of advertisers and/or ad services to learn more about their privacy practices. If you would like more information about third party advertising or to opt out of having your information used in this way, please visit 
http://www.ucla.edu/terms-of-use	a			http://www.networkadvertising.org/managing/opt_out.asp
http://www.ucla.edu/terms-of-use	h4			Personal Information
http://www.ucla.edu/terms-of-use	p			We also collect personal information that you voluntarily provide to us, such as when you apply for admission, register for an account, participate in a promotion or sweepstakes, request a brochure or other materials, sign up for a tour, locate or make inquiries to specific departments, make a donation, request information or otherwise contact UCLA. Such information may include: contact information (name, address, telephone number, social media username/handle, mobile phone and/or email address, etc.); academic area or interest (biology, anthropology, human studies, medicine, etc.); financial information (financial aid application history, payment history, current and estimated loan payments, donation attribution and amount, etc.); demographic information (age, academic status, marital status, size of household, income, etc.); and marketing profile information (admissions date, graduation date, alumni status, parent, friend, etc.) We may also collect the names and email addresses of your friends and family, if you choose to provide UCLA with this information. Finally, we may obtain information from other sources and combine that with the information we collect directly from you.   
http://www.ucla.edu/terms-of-use	h3			Project Welcome SMS Code Terms of Service
http://www.ucla.edu/terms-of-use	h4		a	About 
http://www.ucla.edu/terms-of-use	a			UCLA Project Welcome
http://www.ucla.edu/terms-of-use	h4			 SMS Text Messages
http://www.ucla.edu/terms-of-use	p			UCLA Project Welcome text messages provide information that informs, educates, guides and motivates students in grades 8-11 (minimum age 13 years for US; minimum age 16 years for EU and Canada) and their life influencers such as parents and guardians on the importance of planning for college, why college matters, how they can afford college, and what it takes to be a highly competitive applicant.
http://www.ucla.edu/terms-of-use	h4			How do I sign up for Project Welcome SMS Text Messages?
