url	parent	ps	ns	text
http://www.ucla.edu/the-arts/arts-in-the-community	a			Skip to Navigation
http://www.ucla.edu/the-arts/arts-in-the-community	a			Skip to Search
http://www.ucla.edu/the-arts/arts-in-the-community	a			Skip to Main Content
http://www.ucla.edu/the-arts/arts-in-the-community	a			Skip to Footer Links
http://www.ucla.edu/the-arts/arts-in-the-community	a			Prospective Students
http://www.ucla.edu/the-arts/arts-in-the-community	a			Current Students
http://www.ucla.edu/the-arts/arts-in-the-community	a			Faculty
http://www.ucla.edu/the-arts/arts-in-the-community	a			Staff
http://www.ucla.edu/the-arts/arts-in-the-community	a			Alumni
http://www.ucla.edu/the-arts/arts-in-the-community	a			Parents & Families
http://www.ucla.edu/the-arts/arts-in-the-community	a			UCLA
http://www.ucla.edu/the-arts/arts-in-the-community	a		span	Apps
http://www.ucla.edu/the-arts/arts-in-the-community	a		span	Menu
http://www.ucla.edu/the-arts/arts-in-the-community	a			ABOUT
http://www.ucla.edu/the-arts/arts-in-the-community	a			Overview
http://www.ucla.edu/the-arts/arts-in-the-community	a			Chancellor
http://www.ucla.edu/the-arts/arts-in-the-community	a			Leadership
http://www.ucla.edu/the-arts/arts-in-the-community	a			Mission & Values
http://www.ucla.edu/the-arts/arts-in-the-community	a			Facts & Figures
http://www.ucla.edu/the-arts/arts-in-the-community	a			Awards & Honors
http://www.ucla.edu/the-arts/arts-in-the-community	a			History
http://www.ucla.edu/the-arts/arts-in-the-community	a			Impact & Accomplishments
http://www.ucla.edu/the-arts/arts-in-the-community	a			Iconic & Influential Alumni
http://www.ucla.edu/the-arts/arts-in-the-community	a			Rankings
http://www.ucla.edu/the-arts/arts-in-the-community	a			Centers & Institutes
http://www.ucla.edu/the-arts/arts-in-the-community	a			Careers
http://www.ucla.edu/the-arts/arts-in-the-community	a	ul		Close (X)
http://www.ucla.edu/the-arts/arts-in-the-community	a			ACADEMICS
http://www.ucla.edu/the-arts/arts-in-the-community	a			Overview
http://www.ucla.edu/the-arts/arts-in-the-community	a			Undergraduate Education
http://www.ucla.edu/the-arts/arts-in-the-community	a			Graduate & Professional Education
http://www.ucla.edu/the-arts/arts-in-the-community	a			Continuing Education
http://www.ucla.edu/the-arts/arts-in-the-community	a			Academic Opportunities
http://www.ucla.edu/the-arts/arts-in-the-community	a			Faculty
http://www.ucla.edu/the-arts/arts-in-the-community	a			Departments & Programs
http://www.ucla.edu/the-arts/arts-in-the-community	a			Libraries
http://www.ucla.edu/the-arts/arts-in-the-community	a	ul		Close (X)
http://www.ucla.edu/the-arts/arts-in-the-community	a			ADMISSION
http://www.ucla.edu/the-arts/arts-in-the-community	a			Admission Overview
http://www.ucla.edu/the-arts/arts-in-the-community	a			Undergraduate Admission
http://www.ucla.edu/the-arts/arts-in-the-community	a			Graduate Admission
http://www.ucla.edu/the-arts/arts-in-the-community	a			Extension Enrollment
http://www.ucla.edu/the-arts/arts-in-the-community	a			International Admission
http://www.ucla.edu/the-arts/arts-in-the-community	a			Transfer Admission
http://www.ucla.edu/the-arts/arts-in-the-community	a			Affordability & Financial Aid
http://www.ucla.edu/the-arts/arts-in-the-community	a	ul		Close (X)
http://www.ucla.edu/the-arts/arts-in-the-community	a			UCLA IN THE COMMUNITY
http://www.ucla.edu/the-arts/arts-in-the-community	a			Overview
http://www.ucla.edu/the-arts/arts-in-the-community	a			Community Programs & Partnerships
http://www.ucla.edu/the-arts/arts-in-the-community	a			K-12 Education Programs & Resources
http://www.ucla.edu/the-arts/arts-in-the-community	a			Academic Programs
http://www.ucla.edu/the-arts/arts-in-the-community	a			Health Care
http://www.ucla.edu/the-arts/arts-in-the-community	a			Arts & Culture
http://www.ucla.edu/the-arts/arts-in-the-community	a	ul		Close (X)
http://www.ucla.edu/the-arts/arts-in-the-community	a			THE ARTS
http://www.ucla.edu/the-arts/arts-in-the-community	a			Arts Overview
http://www.ucla.edu/the-arts/arts-in-the-community	a			School of the Arts and Architecture
http://www.ucla.edu/the-arts/arts-in-the-community	a			Herb Alpert School of Music
http://www.ucla.edu/the-arts/arts-in-the-community	a			School of Theater, Film and Television
http://www.ucla.edu/the-arts/arts-in-the-community	a			Performing Arts
http://www.ucla.edu/the-arts/arts-in-the-community	a			Museums
http://www.ucla.edu/the-arts/arts-in-the-community	a			Arts In The Community
http://www.ucla.edu/the-arts/arts-in-the-community	a	ul		Close (X)
http://www.ucla.edu/the-arts/arts-in-the-community	a			CAMPUS LIFE
http://www.ucla.edu/the-arts/arts-in-the-community	a			Overview
http://www.ucla.edu/the-arts/arts-in-the-community	a			Values
http://www.ucla.edu/the-arts/arts-in-the-community	a			Housing & Dining
http://www.ucla.edu/the-arts/arts-in-the-community	a			LA Lifestyle
http://www.ucla.edu/the-arts/arts-in-the-community	a			Health & Safety
http://www.ucla.edu/the-arts/arts-in-the-community	a			Clubs, Organizations & Recreation
http://www.ucla.edu/the-arts/arts-in-the-community	a			Student Support
http://www.ucla.edu/the-arts/arts-in-the-community	a	ul		Close (X)
http://www.ucla.edu/the-arts/arts-in-the-community	a			HEALTH SYSTEM
http://www.ucla.edu/the-arts/arts-in-the-community	a			Overview
http://www.ucla.edu/the-arts/arts-in-the-community	a			For Patients
http://www.ucla.edu/the-arts/arts-in-the-community	a			For Healthcare Professionals
http://www.ucla.edu/the-arts/arts-in-the-community	a			Education
http://www.ucla.edu/the-arts/arts-in-the-community	a			Continuing Education
http://www.ucla.edu/the-arts/arts-in-the-community	a			Giving Back to UCLA
http://www.ucla.edu/the-arts/arts-in-the-community	a	ul		Close (X)
http://www.ucla.edu/the-arts/arts-in-the-community	a			RESEARCH
http://www.ucla.edu/the-arts/arts-in-the-community	a			Overview
http://www.ucla.edu/the-arts/arts-in-the-community	a			Research Across Campus
http://www.ucla.edu/the-arts/arts-in-the-community	a			Undergraduate Research
http://www.ucla.edu/the-arts/arts-in-the-community	a			Graduate Research
http://www.ucla.edu/the-arts/arts-in-the-community	a			Research and Entrepreneurship
http://www.ucla.edu/the-arts/arts-in-the-community	a			Libraries
http://www.ucla.edu/the-arts/arts-in-the-community	a			Administration Overview
http://www.ucla.edu/the-arts/arts-in-the-community	a	ul		Close (X)
http://www.ucla.edu/the-arts/arts-in-the-community	a			ATHLETICS
http://www.ucla.edu/the-arts/arts-in-the-community	a			Visit
http://www.ucla.edu/the-arts/arts-in-the-community	a			Apply
http://www.ucla.edu/the-arts/arts-in-the-community	a			Give
http://www.ucla.edu/the-arts/arts-in-the-community	a			ARTS OVERVIEW
http://www.ucla.edu/the-arts/arts-in-the-community	a			SCHOOL OF THE ARTS AND ARCHITECTURE
http://www.ucla.edu/the-arts/arts-in-the-community	a			HERB ALPERT SCHOOL OF MUSIC
http://www.ucla.edu/the-arts/arts-in-the-community	a			SCHOOL OF THEATER, FILM AND TELEVISION
http://www.ucla.edu/the-arts/arts-in-the-community	a			PERFORMING ARTS
http://www.ucla.edu/the-arts/arts-in-the-community	a			MUSEUMS
http://www.ucla.edu/the-arts/arts-in-the-community	a			ARTS IN THE COMMUNITY
http://www.ucla.edu/the-arts/arts-in-the-community	h2			Arts in the Community
http://www.ucla.edu/the-arts/arts-in-the-community	span			Art does not exist in a vacuum; art can support, inspire, comfort, change and unite.
http://www.ucla.edu/the-arts/arts-in-the-community	p			At UCLA, student artists and scholars and their professors are committed to making their communities better—one person, one street, one neighborhood at a time. Social and civic responsibility are in the very essence of our DNA at UCLA.
http://www.ucla.edu/the-arts/arts-in-the-community	p			Whether it's teaching the arts to K–12 students and teachers in L.A.'s underresourced schools and correctional facilities, producing films in partnership with benefactors like Bill and Melinda Gates, enlisting the arts to fight AIDS, or taking performances into regional theaters and community centers, we are there.
http://www.ucla.edu/the-arts/arts-in-the-community	h4			More Information
http://www.ucla.edu/the-arts/arts-in-the-community	a			Art in Action
http://www.ucla.edu/the-arts/arts-in-the-community	a			UCLA Music Outreach
http://www.ucla.edu/the-arts/arts-in-the-community	a			Visual and Performing Arts Education
http://www.ucla.edu/the-arts/arts-in-the-community	a			Education Storytelling Initiative
http://www.ucla.edu/the-arts/arts-in-the-community	a			Art & Global Health Center
http://www.ucla.edu/the-arts/arts-in-the-community	a			Education at the Fowler
http://www.ucla.edu/the-arts/arts-in-the-community	a			Hammer Kids
http://www.ucla.edu/the-arts/arts-in-the-community	a			Arts Bridge
http://www.ucla.edu/the-arts/arts-in-the-community	a			Hammer Student Association
http://www.ucla.edu/the-arts/arts-in-the-community	a			Student Committee for the Arts
http://www.ucla.edu/the-arts/arts-in-the-community	a			Summer Art Institute
http://www.ucla.edu/the-arts/arts-in-the-community	a			UCLA@SPARC Digital Mural Lab
http://www.ucla.edu/the-arts/arts-in-the-community	a			Telluride Partnership/For the Love of Movies
http://www.ucla.edu/the-arts/arts-in-the-community	a			ELEVATE
http://www.ucla.edu/the-arts/arts-in-the-community	a			Geffen Playhouse Education Initiatives
http://www.ucla.edu/the-arts/arts-in-the-community	a			Los Angeles Theater Center
http://www.ucla.edu/the-arts/arts-in-the-community	a			Participant Media Fellowships for Film and Social Responsibility
http://www.ucla.edu/the-arts/arts-in-the-community	a			Pre-College Summer Institutes
