url	parent	ps	ns	text
http://www.ucla.edu/the-arts/school-of-the-arts-and-architecture	a			Skip to Navigation
http://www.ucla.edu/the-arts/school-of-the-arts-and-architecture	a			Skip to Search
http://www.ucla.edu/the-arts/school-of-the-arts-and-architecture	a			Skip to Main Content
http://www.ucla.edu/the-arts/school-of-the-arts-and-architecture	a			Skip to Footer Links
http://www.ucla.edu/the-arts/school-of-the-arts-and-architecture	a			Prospective Students
http://www.ucla.edu/the-arts/school-of-the-arts-and-architecture	a			Current Students
http://www.ucla.edu/the-arts/school-of-the-arts-and-architecture	a			Faculty
http://www.ucla.edu/the-arts/school-of-the-arts-and-architecture	a			Staff
http://www.ucla.edu/the-arts/school-of-the-arts-and-architecture	a			Alumni
http://www.ucla.edu/the-arts/school-of-the-arts-and-architecture	a			Parents & Families
http://www.ucla.edu/the-arts/school-of-the-arts-and-architecture	a			UCLA
http://www.ucla.edu/the-arts/school-of-the-arts-and-architecture	a		span	Apps
http://www.ucla.edu/the-arts/school-of-the-arts-and-architecture	a		span	Menu
http://www.ucla.edu/the-arts/school-of-the-arts-and-architecture	a			ABOUT
http://www.ucla.edu/the-arts/school-of-the-arts-and-architecture	a			Overview
http://www.ucla.edu/the-arts/school-of-the-arts-and-architecture	a			Chancellor
http://www.ucla.edu/the-arts/school-of-the-arts-and-architecture	a			Leadership
http://www.ucla.edu/the-arts/school-of-the-arts-and-architecture	a			Mission & Values
http://www.ucla.edu/the-arts/school-of-the-arts-and-architecture	a			Facts & Figures
http://www.ucla.edu/the-arts/school-of-the-arts-and-architecture	a			Awards & Honors
http://www.ucla.edu/the-arts/school-of-the-arts-and-architecture	a			History
http://www.ucla.edu/the-arts/school-of-the-arts-and-architecture	a			Impact & Accomplishments
http://www.ucla.edu/the-arts/school-of-the-arts-and-architecture	a			Iconic & Influential Alumni
http://www.ucla.edu/the-arts/school-of-the-arts-and-architecture	a			Rankings
http://www.ucla.edu/the-arts/school-of-the-arts-and-architecture	a			Centers & Institutes
http://www.ucla.edu/the-arts/school-of-the-arts-and-architecture	a			Careers
http://www.ucla.edu/the-arts/school-of-the-arts-and-architecture	a	ul		Close (X)
http://www.ucla.edu/the-arts/school-of-the-arts-and-architecture	a			ACADEMICS
