url	parent	ps	ns	text
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Skip to Navigation
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Skip to Search
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Skip to Main Content
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Skip to Footer Links
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Prospective Students
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Current Students
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Faculty
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Staff
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Alumni
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Parents & Families
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			UCLA
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a		span	Apps
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a		span	Menu
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			ABOUT
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Overview
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Chancellor
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Leadership
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Mission & Values
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Facts & Figures
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Awards & Honors
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			History
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Impact & Accomplishments
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Iconic & Influential Alumni
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Rankings
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Centers & Institutes
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Careers
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a	ul		Close (X)
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			ACADEMICS
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Overview
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Undergraduate Education
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Graduate & Professional Education
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Continuing Education
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Academic Opportunities
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Faculty
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Departments & Programs
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Libraries
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a	ul		Close (X)
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			ADMISSION
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Admission Overview
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Undergraduate Admission
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Graduate Admission
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Extension Enrollment
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			International Admission
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Transfer Admission
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Affordability & Financial Aid
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a	ul		Close (X)
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			UCLA IN THE COMMUNITY
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Overview
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Community Programs & Partnerships
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			K-12 Education Programs & Resources
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Academic Programs
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Health Care
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Arts & Culture
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a	ul		Close (X)
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			THE ARTS
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Arts Overview
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			School of the Arts and Architecture
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Herb Alpert School of Music
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			School of Theater, Film and Television
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Performing Arts
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Museums
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Arts In The Community
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a	ul		Close (X)
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			CAMPUS LIFE
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Overview
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Values
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Housing & Dining
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			LA Lifestyle
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Health & Safety
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Clubs, Organizations & Recreation
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Student Support
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a	ul		Close (X)
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			HEALTH SYSTEM
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Overview
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			For Patients
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			For Healthcare Professionals
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Education
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Continuing Education
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Giving Back to UCLA
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a	ul		Close (X)
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			RESEARCH
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Overview
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Research Across Campus
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Undergraduate Research
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Graduate Research
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Research and Entrepreneurship
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Libraries
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Administration Overview
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a	ul		Close (X)
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			ATHLETICS
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Visit
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Apply
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Give
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			OVERVIEW
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			COMMUNITY PROGRAMS &AMP PARTNERSHIPS
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			K-12 EDUCATION PROGRAMS &AMP RESOURCES
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			ACADEMIC PROGRAMS
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			HEALTH CARE
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			ARTS &AMP CULTURE
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	h2			ARTS & CULTURE
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	span			UCLA believes that the best way to understand the arts is to participate in them.
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	p		a	Our 
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Center for the Art of Performance at UCLA
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	p		a	 offers several programs that nurture this sort of creative collaboration and participation, including Art in Action, Design for Sharing and the Student Committee for the Arts. The 
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Hammer Museum
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	p		a	 further fosters this creative discussion through Lunchtime Talks, forums, lectures, performances and readings. In addition, the 
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Fowler Museum
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	p			 promotes conversations about cultural diversity through exhibits, programs and publications that are separated into three categories: K-12 programs, family programs and public programs.
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	p		a	After the Library of Congress, 
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			UCLA's Film & Television Archive
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	p			 contains the largest collection of media materials in the United States. The archive hosts an active calendar of special events ranging from 400 annual screenings to visits from authors, actors and directors. There is also a month-long Festival of Preservation hosted by the UCLA Archive, which celebrates an entire century's worth of film and television programs. After its Los Angeles debut, the festival continues on at select North American venues.
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	p		a	Along with these artistic offerings, UCLA's 
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Institute of American Cultures
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	p			 focuses on the emerging culture of present-day America. Here, the community can explore, understand and celebrate the rich tapestry of ethnic, religious and cultural diversity that defines Southern California.
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a		br	Continue to the Center for the
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Art of Performance at UCLA
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	h4			More Information
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Hammer Museum
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Fowler Museum
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			UCLA's Film & Television Archive
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Institute of American Cultures
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Chicano Studies Research Center
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Ralph J. Bunche Center for African American Studies
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			American Indian Studies Center
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Asian American Studies Center
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	span			UCLA on Facebook
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	span			UCLA on Twitter
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	span			UCLA on Instagram
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	span			UCLA on Snapchat
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	span			UCLA on LinkedIn
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	span			UCLA on YouTube
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	span			UCLA.edu Homepage
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	em			Information
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	span			Careers
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	span			Directory
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	span			Contact
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	span			Academic Calendar
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	span			Maps, Directions
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	span			Parking & Transportation
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	span			Emergency
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	em			Campus Values
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	span			Equity, Diversity & Inclusion
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	span			Environment & Sustainability
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	span			True Bruin Statement
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	span			Volunteerism
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	em			Event Venues
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	span			Luskin Conference Center
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	span			Event Planning
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	span			Film Production
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	span		a	©2019 Regents of the 
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			University of California
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Terms of Use
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Accessibility
http://www.ucla.edu/ucla-in-the-community/arts-and-culture	a			Report Misconduct
