url	parent	ps	ns	text
http://yale.edu/#page	a			Skip to Main Content
http://yale.edu/#page	p			It looks like you're trying to zoom in on this page. For best results: use the most recent version of your browser, disable your browser's 'zoom text only' setting, and use your browser's default font size settings.
http://yale.edu/#page	p			To zoom in, use [Ctrl]   [ ] in Windows, and [Cmd]   [ ] on a Mac. To zoom out, use the keyboard shortcut [Ctrl]   [-] in Windows and [Cmd]   [-] on a Mac.
http://yale.edu/#page	h1			Yale University
http://yale.edu/#page	h2			Secondary Navigation
http://yale.edu/#page	span			Calendars
http://yale.edu/#page	span			Giving
http://yale.edu/#page	span			News
http://yale.edu/#page	span			Directories
http://yale.edu/#page	span			Search
http://yale.edu/#page	button			Navigation
http://yale.edu/#page	label			Info for...
http://yale.edu/#page	option			Students
http://yale.edu/#page	option	option		Faculty
http://yale.edu/#page	option	option		Staff
http://yale.edu/#page	option	option		Alumni
http://yale.edu/#page	h2			Main Navigation
http://yale.edu/#page	a			About Yale
http://yale.edu/#page	a			Leadership & Organization
http://yale.edu/#page	a	a		Yale Facts
http://yale.edu/#page	a	a		Traditions & History
http://yale.edu/#page	a	a		Yale & the World
http://yale.edu/#page	a	a		Visiting
http://yale.edu/#page	a			Academics
http://yale.edu/#page	a			Undergraduate Study
http://yale.edu/#page	a	a		Graduate & Professional Study
http://yale.edu/#page	a	a		Departments & Programs
http://yale.edu/#page	a	a		Global Education
http://yale.edu/#page	a	a		Summer Session
http://yale.edu/#page	a	a		Non-Degree Offerings
http://yale.edu/#page	a	a		Online Learning
http://yale.edu/#page	a			Admissions
http://yale.edu/#page	a			Undergraduate
http://yale.edu/#page	a	a		Graduate & Professional Schools
http://yale.edu/#page	a	a		Financial Aid
http://yale.edu/#page	a	a		International Students
http://yale.edu/#page	a	a		Summer Session
http://yale.edu/#page	a	a		Non-Degree Seeking Students
http://yale.edu/#page	a	a		World Fellows Program
http://yale.edu/#page	a			Research & Collections
http://yale.edu/#page	a			Research at Yale
http://yale.edu/#page	a	a		Libraries
http://yale.edu/#page	a	a		Museums & Galleries
http://yale.edu/#page	a	a		Centers & Institutes
http://yale.edu/#page	a	a		Digital Collections & Open Resources
http://yale.edu/#page	a			Life at Yale
http://yale.edu/#page	a			Arts & Culture
http://yale.edu/#page	a	a		Athletics & Recreation
http://yale.edu/#page	a	a		Belonging at Yale
http://yale.edu/#page	a	a		Health & Wellness
http://yale.edu/#page	a	a		New Haven
http://yale.edu/#page	a	a		Residential Life
http://yale.edu/#page	a	a		Service
http://yale.edu/#page	a	a		Student Groups & Activities
http://yale.edu/#page	span			Search
http://yale.edu/#page	a			The Feature Archive
http://yale.edu/#page	h2			Top stories of 2019
http://yale.edu/#page	h3			year in review
http://yale.edu/#page	p			While the university is on break until January 2, take a moment and explore the top Yale News stories of 2019.
http://yale.edu/#page	a			learn more
http://yale.edu/#page	a			The Feature Archive
http://yale.edu/#page	a			The Feature Archive
http://yale.edu/#page	h2			The latest from YaleNews
http://yale.edu/#page	a			What to do at Yale over the holidays: galleries, libraries, and more
http://yale.edu/#page	time			December 23, 2019
http://yale.edu/#page	label			Explore More News
http://yale.edu/#page	option			Alumni
http://yale.edu/#page	option			Arts & Humanities
http://yale.edu/#page	option			Business
http://yale.edu/#page	option			Campus & Community
http://yale.edu/#page	option			Environment
http://yale.edu/#page	option			Health & Medicine
http://yale.edu/#page	option			International
http://yale.edu/#page	option			Law
http://yale.edu/#page	option			Science & Technology
http://yale.edu/#page	option			Social Sciences
http://yale.edu/#page	option			In Focus
