url	parent	ps	ns	text
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a			Skip to Main Content
http://yale.edu/about-yale/leadership-organization/benjamin-polak	p			It looks like you're trying to zoom in on this page. For best results: use the most recent version of your browser, disable your browser's 'zoom text only' setting, and use your browser's default font size settings.
http://yale.edu/about-yale/leadership-organization/benjamin-polak	p			To zoom in, use [Ctrl]   [ ] in Windows, and [Cmd]   [ ] on a Mac. To zoom out, use the keyboard shortcut [Ctrl]   [-] in Windows and [Cmd]   [-] on a Mac.
http://yale.edu/about-yale/leadership-organization/benjamin-polak	h1			Yale University
http://yale.edu/about-yale/leadership-organization/benjamin-polak	h2			Secondary Navigation
http://yale.edu/about-yale/leadership-organization/benjamin-polak	span			Calendars
http://yale.edu/about-yale/leadership-organization/benjamin-polak	span			Giving
http://yale.edu/about-yale/leadership-organization/benjamin-polak	span			News
http://yale.edu/about-yale/leadership-organization/benjamin-polak	span			Directories
http://yale.edu/about-yale/leadership-organization/benjamin-polak	span			Search
http://yale.edu/about-yale/leadership-organization/benjamin-polak	button			Navigation
http://yale.edu/about-yale/leadership-organization/benjamin-polak	label			Info for...
http://yale.edu/about-yale/leadership-organization/benjamin-polak	option			Students
http://yale.edu/about-yale/leadership-organization/benjamin-polak	option	option		Faculty
http://yale.edu/about-yale/leadership-organization/benjamin-polak	option	option		Staff
http://yale.edu/about-yale/leadership-organization/benjamin-polak	option	option		Alumni
http://yale.edu/about-yale/leadership-organization/benjamin-polak	h2			Main Navigation
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a			About Yale
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a			Leadership & Organization
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Yale Facts
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Traditions & History
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Yale & the World
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Visiting
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a			Academics
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a			Undergraduate Study
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Graduate & Professional Study
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Departments & Programs
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Global Education
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Summer Session
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Non-Degree Offerings
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Online Learning
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a			Admissions
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a			Undergraduate
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Graduate & Professional Schools
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Financial Aid
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		International Students
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Summer Session
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Non-Degree Seeking Students
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		World Fellows Program
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a			Research & Collections
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a			Research at Yale
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Libraries
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Museums & Galleries
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Centers & Institutes
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Digital Collections & Open Resources
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a			Life at Yale
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a			Arts & Culture
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Athletics & Recreation
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Belonging at Yale
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Health & Wellness
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		New Haven
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Residential Life
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Service
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Student Groups & Activities
http://yale.edu/about-yale/leadership-organization/benjamin-polak	span			Search
http://yale.edu/about-yale/leadership-organization/benjamin-polak	h2			Breadcrumb
http://yale.edu/about-yale/leadership-organization/benjamin-polak	span			Home
http://yale.edu/about-yale/leadership-organization/benjamin-polak	span			About Yale
http://yale.edu/about-yale/leadership-organization/benjamin-polak	span			Leadership & Organization
http://yale.edu/about-yale/leadership-organization/benjamin-polak	span			Benjamin Polak, B.A., M.A., Ph.D.
http://yale.edu/about-yale/leadership-organization/benjamin-polak	h2			Additional Navigation
http://yale.edu/about-yale/leadership-organization/benjamin-polak	h2			Sub Navigation
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a			Leadership & Organization
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a			Yale Facts
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a			Traditions & History
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a			Yale & the World
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a			Visiting
http://yale.edu/about-yale/leadership-organization/benjamin-polak	h1			Benjamin Polak, B.A., M.A., Ph.D.
http://yale.edu/about-yale/leadership-organization/benjamin-polak	div			Provost
http://yale.edu/about-yale/leadership-organization/benjamin-polak	p			Benjamin Polak, the William C. Brainard Professor of Economics, was named provost in January 2013.
http://yale.edu/about-yale/leadership-organization/benjamin-polak	p			As provost he facilitates strategic planning, long-term decision making, and the allocation of resources in order to promote academic excellence in all parts of the university. In addition, he oversees design and implementation of policies affecting faculty and students throughout the university. Mr. Polak holds a B.A. from Cambridge University, an M.A. in history from Northwestern University, and a Ph.D. in economics from Harvard University.
http://yale.edu/about-yale/leadership-organization/benjamin-polak	p			Mr. Polak joined the Yale faculty in 1994 and holds a joint appointment in the Economics Department, where he served as chair from 2010 to 2013, and the School of Management. He also has served as a member of the University Budget Committee, a member of the executive committees of the MacMillan Center and the Institution for Social and Policy Studies, a fellow of the Whitney Humanities Center, and a visitor at the Law School. Before coming to Yale, he was a junior fellow at the Harvard Society of Fellows and a visiting professor in the inaugural year of the New Economic School in Moscow. He has also held visiting appointments at the Australian National University, the London School of Economics, New York University, and the University of Melbourne, Australia.
http://yale.edu/about-yale/leadership-organization/benjamin-polak	p			An expert on decision theory and economic history, Mr. Polak teaches a popular course on game theory, which is featured on Yale Online Courses. He has published numerous papers in leading economic journals and has studied topics such as how individuals make decisions when faced with uncertainty and how societies choose when faced with inequality. His work on game theory ranges from foundational theoretical work on common knowledge to applied topics in corporate finance, law, and economics. His earlier research includes the emergence of a capital market in England in the eighteenth and nineteenth centuries; property transactions in Ireland from the early eighteenth century to modern times; and past correlations between poverty, policy, and industrialization. Mr. Polak has been honored with three major university teaching prizes: Yale College’s Lex Hixon ’63 Prize for Teaching Excellence in the Social Sciences (2006); the Department of Economics’ Graduate Teaching Prize (2005); and the William Clyde DeVane Medal for undergraduate teaching and scholarship at Yale College (2005). He and his wife, Stefanie Markovits, a professor of English at Yale, live in New Haven with their three children.
http://yale.edu/about-yale/leadership-organization/benjamin-polak	h2			Office of the Provost
http://yale.edu/about-yale/leadership-organization/benjamin-polak	p			The Office of the Provost oversees academic policies and activities university-wide.
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a		span	Learn More 
http://yale.edu/about-yale/leadership-organization/benjamin-polak	span			Office of the Provost
http://yale.edu/about-yale/leadership-organization/benjamin-polak	label			Info for Visiting Yale
http://yale.edu/about-yale/leadership-organization/benjamin-polak	option			Campus Tours
http://yale.edu/about-yale/leadership-organization/benjamin-polak	option	option		Maps & Directions
http://yale.edu/about-yale/leadership-organization/benjamin-polak	option	option		Yale Visitor Center
http://yale.edu/about-yale/leadership-organization/benjamin-polak	option	option		Museums & Galleries
http://yale.edu/about-yale/leadership-organization/benjamin-polak	option	option		New Haven
http://yale.edu/about-yale/leadership-organization/benjamin-polak	option	option		More Visit Resources
http://yale.edu/about-yale/leadership-organization/benjamin-polak	h2			Helpful Links
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a			Contact Us
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Yale West Campus
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Employment Opportunities
http://yale.edu/about-yale/leadership-organization/benjamin-polak	a	a		Privacy Policy
