url	parent	ps	ns	text
http://yale.edu/about-yale/leadership-organization/david-swensen	a			Skip to Main Content
http://yale.edu/about-yale/leadership-organization/david-swensen	p			It looks like you're trying to zoom in on this page. For best results: use the most recent version of your browser, disable your browser's 'zoom text only' setting, and use your browser's default font size settings.
http://yale.edu/about-yale/leadership-organization/david-swensen	p			To zoom in, use [Ctrl]   [ ] in Windows, and [Cmd]   [ ] on a Mac. To zoom out, use the keyboard shortcut [Ctrl]   [-] in Windows and [Cmd]   [-] on a Mac.
http://yale.edu/about-yale/leadership-organization/david-swensen	h1			Yale University
http://yale.edu/about-yale/leadership-organization/david-swensen	h2			Secondary Navigation
http://yale.edu/about-yale/leadership-organization/david-swensen	span			Calendars
http://yale.edu/about-yale/leadership-organization/david-swensen	span			Giving
http://yale.edu/about-yale/leadership-organization/david-swensen	span			News
http://yale.edu/about-yale/leadership-organization/david-swensen	span			Directories
http://yale.edu/about-yale/leadership-organization/david-swensen	span			Search
http://yale.edu/about-yale/leadership-organization/david-swensen	button			Navigation
http://yale.edu/about-yale/leadership-organization/david-swensen	label			Info for...
http://yale.edu/about-yale/leadership-organization/david-swensen	option			Students
http://yale.edu/about-yale/leadership-organization/david-swensen	option	option		Faculty
http://yale.edu/about-yale/leadership-organization/david-swensen	option	option		Staff
http://yale.edu/about-yale/leadership-organization/david-swensen	option	option		Alumni
http://yale.edu/about-yale/leadership-organization/david-swensen	h2			Main Navigation
http://yale.edu/about-yale/leadership-organization/david-swensen	a			About Yale
http://yale.edu/about-yale/leadership-organization/david-swensen	a			Leadership & Organization
http://yale.edu/about-yale/leadership-organization/david-swensen	a	a		Yale Facts
http://yale.edu/about-yale/leadership-organization/david-swensen	a	a		Traditions & History
http://yale.edu/about-yale/leadership-organization/david-swensen	a	a		Yale & the World
http://yale.edu/about-yale/leadership-organization/david-swensen	a	a		Visiting
http://yale.edu/about-yale/leadership-organization/david-swensen	a			Academics
http://yale.edu/about-yale/leadership-organization/david-swensen	a			Undergraduate Study
http://yale.edu/about-yale/leadership-organization/david-swensen	a	a		Graduate & Professional Study
http://yale.edu/about-yale/leadership-organization/david-swensen	a	a		Departments & Programs
http://yale.edu/about-yale/leadership-organization/david-swensen	a	a		Global Education
http://yale.edu/about-yale/leadership-organization/david-swensen	a	a		Summer Session
http://yale.edu/about-yale/leadership-organization/david-swensen	a	a		Non-Degree Offerings
http://yale.edu/about-yale/leadership-organization/david-swensen	a	a		Online Learning
http://yale.edu/about-yale/leadership-organization/david-swensen	a			Admissions
http://yale.edu/about-yale/leadership-organization/david-swensen	a			Undergraduate
http://yale.edu/about-yale/leadership-organization/david-swensen	a	a		Graduate & Professional Schools
http://yale.edu/about-yale/leadership-organization/david-swensen	a	a		Financial Aid
http://yale.edu/about-yale/leadership-organization/david-swensen	a	a		International Students
http://yale.edu/about-yale/leadership-organization/david-swensen	a	a		Summer Session
http://yale.edu/about-yale/leadership-organization/david-swensen	a	a		Non-Degree Seeking Students
http://yale.edu/about-yale/leadership-organization/david-swensen	a	a		World Fellows Program
http://yale.edu/about-yale/leadership-organization/david-swensen	a			Research & Collections
http://yale.edu/about-yale/leadership-organization/david-swensen	a			Research at Yale
http://yale.edu/about-yale/leadership-organization/david-swensen	a	a		Libraries
http://yale.edu/about-yale/leadership-organization/david-swensen	a	a		Museums & Galleries
http://yale.edu/about-yale/leadership-organization/david-swensen	a	a		Centers & Institutes
http://yale.edu/about-yale/leadership-organization/david-swensen	a	a		Digital Collections & Open Resources
http://yale.edu/about-yale/leadership-organization/david-swensen	a			Life at Yale
http://yale.edu/about-yale/leadership-organization/david-swensen	a			Arts & Culture
http://yale.edu/about-yale/leadership-organization/david-swensen	a	a		Athletics & Recreation
http://yale.edu/about-yale/leadership-organization/david-swensen	a	a		Belonging at Yale
http://yale.edu/about-yale/leadership-organization/david-swensen	a	a		Health & Wellness
http://yale.edu/about-yale/leadership-organization/david-swensen	a	a		New Haven
http://yale.edu/about-yale/leadership-organization/david-swensen	a	a		Residential Life
http://yale.edu/about-yale/leadership-organization/david-swensen	a	a		Service
http://yale.edu/about-yale/leadership-organization/david-swensen	a	a		Student Groups & Activities
http://yale.edu/about-yale/leadership-organization/david-swensen	span			Search
http://yale.edu/about-yale/leadership-organization/david-swensen	h2			Breadcrumb
