url	parent	ps	ns	text
http://yale.edu/about-yale/leadership-organization/joan-oneill	a			Skip to Main Content
http://yale.edu/about-yale/leadership-organization/joan-oneill	p			It looks like you're trying to zoom in on this page. For best results: use the most recent version of your browser, disable your browser's 'zoom text only' setting, and use your browser's default font size settings.
http://yale.edu/about-yale/leadership-organization/joan-oneill	p			To zoom in, use [Ctrl]   [ ] in Windows, and [Cmd]   [ ] on a Mac. To zoom out, use the keyboard shortcut [Ctrl]   [-] in Windows and [Cmd]   [-] on a Mac.
http://yale.edu/about-yale/leadership-organization/joan-oneill	h1			Yale University
http://yale.edu/about-yale/leadership-organization/joan-oneill	h2			Secondary Navigation
http://yale.edu/about-yale/leadership-organization/joan-oneill	span			Calendars
http://yale.edu/about-yale/leadership-organization/joan-oneill	span			Giving
http://yale.edu/about-yale/leadership-organization/joan-oneill	span			News
http://yale.edu/about-yale/leadership-organization/joan-oneill	span			Directories
http://yale.edu/about-yale/leadership-organization/joan-oneill	span			Search
http://yale.edu/about-yale/leadership-organization/joan-oneill	button			Navigation
http://yale.edu/about-yale/leadership-organization/joan-oneill	label			Info for...
http://yale.edu/about-yale/leadership-organization/joan-oneill	option			Students
http://yale.edu/about-yale/leadership-organization/joan-oneill	option	option		Faculty
http://yale.edu/about-yale/leadership-organization/joan-oneill	option	option		Staff
http://yale.edu/about-yale/leadership-organization/joan-oneill	option	option		Alumni
http://yale.edu/about-yale/leadership-organization/joan-oneill	h2			Main Navigation
http://yale.edu/about-yale/leadership-organization/joan-oneill	a			About Yale
http://yale.edu/about-yale/leadership-organization/joan-oneill	a			Leadership & Organization
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Yale Facts
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Traditions & History
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Yale & the World
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Visiting
http://yale.edu/about-yale/leadership-organization/joan-oneill	a			Academics
http://yale.edu/about-yale/leadership-organization/joan-oneill	a			Undergraduate Study
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Graduate & Professional Study
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Departments & Programs
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Global Education
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Summer Session
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Non-Degree Offerings
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Online Learning
http://yale.edu/about-yale/leadership-organization/joan-oneill	a			Admissions
http://yale.edu/about-yale/leadership-organization/joan-oneill	a			Undergraduate
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Graduate & Professional Schools
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Financial Aid
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		International Students
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Summer Session
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Non-Degree Seeking Students
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		World Fellows Program
http://yale.edu/about-yale/leadership-organization/joan-oneill	a			Research & Collections
http://yale.edu/about-yale/leadership-organization/joan-oneill	a			Research at Yale
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Libraries
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Museums & Galleries
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Centers & Institutes
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Digital Collections & Open Resources
http://yale.edu/about-yale/leadership-organization/joan-oneill	a			Life at Yale
http://yale.edu/about-yale/leadership-organization/joan-oneill	a			Arts & Culture
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Athletics & Recreation
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Belonging at Yale
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Health & Wellness
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		New Haven
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Residential Life
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Service
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Student Groups & Activities
http://yale.edu/about-yale/leadership-organization/joan-oneill	span			Search
http://yale.edu/about-yale/leadership-organization/joan-oneill	h2			Breadcrumb
http://yale.edu/about-yale/leadership-organization/joan-oneill	span			Home
http://yale.edu/about-yale/leadership-organization/joan-oneill	span			About Yale
http://yale.edu/about-yale/leadership-organization/joan-oneill	span			Leadership & Organization
http://yale.edu/about-yale/leadership-organization/joan-oneill	span			Joan E. O’Neill, B.A.
http://yale.edu/about-yale/leadership-organization/joan-oneill	h2			Additional Navigation
http://yale.edu/about-yale/leadership-organization/joan-oneill	h2			Sub Navigation
http://yale.edu/about-yale/leadership-organization/joan-oneill	a			Leadership & Organization
http://yale.edu/about-yale/leadership-organization/joan-oneill	a			Yale Facts
http://yale.edu/about-yale/leadership-organization/joan-oneill	a			Traditions & History
http://yale.edu/about-yale/leadership-organization/joan-oneill	a			Yale & the World
http://yale.edu/about-yale/leadership-organization/joan-oneill	a			Visiting
http://yale.edu/about-yale/leadership-organization/joan-oneill	h1			Joan E. O’Neill, B.A.
http://yale.edu/about-yale/leadership-organization/joan-oneill	div			Vice President for Alumni Affairs & Development
http://yale.edu/about-yale/leadership-organization/joan-oneill	p			Joan E. O’Neill has worked at Yale for more than thirty years. She is responsible for leadership of all the university’s alumni affairs and fundraising activities.
http://yale.edu/about-yale/leadership-organization/joan-oneill	p			Prior to her appointment as vice president for alumni affairs and development in July 2012, Ms. O’Neill spent eight years as associate vice president for development leading the major gifts, parent giving, planned giving, annual giving, and reunion giving programs, which together contributed $1.2 billion of the Yale Tomorrow campaign's total. She also provided oversight for the Information services division of the Development Office and was the primary liaison to most of Yale’s school and unit development organizations. During the 2004-2005 academic year she served as acting vice president for development. In this role she was instrumental in planning and designing the strategy for the Yale Tomorrow campaign, which concluded in 2011 having raised $3.88 billion. In 2015 she assumed responsibility for alumni affairs in addition to development. Ms. O’Neill held earlier positions as area director at the Yale School of Medicine, as director of special projects and assistant to the vice president for development, as director of leadership and major gifts, and as a director in principal gifts for Yale’s previous capital campaign, which concluded in 1997. She first joined Yale in 1987 as a major gift officer.
http://yale.edu/about-yale/leadership-organization/joan-oneill	p			Ms. O’Neill received a B.A. in psychology from the University of North Carolina, Chapel Hill.
http://yale.edu/about-yale/leadership-organization/joan-oneill	h2			Office of Development
http://yale.edu/about-yale/leadership-organization/joan-oneill	p			The Office of Development leads the university’s fundraising effort.
http://yale.edu/about-yale/leadership-organization/joan-oneill	a		span	Learn More 
http://yale.edu/about-yale/leadership-organization/joan-oneill	span			Office of Development
http://yale.edu/about-yale/leadership-organization/joan-oneill	h2			Yale Alumni Association
http://yale.edu/about-yale/leadership-organization/joan-oneill	p			The Yale Alumni Association provides a channel for communication between alumni and the university and oversees the direction of alumni organizations and programs.
http://yale.edu/about-yale/leadership-organization/joan-oneill	a		span	Learn More 
http://yale.edu/about-yale/leadership-organization/joan-oneill	span			Yale Alumni Association
http://yale.edu/about-yale/leadership-organization/joan-oneill	label			Info for Visiting Yale
http://yale.edu/about-yale/leadership-organization/joan-oneill	option			Campus Tours
http://yale.edu/about-yale/leadership-organization/joan-oneill	option	option		Maps & Directions
http://yale.edu/about-yale/leadership-organization/joan-oneill	option	option		Yale Visitor Center
http://yale.edu/about-yale/leadership-organization/joan-oneill	option	option		Museums & Galleries
http://yale.edu/about-yale/leadership-organization/joan-oneill	option	option		New Haven
http://yale.edu/about-yale/leadership-organization/joan-oneill	option	option		More Visit Resources
http://yale.edu/about-yale/leadership-organization/joan-oneill	h2			Helpful Links
http://yale.edu/about-yale/leadership-organization/joan-oneill	a			Contact Us
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Yale West Campus
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Employment Opportunities
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Privacy Policy
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Emergency Info
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Public Safety
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Nondiscrimination & Title IX
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Accessibility at Yale
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Yale Mobile
http://yale.edu/about-yale/leadership-organization/joan-oneill	h2			Visiting Yale
http://yale.edu/about-yale/leadership-organization/joan-oneill	a			Campus Tours
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Maps & Directions
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Yale Visitor Center
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		Museums & Galleries
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		New Haven
http://yale.edu/about-yale/leadership-organization/joan-oneill	a	a		More Visit Resources
http://yale.edu/about-yale/leadership-organization/joan-oneill	figcaption			Yale on Instagram
http://yale.edu/about-yale/leadership-organization/joan-oneill	h2			Social Links
http://yale.edu/about-yale/leadership-organization/joan-oneill	span	span		Facebook
http://yale.edu/about-yale/leadership-organization/joan-oneill	span	span		Twitter
http://yale.edu/about-yale/leadership-organization/joan-oneill	span	span		YouTube
http://yale.edu/about-yale/leadership-organization/joan-oneill	span	span		Sina Weibo
http://yale.edu/about-yale/leadership-organization/joan-oneill	a			All Social Media
