url	parent	ps	ns	text
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	a			Skip to Main Content
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	p			It looks like you're trying to zoom in on this page. For best results: use the most recent version of your browser, disable your browser's 'zoom text only' setting, and use your browser's default font size settings.
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	p			To zoom in, use [Ctrl]   [ ] in Windows, and [Cmd]   [ ] on a Mac. To zoom out, use the keyboard shortcut [Ctrl]   [-] in Windows and [Cmd]   [-] on a Mac.
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	h1			Yale University
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	h2			Secondary Navigation
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	span			Calendars
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	span			Giving
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	span			News
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	span			Directories
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	span			Search
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	button			Navigation
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	label			Info for...
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	option			Students
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	option	option		Faculty
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	option	option		Staff
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	option	option		Alumni
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	h2			Main Navigation
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	a			About Yale
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	a			Leadership & Organization
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	a	a		Yale Facts
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	a	a		Traditions & History
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	a	a		Yale & the World
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	a	a		Visiting
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	a			Academics
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	a			Undergraduate Study
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	a	a		Graduate & Professional Study
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	a	a		Departments & Programs
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	a	a		Global Education
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	a	a		Summer Session
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	a	a		Non-Degree Offerings
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	a	a		Online Learning
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	a			Admissions
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	a			Undergraduate
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	a	a		Graduate & Professional Schools
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	a	a		Financial Aid
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	a	a		International Students
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	a	a		Summer Session
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	a	a		Non-Degree Seeking Students
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	a	a		World Fellows Program
http://yale.edu/about-yale/leadership-organization/kimberly-goff-crews	a			Research & Collections
