url	parent	ps	ns	text
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a			Skip to Main Content
http://yale.edu/about-yale/leadership-organization/pericles-lewis	p			It looks like you're trying to zoom in on this page. For best results: use the most recent version of your browser, disable your browser's 'zoom text only' setting, and use your browser's default font size settings.
http://yale.edu/about-yale/leadership-organization/pericles-lewis	p			To zoom in, use [Ctrl]   [ ] in Windows, and [Cmd]   [ ] on a Mac. To zoom out, use the keyboard shortcut [Ctrl]   [-] in Windows and [Cmd]   [-] on a Mac.
http://yale.edu/about-yale/leadership-organization/pericles-lewis	h1			Yale University
http://yale.edu/about-yale/leadership-organization/pericles-lewis	h2			Secondary Navigation
http://yale.edu/about-yale/leadership-organization/pericles-lewis	span			Calendars
http://yale.edu/about-yale/leadership-organization/pericles-lewis	span			Giving
http://yale.edu/about-yale/leadership-organization/pericles-lewis	span			News
http://yale.edu/about-yale/leadership-organization/pericles-lewis	span			Directories
http://yale.edu/about-yale/leadership-organization/pericles-lewis	span			Search
http://yale.edu/about-yale/leadership-organization/pericles-lewis	button			Navigation
http://yale.edu/about-yale/leadership-organization/pericles-lewis	label			Info for...
http://yale.edu/about-yale/leadership-organization/pericles-lewis	option			Students
http://yale.edu/about-yale/leadership-organization/pericles-lewis	option	option		Faculty
http://yale.edu/about-yale/leadership-organization/pericles-lewis	option	option		Staff
http://yale.edu/about-yale/leadership-organization/pericles-lewis	option	option		Alumni
http://yale.edu/about-yale/leadership-organization/pericles-lewis	h2			Main Navigation
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a			About Yale
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a			Leadership & Organization
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a	a		Yale Facts
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a	a		Traditions & History
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a	a		Yale & the World
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a	a		Visiting
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a			Academics
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a			Undergraduate Study
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a	a		Graduate & Professional Study
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a	a		Departments & Programs
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a	a		Global Education
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a	a		Summer Session
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a	a		Non-Degree Offerings
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a	a		Online Learning
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a			Admissions
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a			Undergraduate
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a	a		Graduate & Professional Schools
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a	a		Financial Aid
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a	a		International Students
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a	a		Summer Session
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a	a		Non-Degree Seeking Students
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a	a		World Fellows Program
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a			Research & Collections
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a			Research at Yale
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a	a		Libraries
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a	a		Museums & Galleries
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a	a		Centers & Institutes
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a	a		Digital Collections & Open Resources
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a			Life at Yale
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a			Arts & Culture
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a	a		Athletics & Recreation
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a	a		Belonging at Yale
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a	a		Health & Wellness
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a	a		New Haven
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a	a		Residential Life
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a	a		Service
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a	a		Student Groups & Activities
http://yale.edu/about-yale/leadership-organization/pericles-lewis	span			Search
http://yale.edu/about-yale/leadership-organization/pericles-lewis	h2			Breadcrumb
http://yale.edu/about-yale/leadership-organization/pericles-lewis	span			Home
http://yale.edu/about-yale/leadership-organization/pericles-lewis	span			About Yale
http://yale.edu/about-yale/leadership-organization/pericles-lewis	span			Leadership & Organization
http://yale.edu/about-yale/leadership-organization/pericles-lewis	span			Pericles Lewis, B.A., A.M., Ph.D.
http://yale.edu/about-yale/leadership-organization/pericles-lewis	h2			Additional Navigation
http://yale.edu/about-yale/leadership-organization/pericles-lewis	h2			Sub Navigation
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a			Leadership & Organization
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a			Yale Facts
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a			Traditions & History
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a			Yale & the World
http://yale.edu/about-yale/leadership-organization/pericles-lewis	a			Visiting
http://yale.edu/about-yale/leadership-organization/pericles-lewis	h1			Pericles Lewis, B.A., A.M., Ph.D.
http://yale.edu/about-yale/leadership-organization/pericles-lewis	div			Vice President for Global Strategy 
http://yale.edu/about-yale/leadership-organization/pericles-lewis	p			Pericles Lewis, Douglas Tracy Smith Professor of Comparative Literature and Professor of English at Yale University, serves as vice president and vice provost for global strategy.
http://yale.edu/about-yale/leadership-organization/pericles-lewis	p			Reporting to the president and the provost, he is responsible for ensuring that the broader global initiatives of the university serve Yale’s academic goals and priorities. From 2012 to 2017 Professor Lewis served as founding president of Yale-NUS College, a collaboration between Yale and the National University of Singapore. Under his leadership, the college developed into a thriving model of residential liberal arts education much admired and studied throughout Asia and the world.
