url	parent	ps	ns	text
http://yale.edu/about-yale/leadership-organization/stephen-murphy	a			Skip to Main Content
http://yale.edu/about-yale/leadership-organization/stephen-murphy	p			It looks like you're trying to zoom in on this page. For best results: use the most recent version of your browser, disable your browser's 'zoom text only' setting, and use your browser's default font size settings.
http://yale.edu/about-yale/leadership-organization/stephen-murphy	p			To zoom in, use [Ctrl]   [ ] in Windows, and [Cmd]   [ ] on a Mac. To zoom out, use the keyboard shortcut [Ctrl]   [-] in Windows and [Cmd]   [-] on a Mac.
http://yale.edu/about-yale/leadership-organization/stephen-murphy	h1			Yale University
http://yale.edu/about-yale/leadership-organization/stephen-murphy	h2			Secondary Navigation
http://yale.edu/about-yale/leadership-organization/stephen-murphy	span			Calendars
http://yale.edu/about-yale/leadership-organization/stephen-murphy	span			Giving
http://yale.edu/about-yale/leadership-organization/stephen-murphy	span			News
http://yale.edu/about-yale/leadership-organization/stephen-murphy	span			Directories
http://yale.edu/about-yale/leadership-organization/stephen-murphy	span			Search
http://yale.edu/about-yale/leadership-organization/stephen-murphy	button			Navigation
http://yale.edu/about-yale/leadership-organization/stephen-murphy	label			Info for...
http://yale.edu/about-yale/leadership-organization/stephen-murphy	option			Students
http://yale.edu/about-yale/leadership-organization/stephen-murphy	option	option		Faculty
http://yale.edu/about-yale/leadership-organization/stephen-murphy	option	option		Staff
http://yale.edu/about-yale/leadership-organization/stephen-murphy	option	option		Alumni
http://yale.edu/about-yale/leadership-organization/stephen-murphy	h2			Main Navigation
http://yale.edu/about-yale/leadership-organization/stephen-murphy	a			About Yale
http://yale.edu/about-yale/leadership-organization/stephen-murphy	a			Leadership & Organization
http://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Yale Facts
http://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Traditions & History
http://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Yale & the World
http://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Visiting
http://yale.edu/about-yale/leadership-organization/stephen-murphy	a			Academics
http://yale.edu/about-yale/leadership-organization/stephen-murphy	a			Undergraduate Study
http://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Graduate & Professional Study
http://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Departments & Programs
http://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Global Education
http://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Summer Session
http://yale.edu/about-yale/leadership-organization/stephen-murphy	a	a		Non-Degree Offerings
