url	parent	ps	ns	text
http://yale.edu/about-yale/visiting	a			Skip to Main Content
http://yale.edu/about-yale/visiting	p			It looks like you're trying to zoom in on this page. For best results: use the most recent version of your browser, disable your browser's 'zoom text only' setting, and use your browser's default font size settings.
http://yale.edu/about-yale/visiting	p			To zoom in, use [Ctrl]   [ ] in Windows, and [Cmd]   [ ] on a Mac. To zoom out, use the keyboard shortcut [Ctrl]   [-] in Windows and [Cmd]   [-] on a Mac.
http://yale.edu/about-yale/visiting	h1			Yale University
http://yale.edu/about-yale/visiting	h2			Secondary Navigation
http://yale.edu/about-yale/visiting	span			Calendars
http://yale.edu/about-yale/visiting	span			Giving
http://yale.edu/about-yale/visiting	span			News
http://yale.edu/about-yale/visiting	span			Directories
http://yale.edu/about-yale/visiting	span			Search
http://yale.edu/about-yale/visiting	button			Navigation
http://yale.edu/about-yale/visiting	label			Info for...
http://yale.edu/about-yale/visiting	option			Students
http://yale.edu/about-yale/visiting	option	option		Faculty
http://yale.edu/about-yale/visiting	option	option		Staff
http://yale.edu/about-yale/visiting	option	option		Alumni
http://yale.edu/about-yale/visiting	h2			Main Navigation
http://yale.edu/about-yale/visiting	a			About Yale
http://yale.edu/about-yale/visiting	a			Leadership & Organization
http://yale.edu/about-yale/visiting	a	a		Yale Facts
http://yale.edu/about-yale/visiting	a	a		Traditions & History
http://yale.edu/about-yale/visiting	a	a		Yale & the World
http://yale.edu/about-yale/visiting	a	a		Visiting
http://yale.edu/about-yale/visiting	a			Academics
http://yale.edu/about-yale/visiting	a			Undergraduate Study
http://yale.edu/about-yale/visiting	a	a		Graduate & Professional Study
http://yale.edu/about-yale/visiting	a	a		Departments & Programs
http://yale.edu/about-yale/visiting	a	a		Global Education
http://yale.edu/about-yale/visiting	a	a		Summer Session
http://yale.edu/about-yale/visiting	a	a		Non-Degree Offerings
http://yale.edu/about-yale/visiting	a	a		Online Learning
http://yale.edu/about-yale/visiting	a			Admissions
http://yale.edu/about-yale/visiting	a			Undergraduate
http://yale.edu/about-yale/visiting	a	a		Graduate & Professional Schools
http://yale.edu/about-yale/visiting	a	a		Financial Aid
http://yale.edu/about-yale/visiting	a	a		International Students
http://yale.edu/about-yale/visiting	a	a		Summer Session
http://yale.edu/about-yale/visiting	a	a		Non-Degree Seeking Students
http://yale.edu/about-yale/visiting	a	a		World Fellows Program
http://yale.edu/about-yale/visiting	a			Research & Collections
http://yale.edu/about-yale/visiting	a			Research at Yale
http://yale.edu/about-yale/visiting	a	a		Libraries
http://yale.edu/about-yale/visiting	a	a		Museums & Galleries
http://yale.edu/about-yale/visiting	a	a		Centers & Institutes
http://yale.edu/about-yale/visiting	a	a		Digital Collections & Open Resources
http://yale.edu/about-yale/visiting	a			Life at Yale
http://yale.edu/about-yale/visiting	a			Arts & Culture
http://yale.edu/about-yale/visiting	a	a		Athletics & Recreation
http://yale.edu/about-yale/visiting	a	a		Belonging at Yale
http://yale.edu/about-yale/visiting	a	a		Health & Wellness
http://yale.edu/about-yale/visiting	a	a		New Haven
http://yale.edu/about-yale/visiting	a	a		Residential Life
http://yale.edu/about-yale/visiting	a	a		Service
http://yale.edu/about-yale/visiting	a	a		Student Groups & Activities
http://yale.edu/about-yale/visiting	span			Search
http://yale.edu/about-yale/visiting	h2			Breadcrumb
http://yale.edu/about-yale/visiting	span			Home
http://yale.edu/about-yale/visiting	span			About Yale
http://yale.edu/about-yale/visiting	span			Visiting
http://yale.edu/about-yale/visiting	h2			Additional Navigation
http://yale.edu/about-yale/visiting	h2			Sub Navigation
http://yale.edu/about-yale/visiting	a			Leadership & Organization
http://yale.edu/about-yale/visiting	a			Yale Facts
http://yale.edu/about-yale/visiting	a			Traditions & History
http://yale.edu/about-yale/visiting	a			Yale & the World
http://yale.edu/about-yale/visiting	a			Visiting
http://yale.edu/about-yale/visiting	h1			Visiting
http://yale.edu/about-yale/visiting	p			Yale University is situated 90 minutes from New York in the city of New Haven, Connecticut.
http://yale.edu/about-yale/visiting	p			Whether you’re in town for an admissions information session or simply want to join one of the many activities happening here, we invite you to explore our campus and community. Take a guided tour, attend a concert, or stroll through our scenic and historic Old Campus.
http://yale.edu/about-yale/visiting	h2			Campus Map
http://yale.edu/about-yale/visiting	p			Our interactive map will help you navigate the campus.
http://yale.edu/about-yale/visiting	h2			Getting Around
http://yale.edu/about-yale/visiting	p			View Yale shuttle schedules, bike rack locations, and parking options.
http://yale.edu/about-yale/visiting	h2			Campus Tours
http://yale.edu/about-yale/visiting	p			Learn about Yale’s history, architecture, and campus life from our student tour guides.
http://yale.edu/about-yale/visiting	h2			Calendar of Events
http://yale.edu/about-yale/visiting	p			Check out an exhibit or see a play — there are dozens of events happening daily.
http://yale.edu/about-yale/visiting	h2			Yale Visitor Center
http://yale.edu/about-yale/visiting	p			Drop by for information about the university or to take a guided tour.
http://yale.edu/about-yale/visiting	h2			New Haven
http://yale.edu/about-yale/visiting	p			From world-class eateries to an eclectic arts scene, the Elm City has much for you to discover.
http://yale.edu/about-yale/visiting	h2			Campus Highlights
http://yale.edu/about-yale/visiting	a			Beinecke Rare Book & Manuscript Library
http://yale.edu/about-yale/visiting	a			Leitner Observatory
http://yale.edu/about-yale/visiting	a			Marsh Botanical Garden
http://yale.edu/about-yale/visiting	a			Peabody Museum of Natural History
http://yale.edu/about-yale/visiting	a			School of Music Concerts
http://yale.edu/about-yale/visiting	a			Sterling Memorial Library
http://yale.edu/about-yale/visiting	a			Yale Athletics
http://yale.edu/about-yale/visiting	a			Yale Cabaret
http://yale.edu/about-yale/visiting	a			Yale Center for British Art
http://yale.edu/about-yale/visiting	a			Yale Farm
http://yale.edu/about-yale/visiting	a			Yale Repertory Theatre
http://yale.edu/about-yale/visiting	a			Yale University Art Gallery
http://yale.edu/about-yale/visiting	label			Info for Visiting Yale
http://yale.edu/about-yale/visiting	option			Campus Tours
http://yale.edu/about-yale/visiting	option	option		Maps & Directions
http://yale.edu/about-yale/visiting	option	option		Yale Visitor Center
http://yale.edu/about-yale/visiting	option	option		Museums & Galleries
http://yale.edu/about-yale/visiting	option	option		New Haven
http://yale.edu/about-yale/visiting	option	option		More Visit Resources
http://yale.edu/about-yale/visiting	h2			Helpful Links
http://yale.edu/about-yale/visiting	a			Contact Us
http://yale.edu/about-yale/visiting	a	a		Yale West Campus
http://yale.edu/about-yale/visiting	a	a		Employment Opportunities
http://yale.edu/about-yale/visiting	a	a		Privacy Policy
http://yale.edu/about-yale/visiting	a	a		Emergency Info
http://yale.edu/about-yale/visiting	a	a		Public Safety
http://yale.edu/about-yale/visiting	a	a		Nondiscrimination & Title IX
http://yale.edu/about-yale/visiting	a	a		Accessibility at Yale
http://yale.edu/about-yale/visiting	a	a		Yale Mobile
http://yale.edu/about-yale/visiting	h2			Visiting Yale
http://yale.edu/about-yale/visiting	a			Campus Tours
http://yale.edu/about-yale/visiting	a	a		Maps & Directions
http://yale.edu/about-yale/visiting	a	a		Yale Visitor Center
http://yale.edu/about-yale/visiting	a	a		Museums & Galleries
http://yale.edu/about-yale/visiting	a	a		New Haven
http://yale.edu/about-yale/visiting	a	a		More Visit Resources
http://yale.edu/about-yale/visiting	figcaption			Yale on Instagram
http://yale.edu/about-yale/visiting	h2			Social Links
http://yale.edu/about-yale/visiting	span	span		Facebook
http://yale.edu/about-yale/visiting	span	span		Twitter
http://yale.edu/about-yale/visiting	span	span		YouTube
http://yale.edu/about-yale/visiting	span	span		Sina Weibo
http://yale.edu/about-yale/visiting	a			All Social Media
http://yale.edu/about-yale/visiting	span			Copyright © 2019 Yale University
http://yale.edu/about-yale/visiting	span			All Rights Reserved
http://yale.edu/about-yale/visiting	a			Contact Web Editor
http://yale.edu/about-yale/visiting	a			Back to top
http://yale.edu/about-yale/visiting	h1			Yale University
http://yale.edu/about-yale/visiting	span			Search
http://yale.edu/about-yale/visiting	button		span	      Navigation      
http://yale.edu/about-yale/visiting	h2			Main Navigation
http://yale.edu/about-yale/visiting	span			About Yale
http://yale.edu/about-yale/visiting	span			Academics
http://yale.edu/about-yale/visiting	span			Admissions
http://yale.edu/about-yale/visiting	span			Research & Collections
http://yale.edu/about-yale/visiting	span			Life at Yale
http://yale.edu/about-yale/visiting	h2			Secondary Navigation
http://yale.edu/about-yale/visiting	span			Calendars
http://yale.edu/about-yale/visiting	span			Giving
http://yale.edu/about-yale/visiting	span			News
http://yale.edu/about-yale/visiting	span			Directories
http://yale.edu/about-yale/visiting	h2			Gateway Navigation
http://yale.edu/about-yale/visiting	a			Students
http://yale.edu/about-yale/visiting	a	a		Faculty
http://yale.edu/about-yale/visiting	a	a		Staff
http://yale.edu/about-yale/visiting	a	a		Alumni
