url	parent	ps	ns	text
http://yale.edu/about-yale/yale-facts	a			Skip to Main Content
http://yale.edu/about-yale/yale-facts	p			It looks like you're trying to zoom in on this page. For best results: use the most recent version of your browser, disable your browser's 'zoom text only' setting, and use your browser's default font size settings.
http://yale.edu/about-yale/yale-facts	p			To zoom in, use [Ctrl]   [ ] in Windows, and [Cmd]   [ ] on a Mac. To zoom out, use the keyboard shortcut [Ctrl]   [-] in Windows and [Cmd]   [-] on a Mac.
http://yale.edu/about-yale/yale-facts	h1			Yale University
http://yale.edu/about-yale/yale-facts	h2			Secondary Navigation
http://yale.edu/about-yale/yale-facts	span			Calendars
http://yale.edu/about-yale/yale-facts	span			Giving
http://yale.edu/about-yale/yale-facts	span			News
http://yale.edu/about-yale/yale-facts	span			Directories
http://yale.edu/about-yale/yale-facts	span			Search
http://yale.edu/about-yale/yale-facts	button			Navigation
http://yale.edu/about-yale/yale-facts	label			Info for...
http://yale.edu/about-yale/yale-facts	option			Students
http://yale.edu/about-yale/yale-facts	option	option		Faculty
http://yale.edu/about-yale/yale-facts	option	option		Staff
http://yale.edu/about-yale/yale-facts	option	option		Alumni
http://yale.edu/about-yale/yale-facts	h2			Main Navigation
http://yale.edu/about-yale/yale-facts	a			About Yale
http://yale.edu/about-yale/yale-facts	a			Leadership & Organization
http://yale.edu/about-yale/yale-facts	a	a		Yale Facts
http://yale.edu/about-yale/yale-facts	a	a		Traditions & History
http://yale.edu/about-yale/yale-facts	a	a		Yale & the World
http://yale.edu/about-yale/yale-facts	a	a		Visiting
http://yale.edu/about-yale/yale-facts	a			Academics
http://yale.edu/about-yale/yale-facts	a			Undergraduate Study
http://yale.edu/about-yale/yale-facts	a	a		Graduate & Professional Study
http://yale.edu/about-yale/yale-facts	a	a		Departments & Programs
http://yale.edu/about-yale/yale-facts	a	a		Global Education
http://yale.edu/about-yale/yale-facts	a	a		Summer Session
http://yale.edu/about-yale/yale-facts	a	a		Non-Degree Offerings
http://yale.edu/about-yale/yale-facts	a	a		Online Learning
http://yale.edu/about-yale/yale-facts	a			Admissions
http://yale.edu/about-yale/yale-facts	a			Undergraduate
http://yale.edu/about-yale/yale-facts	a	a		Graduate & Professional Schools
http://yale.edu/about-yale/yale-facts	a	a		Financial Aid
http://yale.edu/about-yale/yale-facts	a	a		International Students
http://yale.edu/about-yale/yale-facts	a	a		Summer Session
http://yale.edu/about-yale/yale-facts	a	a		Non-Degree Seeking Students
http://yale.edu/about-yale/yale-facts	a	a		World Fellows Program
http://yale.edu/about-yale/yale-facts	a			Research & Collections
http://yale.edu/about-yale/yale-facts	a			Research at Yale
http://yale.edu/about-yale/yale-facts	a	a		Libraries
http://yale.edu/about-yale/yale-facts	a	a		Museums & Galleries
http://yale.edu/about-yale/yale-facts	a	a		Centers & Institutes
http://yale.edu/about-yale/yale-facts	a	a		Digital Collections & Open Resources
http://yale.edu/about-yale/yale-facts	a			Life at Yale
http://yale.edu/about-yale/yale-facts	a			Arts & Culture
http://yale.edu/about-yale/yale-facts	a	a		Athletics & Recreation
http://yale.edu/about-yale/yale-facts	a	a		Belonging at Yale
http://yale.edu/about-yale/yale-facts	a	a		Health & Wellness
http://yale.edu/about-yale/yale-facts	a	a		New Haven
http://yale.edu/about-yale/yale-facts	a	a		Residential Life
http://yale.edu/about-yale/yale-facts	a	a		Service
http://yale.edu/about-yale/yale-facts	a	a		Student Groups & Activities
http://yale.edu/about-yale/yale-facts	span			Search
http://yale.edu/about-yale/yale-facts	h2			By the Numbers
http://yale.edu/about-yale/yale-facts	div			      Data provided by the Office of Institutional Research    
http://yale.edu/about-yale/yale-facts	div			5,964 
http://yale.edu/about-yale/yale-facts	div			undergraduate students
http://yale.edu/about-yale/yale-facts	div			7,469
http://yale.edu/about-yale/yale-facts	div			graduate & professional students
http://yale.edu/about-yale/yale-facts	div			2,694 
http://yale.edu/about-yale/yale-facts	div			international students 
http://yale.edu/about-yale/yale-facts	div			4,739
http://yale.edu/about-yale/yale-facts	div			faculty members
http://yale.edu/about-yale/yale-facts	div			123
http://yale.edu/about-yale/yale-facts	div			countries represented by international students
http://yale.edu/about-yale/yale-facts	div			1,000
http://yale.edu/about-yale/yale-facts	div			pell grant recipients enrolled in Yale College
http://yale.edu/about-yale/yale-facts	div			varsity sports teams 
http://yale.edu/about-yale/yale-facts	div			14M
http://yale.edu/about-yale/yale-facts	div			library holdings
http://yale.edu/about-yale/yale-facts	h2			Breadcrumb
http://yale.edu/about-yale/yale-facts	span			Home
http://yale.edu/about-yale/yale-facts	span			About Yale
http://yale.edu/about-yale/yale-facts	span			Yale Facts
http://yale.edu/about-yale/yale-facts	h2			Additional Navigation
http://yale.edu/about-yale/yale-facts	h2			Sub Navigation
http://yale.edu/about-yale/yale-facts	a			Leadership & Organization
http://yale.edu/about-yale/yale-facts	a			Yale Facts
http://yale.edu/about-yale/yale-facts	a			Traditions & History
http://yale.edu/about-yale/yale-facts	a			Yale & the World
http://yale.edu/about-yale/yale-facts	a			Visiting
http://yale.edu/about-yale/yale-facts	h1			Yale Facts
http://yale.edu/about-yale/yale-facts	p			Yale University is a large research university with a wide array of programs, departments, schools, centers, museums, and many affiliated organizations. 
http://yale.edu/about-yale/yale-facts	p		a	The facts below address some frequently asked statistical questions about Yale. More detailed statistics are available from the 
http://yale.edu/about-yale/yale-facts	a			Office of Institutional Research
http://yale.edu/about-yale/yale-facts	h2			Documents & Reports
http://yale.edu/about-yale/yale-facts	a			2018-2019 Factsheet
http://yale.edu/about-yale/yale-facts	a			2017-2018 Financial Report
http://yale.edu/about-yale/yale-facts	a			2018 Endowment Update
http://yale.edu/about-yale/yale-facts	a			Report of the Committee on Freedom of Expression (Woodward Report)
http://yale.edu/about-yale/yale-facts	h3			Fall 2018 Enrollment
http://yale.edu/about-yale/yale-facts	th			Division
http://yale.edu/about-yale/yale-facts	th			Male
http://yale.edu/about-yale/yale-facts	th			Female
http://yale.edu/about-yale/yale-facts	th			Total
http://yale.edu/about-yale/yale-facts	th			% International*
http://yale.edu/about-yale/yale-facts	td			Yale College
http://yale.edu/about-yale/yale-facts	td			2,971
http://yale.edu/about-yale/yale-facts	td			2,993
http://yale.edu/about-yale/yale-facts	td			5,964
http://yale.edu/about-yale/yale-facts	td			11%
http://yale.edu/about-yale/yale-facts	td			Special (Degree & Non-Degree)
http://yale.edu/about-yale/yale-facts	td			Graduate School of Arts & Sciences
http://yale.edu/about-yale/yale-facts	td			1,596
http://yale.edu/about-yale/yale-facts	td			1,436
http://yale.edu/about-yale/yale-facts	td			3,032
http://yale.edu/about-yale/yale-facts	td			37%
http://yale.edu/about-yale/yale-facts	strong			Professional School Programs
http://yale.edu/about-yale/yale-facts	td			Architecture
http://yale.edu/about-yale/yale-facts	td			112
http://yale.edu/about-yale/yale-facts	td			206
http://yale.edu/about-yale/yale-facts	td			47%
http://yale.edu/about-yale/yale-facts	td			Art
http://yale.edu/about-yale/yale-facts	td			128
http://yale.edu/about-yale/yale-facts	td			28%
http://yale.edu/about-yale/yale-facts	td			Divinity
http://yale.edu/about-yale/yale-facts	td			189
http://yale.edu/about-yale/yale-facts	td			166
http://yale.edu/about-yale/yale-facts	td			355
http://yale.edu/about-yale/yale-facts	td			14%
http://yale.edu/about-yale/yale-facts	em			- Institute of Sacred Music
http://yale.edu/about-yale/yale-facts	em			21%
http://yale.edu/about-yale/yale-facts	td			Drama
http://yale.edu/about-yale/yale-facts	td			118
http://yale.edu/about-yale/yale-facts	td			204
http://yale.edu/about-yale/yale-facts	td			14%
http://yale.edu/about-yale/yale-facts	td			Forestry & Environmental Studies
http://yale.edu/about-yale/yale-facts	td			136
http://yale.edu/about-yale/yale-facts	td			182
http://yale.edu/about-yale/yale-facts	td			318
http://yale.edu/about-yale/yale-facts	td			24%
http://yale.edu/about-yale/yale-facts	td			Law
http://yale.edu/about-yale/yale-facts	td			338
http://yale.edu/about-yale/yale-facts	td			328
http://yale.edu/about-yale/yale-facts	td			666
http://yale.edu/about-yale/yale-facts	td			13%
http://yale.edu/about-yale/yale-facts	td			Management
http://yale.edu/about-yale/yale-facts	td			548
http://yale.edu/about-yale/yale-facts	td			375
http://yale.edu/about-yale/yale-facts	td			923
http://yale.edu/about-yale/yale-facts	td			40%
http://yale.edu/about-yale/yale-facts	td			M.D.
http://yale.edu/about-yale/yale-facts	td			243
http://yale.edu/about-yale/yale-facts	td			265
http://yale.edu/about-yale/yale-facts	td			508
http://yale.edu/about-yale/yale-facts	td			13%
http://yale.edu/about-yale/yale-facts	td			Music
http://yale.edu/about-yale/yale-facts	td			125
http://yale.edu/about-yale/yale-facts	td			102
http://yale.edu/about-yale/yale-facts	td			227
http://yale.edu/about-yale/yale-facts	td			36%
http://yale.edu/about-yale/yale-facts	em			- Institute of Sacred Music
http://yale.edu/about-yale/yale-facts	em			14%
http://yale.edu/about-yale/yale-facts	td			Nursing
http://yale.edu/about-yale/yale-facts	td			366
http://yale.edu/about-yale/yale-facts	td			415
http://yale.edu/about-yale/yale-facts	td			Physician Associate
http://yale.edu/about-yale/yale-facts	td			116
http://yale.edu/about-yale/yale-facts	td			Public Health
http://yale.edu/about-yale/yale-facts	td			272
http://yale.edu/about-yale/yale-facts	td			371
http://yale.edu/about-yale/yale-facts	td			28%
http://yale.edu/about-yale/yale-facts	strong			Professional School Programs Total
http://yale.edu/about-yale/yale-facts	td			1,991
http://yale.edu/about-yale/yale-facts	td			2,446
http://yale.edu/about-yale/yale-facts	td			4,437
http://yale.edu/about-yale/yale-facts	td			22%
http://yale.edu/about-yale/yale-facts	strong			Total University
http://yale.edu/about-yale/yale-facts	strong			6,581
http://yale.edu/about-yale/yale-facts	strong			6,881
http://yale.edu/about-yale/yale-facts	strong			13,462
http://yale.edu/about-yale/yale-facts	strong			21%
http://yale.edu/about-yale/yale-facts	p			* Students pursuing degrees in the fields of engineering and applied science are enrolled in either Yale College or in the Graduate School of Arts and Sciences.
http://yale.edu/about-yale/yale-facts	p			“International” excludes U.S. citizens and students who have permanent resident status.
http://yale.edu/about-yale/yale-facts	p			Institute of Sacred Music students are listed in brackets for information only as they are enrolled in either the Divinity School or the School of Music.
http://yale.edu/about-yale/yale-facts	p			Enrollment figures for each school include only those students paying tuition to that school in the fall term.
http://yale.edu/about-yale/yale-facts	h3			University-wide Enrollments by Ethnicity (% of non-international enrollment)*
http://yale.edu/about-yale/yale-facts	th			Ethnicity
http://yale.edu/about-yale/yale-facts	td			American Indian or Alaska Native
http://yale.edu/about-yale/yale-facts	td			0.3%
http://yale.edu/about-yale/yale-facts	td			Asian
http://yale.edu/about-yale/yale-facts	td			14.7%
http://yale.edu/about-yale/yale-facts	td			Black or African-American
http://yale.edu/about-yale/yale-facts	td			5.8%
http://yale.edu/about-yale/yale-facts	td			Hispanic of any race
http://yale.edu/about-yale/yale-facts	td			9.8%
http://yale.edu/about-yale/yale-facts	td			Native Hawaiian or other Pacific Islander
http://yale.edu/about-yale/yale-facts	td			0.1%
http://yale.edu/about-yale/yale-facts	td			White
http://yale.edu/about-yale/yale-facts	td			42.7%
http://yale.edu/about-yale/yale-facts	td			Race/ethnicity unknown
http://yale.edu/about-yale/yale-facts	td			1.0%
http://yale.edu/about-yale/yale-facts	em			*Students self-reporting two or more races are counted once in each race/ethnicity category.
http://yale.edu/about-yale/yale-facts	h3			International Students
http://yale.edu/about-yale/yale-facts	p		br	20.7% are international students*
http://yale.edu/about-yale/yale-facts	p		br	  123 countries are represented
http://yale.edu/about-yale/yale-facts	p			  Countries most represented: Canada, China, Germany, India, South Korea, and the United Kingdom 
http://yale.edu/about-yale/yale-facts	h3			Yale College Student Body Characteristics
http://yale.edu/about-yale/yale-facts	p		br	84% of undergraduates live in university housing.
http://yale.edu/about-yale/yale-facts	p		br	  99% of first-years return for their sophomore year.
http://yale.edu/about-yale/yale-facts	p		br	  96% of ungraduates graduate within five years; 97% graduate within six years.
http://yale.edu/about-yale/yale-facts	p		br	  92% of undergraduates are from out-of-state (including nonresident aliens).
