url	parent	ps	ns	text
http://yale.edu/admissions/non-degree-seeking-students	a			Skip to Main Content
http://yale.edu/admissions/non-degree-seeking-students	p			It looks like you're trying to zoom in on this page. For best results: use the most recent version of your browser, disable your browser's 'zoom text only' setting, and use your browser's default font size settings.
http://yale.edu/admissions/non-degree-seeking-students	p			To zoom in, use [Ctrl]   [ ] in Windows, and [Cmd]   [ ] on a Mac. To zoom out, use the keyboard shortcut [Ctrl]   [-] in Windows and [Cmd]   [-] on a Mac.
http://yale.edu/admissions/non-degree-seeking-students	h1			Yale University
http://yale.edu/admissions/non-degree-seeking-students	h2			Secondary Navigation
http://yale.edu/admissions/non-degree-seeking-students	span			Calendars
http://yale.edu/admissions/non-degree-seeking-students	span			Giving
http://yale.edu/admissions/non-degree-seeking-students	span			News
http://yale.edu/admissions/non-degree-seeking-students	span			Directories
http://yale.edu/admissions/non-degree-seeking-students	span			Search
http://yale.edu/admissions/non-degree-seeking-students	button			Navigation
http://yale.edu/admissions/non-degree-seeking-students	label			Info for...
http://yale.edu/admissions/non-degree-seeking-students	option			Students
http://yale.edu/admissions/non-degree-seeking-students	option	option		Faculty
http://yale.edu/admissions/non-degree-seeking-students	option	option		Staff
http://yale.edu/admissions/non-degree-seeking-students	option	option		Alumni
http://yale.edu/admissions/non-degree-seeking-students	h2			Main Navigation
http://yale.edu/admissions/non-degree-seeking-students	a			About Yale
http://yale.edu/admissions/non-degree-seeking-students	a			Leadership & Organization
http://yale.edu/admissions/non-degree-seeking-students	a	a		Yale Facts
http://yale.edu/admissions/non-degree-seeking-students	a	a		Traditions & History
http://yale.edu/admissions/non-degree-seeking-students	a	a		Yale & the World
http://yale.edu/admissions/non-degree-seeking-students	a	a		Visiting
http://yale.edu/admissions/non-degree-seeking-students	a			Academics
http://yale.edu/admissions/non-degree-seeking-students	a			Undergraduate Study
http://yale.edu/admissions/non-degree-seeking-students	a	a		Graduate & Professional Study
http://yale.edu/admissions/non-degree-seeking-students	a	a		Departments & Programs
http://yale.edu/admissions/non-degree-seeking-students	a	a		Global Education
http://yale.edu/admissions/non-degree-seeking-students	a	a		Summer Session
http://yale.edu/admissions/non-degree-seeking-students	a	a		Non-Degree Offerings
http://yale.edu/admissions/non-degree-seeking-students	a	a		Online Learning
http://yale.edu/admissions/non-degree-seeking-students	a			Admissions
http://yale.edu/admissions/non-degree-seeking-students	a			Undergraduate
http://yale.edu/admissions/non-degree-seeking-students	a	a		Graduate & Professional Schools
http://yale.edu/admissions/non-degree-seeking-students	a	a		Financial Aid
http://yale.edu/admissions/non-degree-seeking-students	a	a		International Students
http://yale.edu/admissions/non-degree-seeking-students	a	a		Summer Session
http://yale.edu/admissions/non-degree-seeking-students	a	a		Non-Degree Seeking Students
http://yale.edu/admissions/non-degree-seeking-students	a	a		World Fellows Program
http://yale.edu/admissions/non-degree-seeking-students	a			Research & Collections
http://yale.edu/admissions/non-degree-seeking-students	a			Research at Yale
http://yale.edu/admissions/non-degree-seeking-students	a	a		Libraries
http://yale.edu/admissions/non-degree-seeking-students	a	a		Museums & Galleries
http://yale.edu/admissions/non-degree-seeking-students	a	a		Centers & Institutes
http://yale.edu/admissions/non-degree-seeking-students	a	a		Digital Collections & Open Resources
http://yale.edu/admissions/non-degree-seeking-students	a			Life at Yale
http://yale.edu/admissions/non-degree-seeking-students	a			Arts & Culture
http://yale.edu/admissions/non-degree-seeking-students	a	a		Athletics & Recreation
http://yale.edu/admissions/non-degree-seeking-students	a	a		Belonging at Yale
http://yale.edu/admissions/non-degree-seeking-students	a	a		Health & Wellness
