url	parent	ps	ns	text
http://yale.edu/board-trustees	a			Skip to Main Content
http://yale.edu/board-trustees	p			It looks like you're trying to zoom in on this page. For best results: use the most recent version of your browser, disable your browser's 'zoom text only' setting, and use your browser's default font size settings.
http://yale.edu/board-trustees	p			To zoom in, use [Ctrl]   [ ] in Windows, and [Cmd]   [ ] on a Mac. To zoom out, use the keyboard shortcut [Ctrl]   [-] in Windows and [Cmd]   [-] on a Mac.
http://yale.edu/board-trustees	h1			Yale University
http://yale.edu/board-trustees	h2			Secondary Navigation
http://yale.edu/board-trustees	span			Calendars
http://yale.edu/board-trustees	span			Giving
http://yale.edu/board-trustees	span			News
http://yale.edu/board-trustees	span			Directories
http://yale.edu/board-trustees	span			Search
http://yale.edu/board-trustees	button			Navigation
http://yale.edu/board-trustees	label			Info for...
http://yale.edu/board-trustees	option			Students
http://yale.edu/board-trustees	option	option		Faculty
http://yale.edu/board-trustees	option	option		Staff
http://yale.edu/board-trustees	option	option		Alumni
http://yale.edu/board-trustees	h2			Main Navigation
http://yale.edu/board-trustees	a			About Yale
http://yale.edu/board-trustees	a			Leadership & Organization
http://yale.edu/board-trustees	a	a		Yale Facts
http://yale.edu/board-trustees	a	a		Traditions & History
http://yale.edu/board-trustees	a	a		Yale & the World
http://yale.edu/board-trustees	a	a		Visiting
http://yale.edu/board-trustees	a			Academics
http://yale.edu/board-trustees	a			Undergraduate Study
http://yale.edu/board-trustees	a	a		Graduate & Professional Study
http://yale.edu/board-trustees	a	a		Departments & Programs
http://yale.edu/board-trustees	a	a		Global Education
http://yale.edu/board-trustees	a	a		Summer Session
http://yale.edu/board-trustees	a	a		Non-Degree Offerings
http://yale.edu/board-trustees	a	a		Online Learning
http://yale.edu/board-trustees	a			Admissions
http://yale.edu/board-trustees	a			Undergraduate
http://yale.edu/board-trustees	a	a		Graduate & Professional Schools
http://yale.edu/board-trustees	a	a		Financial Aid
http://yale.edu/board-trustees	a	a		International Students
http://yale.edu/board-trustees	a	a		Summer Session
http://yale.edu/board-trustees	a	a		Non-Degree Seeking Students
http://yale.edu/board-trustees	a	a		World Fellows Program
http://yale.edu/board-trustees	a			Research & Collections
http://yale.edu/board-trustees	a			Research at Yale
http://yale.edu/board-trustees	a	a		Libraries
http://yale.edu/board-trustees	a	a		Museums & Galleries
http://yale.edu/board-trustees	a	a		Centers & Institutes
http://yale.edu/board-trustees	a	a		Digital Collections & Open Resources
http://yale.edu/board-trustees	a			Life at Yale
http://yale.edu/board-trustees	a			Arts & Culture
http://yale.edu/board-trustees	a	a		Athletics & Recreation
http://yale.edu/board-trustees	a	a		Belonging at Yale
http://yale.edu/board-trustees	a	a		Health & Wellness
http://yale.edu/board-trustees	a	a		New Haven
http://yale.edu/board-trustees	a	a		Residential Life
http://yale.edu/board-trustees	a	a		Service
http://yale.edu/board-trustees	a	a		Student Groups & Activities
http://yale.edu/board-trustees	span			Search
http://yale.edu/board-trustees	h2			Breadcrumb
http://yale.edu/board-trustees	span			Home
http://yale.edu/board-trustees	span			Board of Trustees
http://yale.edu/board-trustees	h1			Board of Trustees
http://yale.edu/board-trustees	img			 Board of Trustees, 2019-2020
http://yale.edu/board-trustees	a			The Yale Corporation, or board of trustees, is the university’s principal governing body. 
http://yale.edu/board-trustees	p			As fiduciaries, the trustees ensure that Yale’s academic and administrative leadership are guided by sound policies and practices, and equipped with adequate resources, to further Yale’s mission. In this work, they balance the needs of today’s faculty, students, alumni, and staff with those of future generations.
http://yale.edu/board-trustees	p		em	The Corporation has sixteen trustees: ten appointed successor trustees, each limited to two six-year terms; and six elected alumni fellows, chosen by alumni for staggered six-year terms. Successor trustees and alumni fellows carry the same responsibilities and duties. The president of the university is a member of and chairs the board. In addition, the governor and lieutenant governor of Connecticut are board members 
http://yale.edu/board-trustees	em			ex officio
http://yale.edu/board-trustees	p			. The Corporation has thirteen standing committees with responsibilities outlined in the by-laws.
http://yale.edu/board-trustees	p			The Corporation convenes in person several times a year to review and discuss issues with Yale’s academic and administrative leaders, and to vote on matters such as faculty and senior leadership appointments, the conferral of degrees, major building projects, and operating and capital budgets. During and between meetings, trustees consider issues of strategic importance, offer guidance, and gather information that supports the stewardship of the university.
http://yale.edu/board-trustees	p			While on campus, the trustees meet with members of the Yale community, including faculty, staff, and students. Some meet formally, in regular meetings with student government and faculty; and others informally, at lunches, university teas, and campus events. Off campus, trustees represent the university at events and engage on issues of importance to Yale and higher education in general.
http://yale.edu/board-trustees	h3			Meetings for the 2019–2020 Academic Year
http://yale.edu/board-trustees	p		br	September 28, 2019
http://yale.edu/board-trustees	p		br	 December 14, 2019
http://yale.edu/board-trustees	p		br	 February 8, 2020
http://yale.edu/board-trustees	p		br	 April 25, 2020
http://yale.edu/board-trustees	p			 June 13, 2020
http://yale.edu/board-trustees	h2			About the Board of Trustees
http://yale.edu/board-trustees	a			Current Trustees
http://yale.edu/board-trustees	a			Contact the Trustees
http://yale.edu/board-trustees	a			Committees
http://yale.edu/board-trustees	a			Board Roles & Selection Process
http://yale.edu/board-trustees	a			What Happens at Board Meetings
http://yale.edu/board-trustees	a			Governance Documents
