url	parent	ps	ns	text
http://yale.edu/feature-archive	a			Skip to Main Content
http://yale.edu/feature-archive	p			It looks like you're trying to zoom in on this page. For best results: use the most recent version of your browser, disable your browser's 'zoom text only' setting, and use your browser's default font size settings.
http://yale.edu/feature-archive	p			To zoom in, use [Ctrl]   [ ] in Windows, and [Cmd]   [ ] on a Mac. To zoom out, use the keyboard shortcut [Ctrl]   [-] in Windows and [Cmd]   [-] on a Mac.
http://yale.edu/feature-archive	h1			Yale University
http://yale.edu/feature-archive	h2			Secondary Navigation
http://yale.edu/feature-archive	span			Calendars
http://yale.edu/feature-archive	span			Giving
http://yale.edu/feature-archive	span			News
http://yale.edu/feature-archive	span			Directories
http://yale.edu/feature-archive	span			Search
http://yale.edu/feature-archive	button			Navigation
http://yale.edu/feature-archive	label			Info for...
http://yale.edu/feature-archive	option			Students
http://yale.edu/feature-archive	option	option		Faculty
http://yale.edu/feature-archive	option	option		Staff
http://yale.edu/feature-archive	option	option		Alumni
http://yale.edu/feature-archive	h2			Main Navigation
http://yale.edu/feature-archive	a			About Yale
http://yale.edu/feature-archive	a			Leadership & Organization
http://yale.edu/feature-archive	a	a		Yale Facts
http://yale.edu/feature-archive	a	a		Traditions & History
http://yale.edu/feature-archive	a	a		Yale & the World
http://yale.edu/feature-archive	a	a		Visiting
http://yale.edu/feature-archive	a			Academics
http://yale.edu/feature-archive	a			Undergraduate Study
http://yale.edu/feature-archive	a	a		Graduate & Professional Study
http://yale.edu/feature-archive	a	a		Departments & Programs
http://yale.edu/feature-archive	a	a		Global Education
http://yale.edu/feature-archive	a	a		Summer Session
http://yale.edu/feature-archive	a	a		Non-Degree Offerings
http://yale.edu/feature-archive	a	a		Online Learning
http://yale.edu/feature-archive	a			Admissions
http://yale.edu/feature-archive	a			Undergraduate
http://yale.edu/feature-archive	a	a		Graduate & Professional Schools
http://yale.edu/feature-archive	a	a		Financial Aid
http://yale.edu/feature-archive	a	a		International Students
http://yale.edu/feature-archive	a	a		Summer Session
http://yale.edu/feature-archive	a	a		Non-Degree Seeking Students
