url	parent	ps	ns	text
http://yale.edu/life-yale	a			Skip to Main Content
http://yale.edu/life-yale	p			It looks like you're trying to zoom in on this page. For best results: use the most recent version of your browser, disable your browser's 'zoom text only' setting, and use your browser's default font size settings.
http://yale.edu/life-yale	p			To zoom in, use [Ctrl]   [ ] in Windows, and [Cmd]   [ ] on a Mac. To zoom out, use the keyboard shortcut [Ctrl]   [-] in Windows and [Cmd]   [-] on a Mac.
http://yale.edu/life-yale	h1			Yale University
http://yale.edu/life-yale	h2			Secondary Navigation
http://yale.edu/life-yale	span			Calendars
http://yale.edu/life-yale	span			Giving
http://yale.edu/life-yale	span			News
http://yale.edu/life-yale	span			Directories
http://yale.edu/life-yale	span			Search
http://yale.edu/life-yale	button			Navigation
http://yale.edu/life-yale	label			Info for...
http://yale.edu/life-yale	option			Students
http://yale.edu/life-yale	option	option		Faculty
http://yale.edu/life-yale	option	option		Staff
http://yale.edu/life-yale	option	option		Alumni
http://yale.edu/life-yale	h2			Main Navigation
http://yale.edu/life-yale	a			About Yale
http://yale.edu/life-yale	a			Leadership & Organization
http://yale.edu/life-yale	a	a		Yale Facts
http://yale.edu/life-yale	a	a		Traditions & History
http://yale.edu/life-yale	a	a		Yale & the World
http://yale.edu/life-yale	a	a		Visiting
http://yale.edu/life-yale	a			Academics
http://yale.edu/life-yale	a			Undergraduate Study
http://yale.edu/life-yale	a	a		Graduate & Professional Study
http://yale.edu/life-yale	a	a		Departments & Programs
http://yale.edu/life-yale	a	a		Global Education
http://yale.edu/life-yale	a	a		Summer Session
http://yale.edu/life-yale	a	a		Non-Degree Offerings
http://yale.edu/life-yale	a	a		Online Learning
http://yale.edu/life-yale	a			Admissions
http://yale.edu/life-yale	a			Undergraduate
http://yale.edu/life-yale	a	a		Graduate & Professional Schools
http://yale.edu/life-yale	a	a		Financial Aid
http://yale.edu/life-yale	a	a		International Students
http://yale.edu/life-yale	a	a		Summer Session
http://yale.edu/life-yale	a	a		Non-Degree Seeking Students
http://yale.edu/life-yale	a	a		World Fellows Program
http://yale.edu/life-yale	a			Research & Collections
http://yale.edu/life-yale	a			Research at Yale
http://yale.edu/life-yale	a	a		Libraries
http://yale.edu/life-yale	a	a		Museums & Galleries
http://yale.edu/life-yale	a	a		Centers & Institutes
http://yale.edu/life-yale	a	a		Digital Collections & Open Resources
http://yale.edu/life-yale	a			Life at Yale
http://yale.edu/life-yale	a			Arts & Culture
http://yale.edu/life-yale	a	a		Athletics & Recreation
http://yale.edu/life-yale	a	a		Belonging at Yale
http://yale.edu/life-yale	a	a		Health & Wellness
http://yale.edu/life-yale	a	a		New Haven
http://yale.edu/life-yale	a	a		Residential Life
http://yale.edu/life-yale	a	a		Service
http://yale.edu/life-yale	a	a		Student Groups & Activities
http://yale.edu/life-yale	span			Search
http://yale.edu/life-yale	a			@Yale on Instagram
http://yale.edu/life-yale	p			A book tree brings holiday spirit to the Yale Medical Historical Library, made from over 500 volumes of the National Union Catalog @yalemedhistlib…
http://yale.edu/life-yale	a			20034
http://yale.edu/life-yale	p			Wishing the Yale community a restful winter break and holiday season. See you in the new year!
http://yale.edu/life-yale	a			8923
http://yale.edu/life-yale	p			Queen Elizabeth I is holding court on the Yale Center for British Arts fourth floor.  The earliest full-length portrait of the iconic English monarch,…
http://yale.edu/life-yale	a			7048
