url	parent	ps	ns	text
http://yale.edu/life-yale/health-wellness	a			Skip to Main Content
http://yale.edu/life-yale/health-wellness	p			It looks like you're trying to zoom in on this page. For best results: use the most recent version of your browser, disable your browser's 'zoom text only' setting, and use your browser's default font size settings.
http://yale.edu/life-yale/health-wellness	p			To zoom in, use [Ctrl]   [ ] in Windows, and [Cmd]   [ ] on a Mac. To zoom out, use the keyboard shortcut [Ctrl]   [-] in Windows and [Cmd]   [-] on a Mac.
http://yale.edu/life-yale/health-wellness	h1			Yale University
http://yale.edu/life-yale/health-wellness	h2			Secondary Navigation
http://yale.edu/life-yale/health-wellness	span			Calendars
http://yale.edu/life-yale/health-wellness	span			Giving
http://yale.edu/life-yale/health-wellness	span			News
http://yale.edu/life-yale/health-wellness	span			Directories
http://yale.edu/life-yale/health-wellness	span			Search
http://yale.edu/life-yale/health-wellness	button			Navigation
http://yale.edu/life-yale/health-wellness	label			Info for...
http://yale.edu/life-yale/health-wellness	option			Students
http://yale.edu/life-yale/health-wellness	option	option		Faculty
http://yale.edu/life-yale/health-wellness	option	option		Staff
http://yale.edu/life-yale/health-wellness	option	option		Alumni
http://yale.edu/life-yale/health-wellness	h2			Main Navigation
http://yale.edu/life-yale/health-wellness	a			About Yale
http://yale.edu/life-yale/health-wellness	a			Leadership & Organization
http://yale.edu/life-yale/health-wellness	a	a		Yale Facts
http://yale.edu/life-yale/health-wellness	a	a		Traditions & History
http://yale.edu/life-yale/health-wellness	a	a		Yale & the World
http://yale.edu/life-yale/health-wellness	a	a		Visiting
http://yale.edu/life-yale/health-wellness	a			Academics
http://yale.edu/life-yale/health-wellness	a			Undergraduate Study
http://yale.edu/life-yale/health-wellness	a	a		Graduate & Professional Study
http://yale.edu/life-yale/health-wellness	a	a		Departments & Programs
http://yale.edu/life-yale/health-wellness	a	a		Global Education
http://yale.edu/life-yale/health-wellness	a	a		Summer Session
http://yale.edu/life-yale/health-wellness	a	a		Non-Degree Offerings
http://yale.edu/life-yale/health-wellness	a	a		Online Learning
http://yale.edu/life-yale/health-wellness	a			Admissions
http://yale.edu/life-yale/health-wellness	a			Undergraduate
http://yale.edu/life-yale/health-wellness	a	a		Graduate & Professional Schools
http://yale.edu/life-yale/health-wellness	a	a		Financial Aid
http://yale.edu/life-yale/health-wellness	a	a		International Students
http://yale.edu/life-yale/health-wellness	a	a		Summer Session
http://yale.edu/life-yale/health-wellness	a	a		Non-Degree Seeking Students
http://yale.edu/life-yale/health-wellness	a	a		World Fellows Program
http://yale.edu/life-yale/health-wellness	a			Research & Collections
http://yale.edu/life-yale/health-wellness	a			Research at Yale
http://yale.edu/life-yale/health-wellness	a	a		Libraries
http://yale.edu/life-yale/health-wellness	a	a		Museums & Galleries
http://yale.edu/life-yale/health-wellness	a	a		Centers & Institutes
http://yale.edu/life-yale/health-wellness	a	a		Digital Collections & Open Resources
http://yale.edu/life-yale/health-wellness	a			Life at Yale
http://yale.edu/life-yale/health-wellness	a			Arts & Culture
http://yale.edu/life-yale/health-wellness	a	a		Athletics & Recreation
http://yale.edu/life-yale/health-wellness	a	a		Belonging at Yale
http://yale.edu/life-yale/health-wellness	a	a		Health & Wellness
http://yale.edu/life-yale/health-wellness	a	a		New Haven
http://yale.edu/life-yale/health-wellness	a	a		Residential Life
http://yale.edu/life-yale/health-wellness	a	a		Service
http://yale.edu/life-yale/health-wellness	a	a		Student Groups & Activities
http://yale.edu/life-yale/health-wellness	span			Search
http://yale.edu/life-yale/health-wellness	h2			Breadcrumb
http://yale.edu/life-yale/health-wellness	span			Home
http://yale.edu/life-yale/health-wellness	span			Life at Yale
http://yale.edu/life-yale/health-wellness	span			Health & Wellness
http://yale.edu/life-yale/health-wellness	h2			Additional Navigation
http://yale.edu/life-yale/health-wellness	h2			Sub Navigation
http://yale.edu/life-yale/health-wellness	a			Arts & Culture
http://yale.edu/life-yale/health-wellness	a			Athletics & Recreation
http://yale.edu/life-yale/health-wellness	a			Belonging at Yale
http://yale.edu/life-yale/health-wellness	a			Health & Wellness
http://yale.edu/life-yale/health-wellness	a			New Haven
http://yale.edu/life-yale/health-wellness	a			Residential Life
http://yale.edu/life-yale/health-wellness	a			Service
http://yale.edu/life-yale/health-wellness	a			Student Groups & Activities
http://yale.edu/life-yale/health-wellness	h1			Health & Wellness
http://yale.edu/life-yale/health-wellness	p			Keeping our community members healthy on every level is a high priority at Yale.
http://yale.edu/life-yale/health-wellness	p			We promote health and well-being through our fitness and wellness programs and medical centers; mental health through counseling services and support groups; and spiritual health through our Chaplain’s Office, which welcomes people of every faith.
http://yale.edu/life-yale/health-wellness	h2			Yale Health
http://yale.edu/life-yale/health-wellness	p			Learn how our on-campus medical facility cares for our students, staff, and faculty.
http://yale.edu/life-yale/health-wellness	a			Yale Health
http://yale.edu/life-yale/health-wellness	h2			Yale Medicine
http://yale.edu/life-yale/health-wellness	p			Yale Medicine’s 1,400 specialty physicians work together to provide the best care possible. We utilize advanced, innovative technology and emphasize a multidisciplinary approach.
http://yale.edu/life-yale/health-wellness	a			Yale Medicine
http://yale.edu/life-yale/health-wellness	h2			Yale-New Haven Hospital
http://yale.edu/life-yale/health-wellness	p			YNHH is one of the largest medical centers in the world and among the nation’s top-ranked hospitals.
http://yale.edu/life-yale/health-wellness	a			Yale-New Haven Hospital
http://yale.edu/life-yale/health-wellness	h2			Being Well at Yale
http://yale.edu/life-yale/health-wellness	p			Explore the programs, resources, and services that help faculty and staff thrive.
http://yale.edu/life-yale/health-wellness	a			Being Well at Yale
http://yale.edu/life-yale/health-wellness	h2			Student Wellness
http://yale.edu/life-yale/health-wellness	p			See how we encourage our students to value their well-being and make healthier choices.
http://yale.edu/life-yale/health-wellness	a			Student Wellness
http://yale.edu/life-yale/health-wellness	h2			Fitness & Recreation
http://yale.edu/life-yale/health-wellness	p			Discover the programs and facilities inside our nine-story gym, open free to all students.
http://yale.edu/life-yale/health-wellness	a			Fitness & Recreation
http://yale.edu/life-yale/health-wellness	h2			Chaplain's Office
http://yale.edu/life-yale/health-wellness	p			Whether you are part of a particular religious/spiritual community or not, you are welcome here.
http://yale.edu/life-yale/health-wellness	a			Chaplain's Office
http://yale.edu/life-yale/health-wellness	h2			Public Safety
http://yale.edu/life-yale/health-wellness	p			We work to keep our community members safe as they explore all our city has to offer.
http://yale.edu/life-yale/health-wellness	a			Public Safety
http://yale.edu/life-yale/health-wellness	h2			Emergency Management
http://yale.edu/life-yale/health-wellness	p			We live by the motto “be prepared” and encourage our community members to do the same.
http://yale.edu/life-yale/health-wellness	a			Emergency Management
http://yale.edu/life-yale/health-wellness	label			Info for Visiting Yale
http://yale.edu/life-yale/health-wellness	option			Campus Tours
http://yale.edu/life-yale/health-wellness	option	option		Maps & Directions
http://yale.edu/life-yale/health-wellness	option	option		Yale Visitor Center
http://yale.edu/life-yale/health-wellness	option	option		Museums & Galleries
http://yale.edu/life-yale/health-wellness	option	option		New Haven
http://yale.edu/life-yale/health-wellness	option	option		More Visit Resources
http://yale.edu/life-yale/health-wellness	h2			Helpful Links
http://yale.edu/life-yale/health-wellness	a			Contact Us
http://yale.edu/life-yale/health-wellness	a	a		Yale West Campus
http://yale.edu/life-yale/health-wellness	a	a		Employment Opportunities
http://yale.edu/life-yale/health-wellness	a	a		Privacy Policy
http://yale.edu/life-yale/health-wellness	a	a		Emergency Info
http://yale.edu/life-yale/health-wellness	a	a		Public Safety
http://yale.edu/life-yale/health-wellness	a	a		Nondiscrimination & Title IX
http://yale.edu/life-yale/health-wellness	a	a		Accessibility at Yale
http://yale.edu/life-yale/health-wellness	a	a		Yale Mobile
http://yale.edu/life-yale/health-wellness	h2			Visiting Yale
http://yale.edu/life-yale/health-wellness	a			Campus Tours
http://yale.edu/life-yale/health-wellness	a	a		Maps & Directions
http://yale.edu/life-yale/health-wellness	a	a		Yale Visitor Center
http://yale.edu/life-yale/health-wellness	a	a		Museums & Galleries
http://yale.edu/life-yale/health-wellness	a	a		New Haven
http://yale.edu/life-yale/health-wellness	a	a		More Visit Resources
http://yale.edu/life-yale/health-wellness	figcaption			Yale on Instagram
http://yale.edu/life-yale/health-wellness	h2			Social Links
http://yale.edu/life-yale/health-wellness	span	span		Facebook
http://yale.edu/life-yale/health-wellness	span	span		Twitter
http://yale.edu/life-yale/health-wellness	span	span		YouTube
http://yale.edu/life-yale/health-wellness	span	span		Sina Weibo
http://yale.edu/life-yale/health-wellness	a			All Social Media
http://yale.edu/life-yale/health-wellness	span			Copyright © 2019 Yale University
http://yale.edu/life-yale/health-wellness	span			All Rights Reserved
http://yale.edu/life-yale/health-wellness	a			Contact Web Editor
http://yale.edu/life-yale/health-wellness	a			Back to top
http://yale.edu/life-yale/health-wellness	h1			Yale University
http://yale.edu/life-yale/health-wellness	span			Search
