url	parent	ps	ns	text
http://yale.edu/life-yale/service	a			Skip to Main Content
http://yale.edu/life-yale/service	p			It looks like you're trying to zoom in on this page. For best results: use the most recent version of your browser, disable your browser's 'zoom text only' setting, and use your browser's default font size settings.
http://yale.edu/life-yale/service	p			To zoom in, use [Ctrl]   [ ] in Windows, and [Cmd]   [ ] on a Mac. To zoom out, use the keyboard shortcut [Ctrl]   [-] in Windows and [Cmd]   [-] on a Mac.
http://yale.edu/life-yale/service	h1			Yale University
http://yale.edu/life-yale/service	h2			Secondary Navigation
http://yale.edu/life-yale/service	span			Calendars
http://yale.edu/life-yale/service	span			Giving
http://yale.edu/life-yale/service	span			News
http://yale.edu/life-yale/service	span			Directories
http://yale.edu/life-yale/service	span			Search
http://yale.edu/life-yale/service	button			Navigation
http://yale.edu/life-yale/service	label			Info for...
http://yale.edu/life-yale/service	option			Students
http://yale.edu/life-yale/service	option	option		Faculty
http://yale.edu/life-yale/service	option	option		Staff
http://yale.edu/life-yale/service	option	option		Alumni
http://yale.edu/life-yale/service	h2			Main Navigation
http://yale.edu/life-yale/service	a			About Yale
http://yale.edu/life-yale/service	a			Leadership & Organization
http://yale.edu/life-yale/service	a	a		Yale Facts
http://yale.edu/life-yale/service	a	a		Traditions & History
http://yale.edu/life-yale/service	a	a		Yale & the World
http://yale.edu/life-yale/service	a	a		Visiting
http://yale.edu/life-yale/service	a			Academics
http://yale.edu/life-yale/service	a			Undergraduate Study
http://yale.edu/life-yale/service	a	a		Graduate & Professional Study
http://yale.edu/life-yale/service	a	a		Departments & Programs
http://yale.edu/life-yale/service	a	a		Global Education
http://yale.edu/life-yale/service	a	a		Summer Session
http://yale.edu/life-yale/service	a	a		Non-Degree Offerings
http://yale.edu/life-yale/service	a	a		Online Learning
http://yale.edu/life-yale/service	a			Admissions
http://yale.edu/life-yale/service	a			Undergraduate
http://yale.edu/life-yale/service	a	a		Graduate & Professional Schools
http://yale.edu/life-yale/service	a	a		Financial Aid
http://yale.edu/life-yale/service	a	a		International Students
http://yale.edu/life-yale/service	a	a		Summer Session
http://yale.edu/life-yale/service	a	a		Non-Degree Seeking Students
http://yale.edu/life-yale/service	a	a		World Fellows Program
http://yale.edu/life-yale/service	a			Research & Collections
http://yale.edu/life-yale/service	a			Research at Yale
http://yale.edu/life-yale/service	a	a		Libraries
http://yale.edu/life-yale/service	a	a		Museums & Galleries
http://yale.edu/life-yale/service	a	a		Centers & Institutes
http://yale.edu/life-yale/service	a	a		Digital Collections & Open Resources
http://yale.edu/life-yale/service	a			Life at Yale
http://yale.edu/life-yale/service	a			Arts & Culture
http://yale.edu/life-yale/service	a	a		Athletics & Recreation
http://yale.edu/life-yale/service	a	a		Belonging at Yale
http://yale.edu/life-yale/service	a	a		Health & Wellness
http://yale.edu/life-yale/service	a	a		New Haven
http://yale.edu/life-yale/service	a	a		Residential Life
http://yale.edu/life-yale/service	a	a		Service
http://yale.edu/life-yale/service	a	a		Student Groups & Activities
http://yale.edu/life-yale/service	span			Search
http://yale.edu/life-yale/service	h2			Breadcrumb
http://yale.edu/life-yale/service	span			Home
http://yale.edu/life-yale/service	span			Life at Yale
http://yale.edu/life-yale/service	span			Service
http://yale.edu/life-yale/service	h2			Additional Navigation
http://yale.edu/life-yale/service	h2			Sub Navigation
http://yale.edu/life-yale/service	a			Arts & Culture
http://yale.edu/life-yale/service	a			Athletics & Recreation
http://yale.edu/life-yale/service	a			Belonging at Yale
http://yale.edu/life-yale/service	a			Health & Wellness
http://yale.edu/life-yale/service	a			New Haven
http://yale.edu/life-yale/service	a			Residential Life
http://yale.edu/life-yale/service	a			Service
http://yale.edu/life-yale/service	a			Student Groups & Activities
http://yale.edu/life-yale/service	h1			Service
http://yale.edu/life-yale/service	p			Public service is an integral part of a Yale education.
http://yale.edu/life-yale/service	p			Every year thousands of our students spend countless hours serving the local and global communities. This tradition of giving back continues to inspire them to be leaders in their communities long after graduation.
http://yale.edu/life-yale/service	h2			President’s Public Service Fellowship
http://yale.edu/life-yale/service	p			This fellowship program connects our students with a range of service opportunities in the New Haven community.
http://yale.edu/life-yale/service	a			President’s Public Service Fellowship
http://yale.edu/life-yale/service	h2			Dwight Hall
http://yale.edu/life-yale/service	p			You will find over 60 undergraduate-run community service groups at Dwight Hall, founded in 1858.
http://yale.edu/life-yale/service	a			Dwight Hall
http://yale.edu/life-yale/service	h2			Yale Day of Service
http://yale.edu/life-yale/service	p			Each spring, our alumni and friends around the world band together for community-improvement projects.
http://yale.edu/life-yale/service	a			Yale Day of Service
