url	parent	ps	ns	text
http://yale.edu/node/900	a			Skip to Main Content
http://yale.edu/node/900	p			It looks like you're trying to zoom in on this page. For best results: use the most recent version of your browser, disable your browser's 'zoom text only' setting, and use your browser's default font size settings.
http://yale.edu/node/900	p			To zoom in, use [Ctrl]   [ ] in Windows, and [Cmd]   [ ] on a Mac. To zoom out, use the keyboard shortcut [Ctrl]   [-] in Windows and [Cmd]   [-] on a Mac.
http://yale.edu/node/900	h1			Yale University
http://yale.edu/node/900	h2			Secondary Navigation
http://yale.edu/node/900	span			Calendars
http://yale.edu/node/900	span			Giving
http://yale.edu/node/900	span			News
http://yale.edu/node/900	span			Directories
http://yale.edu/node/900	span			Search
http://yale.edu/node/900	button			Navigation
http://yale.edu/node/900	label			Info for...
http://yale.edu/node/900	option			Students
http://yale.edu/node/900	option	option		Faculty
http://yale.edu/node/900	option	option		Staff
http://yale.edu/node/900	option	option		Alumni
http://yale.edu/node/900	h2			Main Navigation
http://yale.edu/node/900	a			About Yale
http://yale.edu/node/900	a			Leadership & Organization
http://yale.edu/node/900	a	a		Yale Facts
http://yale.edu/node/900	a	a		Traditions & History
http://yale.edu/node/900	a	a		Yale & the World
http://yale.edu/node/900	a	a		Visiting
http://yale.edu/node/900	a			Academics
http://yale.edu/node/900	a			Undergraduate Study
http://yale.edu/node/900	a	a		Graduate & Professional Study
http://yale.edu/node/900	a	a		Departments & Programs
http://yale.edu/node/900	a	a		Global Education
http://yale.edu/node/900	a	a		Summer Session
http://yale.edu/node/900	a	a		Non-Degree Offerings
http://yale.edu/node/900	a	a		Online Learning
http://yale.edu/node/900	a			Admissions
http://yale.edu/node/900	a			Undergraduate
http://yale.edu/node/900	a	a		Graduate & Professional Schools
http://yale.edu/node/900	a	a		Financial Aid
http://yale.edu/node/900	a	a		International Students
http://yale.edu/node/900	a	a		Summer Session
http://yale.edu/node/900	a	a		Non-Degree Seeking Students
http://yale.edu/node/900	a	a		World Fellows Program
http://yale.edu/node/900	a			Research & Collections
http://yale.edu/node/900	a			Research at Yale
http://yale.edu/node/900	a	a		Libraries
http://yale.edu/node/900	a	a		Museums & Galleries
http://yale.edu/node/900	a	a		Centers & Institutes
http://yale.edu/node/900	a	a		Digital Collections & Open Resources
http://yale.edu/node/900	a			Life at Yale
http://yale.edu/node/900	a			Arts & Culture
http://yale.edu/node/900	a	a		Athletics & Recreation
http://yale.edu/node/900	a	a		Belonging at Yale
http://yale.edu/node/900	a	a		Health & Wellness
http://yale.edu/node/900	a	a		New Haven
http://yale.edu/node/900	a	a		Residential Life
http://yale.edu/node/900	a	a		Service
http://yale.edu/node/900	a	a		Student Groups & Activities
http://yale.edu/node/900	span			Search
http://yale.edu/node/900	h2			Breadcrumb
http://yale.edu/node/900	span			Home
http://yale.edu/node/900	span			About Yale
http://yale.edu/node/900	span			Mission Statement
http://yale.edu/node/900	h2			Additional Navigation
http://yale.edu/node/900	h2			Sub Navigation
http://yale.edu/node/900	a			Leadership & Organization
http://yale.edu/node/900	a			Yale Facts
http://yale.edu/node/900	a			Traditions & History
http://yale.edu/node/900	a			Yale & the World
http://yale.edu/node/900	a			Visiting
http://yale.edu/node/900	h1			Mission Statement
http://yale.edu/node/900	p			Yale is committed to improving the world today and for future generations through outstanding research and scholarship, education, preservation, and practice. Yale educates aspiring leaders worldwide who serve all sectors of society. We carry out this mission through the free exchange of ideas in an ethical, interdependent, and diverse community of faculty, staff, students, and alumni.
http://yale.edu/node/900	label			Info for Visiting Yale
http://yale.edu/node/900	option			Campus Tours
http://yale.edu/node/900	option	option		Maps & Directions
http://yale.edu/node/900	option	option		Yale Visitor Center
http://yale.edu/node/900	option	option		Museums & Galleries
http://yale.edu/node/900	option	option		New Haven
http://yale.edu/node/900	option	option		More Visit Resources
http://yale.edu/node/900	h2			Helpful Links
http://yale.edu/node/900	a			Contact Us
http://yale.edu/node/900	a	a		Yale West Campus
http://yale.edu/node/900	a	a		Employment Opportunities
http://yale.edu/node/900	a	a		Privacy Policy
http://yale.edu/node/900	a	a		Emergency Info
http://yale.edu/node/900	a	a		Public Safety
http://yale.edu/node/900	a	a		Nondiscrimination & Title IX
http://yale.edu/node/900	a	a		Accessibility at Yale
http://yale.edu/node/900	a	a		Yale Mobile
http://yale.edu/node/900	h2			Visiting Yale
http://yale.edu/node/900	a			Campus Tours
http://yale.edu/node/900	a	a		Maps & Directions
http://yale.edu/node/900	a	a		Yale Visitor Center
http://yale.edu/node/900	a	a		Museums & Galleries
http://yale.edu/node/900	a	a		New Haven
http://yale.edu/node/900	a	a		More Visit Resources
http://yale.edu/node/900	figcaption			Yale on Instagram
http://yale.edu/node/900	h2			Social Links
http://yale.edu/node/900	span	span		Facebook
http://yale.edu/node/900	span	span		Twitter
http://yale.edu/node/900	span	span		YouTube
http://yale.edu/node/900	span	span		Sina Weibo
http://yale.edu/node/900	a			All Social Media
http://yale.edu/node/900	span			Copyright © 2019 Yale University
http://yale.edu/node/900	span			All Rights Reserved
http://yale.edu/node/900	a			Contact Web Editor
http://yale.edu/node/900	a			Back to top
http://yale.edu/node/900	h1			Yale University
http://yale.edu/node/900	span			Search
http://yale.edu/node/900	button		span	      Navigation      
http://yale.edu/node/900	h2			Main Navigation
http://yale.edu/node/900	span			About Yale
http://yale.edu/node/900	span			Academics
http://yale.edu/node/900	span			Admissions
http://yale.edu/node/900	span			Research & Collections
http://yale.edu/node/900	span			Life at Yale
http://yale.edu/node/900	h2			Secondary Navigation
http://yale.edu/node/900	span			Calendars
http://yale.edu/node/900	span			Giving
http://yale.edu/node/900	span			News
http://yale.edu/node/900	span			Directories
http://yale.edu/node/900	h2			Gateway Navigation
http://yale.edu/node/900	a			Students
http://yale.edu/node/900	a	a		Faculty
http://yale.edu/node/900	a	a		Staff
http://yale.edu/node/900	a	a		Alumni
