url	parent	ps	ns	text
http://yale.edu/privacy-policy	a			Skip to Main Content
http://yale.edu/privacy-policy	p			It looks like you're trying to zoom in on this page. For best results: use the most recent version of your browser, disable your browser's 'zoom text only' setting, and use your browser's default font size settings.
http://yale.edu/privacy-policy	p			To zoom in, use [Ctrl]   [ ] in Windows, and [Cmd]   [ ] on a Mac. To zoom out, use the keyboard shortcut [Ctrl]   [-] in Windows and [Cmd]   [-] on a Mac.
http://yale.edu/privacy-policy	h1			Yale University
http://yale.edu/privacy-policy	h2			Secondary Navigation
http://yale.edu/privacy-policy	span			Calendars
http://yale.edu/privacy-policy	span			Giving
http://yale.edu/privacy-policy	span			News
http://yale.edu/privacy-policy	span			Directories
http://yale.edu/privacy-policy	span			Search
http://yale.edu/privacy-policy	button			Navigation
http://yale.edu/privacy-policy	label			Info for...
http://yale.edu/privacy-policy	option			Students
http://yale.edu/privacy-policy	option	option		Faculty
http://yale.edu/privacy-policy	option	option		Staff
http://yale.edu/privacy-policy	option	option		Alumni
http://yale.edu/privacy-policy	h2			Main Navigation
http://yale.edu/privacy-policy	a			About Yale
http://yale.edu/privacy-policy	a			Leadership & Organization
http://yale.edu/privacy-policy	a	a		Yale Facts
http://yale.edu/privacy-policy	a	a		Traditions & History
http://yale.edu/privacy-policy	a	a		Yale & the World
http://yale.edu/privacy-policy	a	a		Visiting
http://yale.edu/privacy-policy	a			Academics
http://yale.edu/privacy-policy	a			Undergraduate Study
http://yale.edu/privacy-policy	a	a		Graduate & Professional Study
http://yale.edu/privacy-policy	a	a		Departments & Programs
http://yale.edu/privacy-policy	a	a		Global Education
http://yale.edu/privacy-policy	a	a		Summer Session
http://yale.edu/privacy-policy	a	a		Non-Degree Offerings
http://yale.edu/privacy-policy	a	a		Online Learning
http://yale.edu/privacy-policy	a			Admissions
http://yale.edu/privacy-policy	a			Undergraduate
http://yale.edu/privacy-policy	a	a		Graduate & Professional Schools
http://yale.edu/privacy-policy	a	a		Financial Aid
http://yale.edu/privacy-policy	a	a		International Students
http://yale.edu/privacy-policy	a	a		Summer Session
http://yale.edu/privacy-policy	a	a		Non-Degree Seeking Students
http://yale.edu/privacy-policy	a	a		World Fellows Program
http://yale.edu/privacy-policy	a			Research & Collections
http://yale.edu/privacy-policy	a			Research at Yale
http://yale.edu/privacy-policy	a	a		Libraries
http://yale.edu/privacy-policy	a	a		Museums & Galleries
http://yale.edu/privacy-policy	a	a		Centers & Institutes
http://yale.edu/privacy-policy	a	a		Digital Collections & Open Resources
http://yale.edu/privacy-policy	a			Life at Yale
http://yale.edu/privacy-policy	a			Arts & Culture
http://yale.edu/privacy-policy	a	a		Athletics & Recreation
http://yale.edu/privacy-policy	a	a		Belonging at Yale
http://yale.edu/privacy-policy	a	a		Health & Wellness
http://yale.edu/privacy-policy	a	a		New Haven
http://yale.edu/privacy-policy	a	a		Residential Life
http://yale.edu/privacy-policy	a	a		Service
http://yale.edu/privacy-policy	a	a		Student Groups & Activities
http://yale.edu/privacy-policy	span			Search
http://yale.edu/privacy-policy	h2			Breadcrumb
http://yale.edu/privacy-policy	span			Home
http://yale.edu/privacy-policy	span			Privacy Policy
http://yale.edu/privacy-policy	h1			Privacy Policy
http://yale.edu/privacy-policy	p			Yale University is committed to protecting your privacy.
http://yale.edu/privacy-policy	p			Any information you voluntarily provide to us through a Yale University website, such as an email address, name, or phone number, will never be sold to other colleges, universities, non-profit organizations, or businesses.
http://yale.edu/privacy-policy	h3			Information gathered automatically
http://yale.edu/privacy-policy	p		a	Unless you take steps to browse the Internet anonymously, or 
http://yale.edu/privacy-policy	a			opt-out
http://yale.edu/privacy-policy	p			, Yale University, like most institutions and organizations on the Internet, tracks web browsing patterns to inform understanding of how our sites are being used. Generic information is collected through the use of “cookies,” which are text files placed on your computer, to evaluate usage patterns so that we can improve both content and distribution. You may refuse the use of cookies by selecting the appropriate settings on your browser; however, doing so may prevent you from using the full functionality of all of our websites.
http://yale.edu/privacy-policy	p			Some sections of Yale University-owned websites use Google Analytics, a web analytics service provided by Google, Inc. Google Analytics uses cookies to help us analyze how users use our sites. The information generated by the cookie about your use of the website includes your IP address. This information will be transmitted to and stored by Google on its servers. Google will use this information for the purpose of evaluating your use of the website, compiling reports on website activity, and providing other services relating to Internet usage. Google may also transfer this information to third parties where required to do so by law, or where such third parties process the information on Google’s behalf. Google will not associate your IP address with any other data held by Google. By using this website, you consent to the processing of data about you by Google in the manner and for the purposes set out above.
http://yale.edu/privacy-policy	p			Yale University maintains a security operations unit, charged with monitoring the security of Yale University systems, IT infrastructure, and IT network. Industry-standard practices are employed to monitor these IT assets for signs of vulnerability, attack and/or compromise.
http://yale.edu/privacy-policy	p		a	Please visit the following pages for more information on Google Analytics 
http://yale.edu/privacy-policy	a			terms of use
http://yale.edu/privacy-policy	p		a	 and Google’s 
http://yale.edu/privacy-policy	a			privacy practices
http://yale.edu/privacy-policy	h3			Information you provide to us
http://yale.edu/privacy-policy	p			To communicate effectively with visitors to our website, we may ask you for personally-identifiable information that can include, by way of illustration, name, email address, or phone number. Yale University will never sell personally-identifiable information you voluntarily provide to us such as name, email address, or phone number, to other colleges, universities, nonprofit organizations, or businesses unless we have your consent to sell the information.
http://yale.edu/privacy-policy	h3			External links
http://yale.edu/privacy-policy	p			Some Yale University websites may contain links to external websites not owned by, or officially affiliated with, Yale University in any way. Yale University is not responsible for the privacy practices or the content of such websites.
http://yale.edu/privacy-policy	h3			Contact information
http://yale.edu/privacy-policy	p		br	If you have any questions about this privacy statement or the practices of this website, you may contact:
http://yale.edu/privacy-policy	p		br	 Yale University
http://yale.edu/privacy-policy	p		br	 Office of Public Affairs & Communications
http://yale.edu/privacy-policy	p			 203.432.1333
http://yale.edu/privacy-policy	label			Info for Visiting Yale
http://yale.edu/privacy-policy	option			Campus Tours
http://yale.edu/privacy-policy	option	option		Maps & Directions
http://yale.edu/privacy-policy	option	option		Yale Visitor Center
http://yale.edu/privacy-policy	option	option		Museums & Galleries
http://yale.edu/privacy-policy	option	option		New Haven
http://yale.edu/privacy-policy	option	option		More Visit Resources
http://yale.edu/privacy-policy	h2			Helpful Links
http://yale.edu/privacy-policy	a			Contact Us
http://yale.edu/privacy-policy	a	a		Yale West Campus
http://yale.edu/privacy-policy	a	a		Employment Opportunities
http://yale.edu/privacy-policy	a	a		Privacy Policy
http://yale.edu/privacy-policy	a	a		Emergency Info
http://yale.edu/privacy-policy	a	a		Public Safety
http://yale.edu/privacy-policy	a	a		Nondiscrimination & Title IX
http://yale.edu/privacy-policy	a	a		Accessibility at Yale
http://yale.edu/privacy-policy	a	a		Yale Mobile
http://yale.edu/privacy-policy	h2			Visiting Yale
http://yale.edu/privacy-policy	a			Campus Tours
http://yale.edu/privacy-policy	a	a		Maps & Directions
http://yale.edu/privacy-policy	a	a		Yale Visitor Center
http://yale.edu/privacy-policy	a	a		Museums & Galleries
http://yale.edu/privacy-policy	a	a		New Haven
http://yale.edu/privacy-policy	a	a		More Visit Resources
http://yale.edu/privacy-policy	figcaption			Yale on Instagram
http://yale.edu/privacy-policy	h2			Social Links
http://yale.edu/privacy-policy	span	span		Facebook
http://yale.edu/privacy-policy	span	span		Twitter
http://yale.edu/privacy-policy	span	span		YouTube
http://yale.edu/privacy-policy	span	span		Sina Weibo
http://yale.edu/privacy-policy	a			All Social Media
http://yale.edu/privacy-policy	span			Copyright © 2019 Yale University
http://yale.edu/privacy-policy	span			All Rights Reserved
http://yale.edu/privacy-policy	a			Contact Web Editor
http://yale.edu/privacy-policy	a			Back to top
http://yale.edu/privacy-policy	h1			Yale University
http://yale.edu/privacy-policy	span			Search
http://yale.edu/privacy-policy	button		span	      Navigation      
http://yale.edu/privacy-policy	h2			Main Navigation
http://yale.edu/privacy-policy	span			About Yale
http://yale.edu/privacy-policy	span			Academics
http://yale.edu/privacy-policy	span			Admissions
http://yale.edu/privacy-policy	span			Research & Collections
http://yale.edu/privacy-policy	span			Life at Yale
http://yale.edu/privacy-policy	h2			Secondary Navigation
http://yale.edu/privacy-policy	span			Calendars
http://yale.edu/privacy-policy	span			Giving
http://yale.edu/privacy-policy	span			News
http://yale.edu/privacy-policy	span			Directories
http://yale.edu/privacy-policy	h2			Gateway Navigation
http://yale.edu/privacy-policy	a			Students
http://yale.edu/privacy-policy	a	a		Faculty
http://yale.edu/privacy-policy	a	a		Staff
http://yale.edu/privacy-policy	a	a		Alumni
