url	parent	ps	ns	text
http://yale.edu/research-collections/museums-galleries	a			Skip to Main Content
http://yale.edu/research-collections/museums-galleries	p			It looks like you're trying to zoom in on this page. For best results: use the most recent version of your browser, disable your browser's 'zoom text only' setting, and use your browser's default font size settings.
http://yale.edu/research-collections/museums-galleries	p			To zoom in, use [Ctrl]   [ ] in Windows, and [Cmd]   [ ] on a Mac. To zoom out, use the keyboard shortcut [Ctrl]   [-] in Windows and [Cmd]   [-] on a Mac.
http://yale.edu/research-collections/museums-galleries	h1			Yale University
http://yale.edu/research-collections/museums-galleries	h2			Secondary Navigation
http://yale.edu/research-collections/museums-galleries	span			Calendars
http://yale.edu/research-collections/museums-galleries	span			Giving
http://yale.edu/research-collections/museums-galleries	span			News
http://yale.edu/research-collections/museums-galleries	span			Directories
http://yale.edu/research-collections/museums-galleries	span			Search
http://yale.edu/research-collections/museums-galleries	button			Navigation
http://yale.edu/research-collections/museums-galleries	label			Info for...
http://yale.edu/research-collections/museums-galleries	option			Students
http://yale.edu/research-collections/museums-galleries	option	option		Faculty
http://yale.edu/research-collections/museums-galleries	option	option		Staff
http://yale.edu/research-collections/museums-galleries	option	option		Alumni
http://yale.edu/research-collections/museums-galleries	h2			Main Navigation
http://yale.edu/research-collections/museums-galleries	a			About Yale
http://yale.edu/research-collections/museums-galleries	a			Leadership & Organization
http://yale.edu/research-collections/museums-galleries	a	a		Yale Facts
http://yale.edu/research-collections/museums-galleries	a	a		Traditions & History
http://yale.edu/research-collections/museums-galleries	a	a		Yale & the World
http://yale.edu/research-collections/museums-galleries	a	a		Visiting
http://yale.edu/research-collections/museums-galleries	a			Academics
http://yale.edu/research-collections/museums-galleries	a			Undergraduate Study
http://yale.edu/research-collections/museums-galleries	a	a		Graduate & Professional Study
http://yale.edu/research-collections/museums-galleries	a	a		Departments & Programs
http://yale.edu/research-collections/museums-galleries	a	a		Global Education
http://yale.edu/research-collections/museums-galleries	a	a		Summer Session
http://yale.edu/research-collections/museums-galleries	a	a		Non-Degree Offerings
http://yale.edu/research-collections/museums-galleries	a	a		Online Learning
http://yale.edu/research-collections/museums-galleries	a			Admissions
http://yale.edu/research-collections/museums-galleries	a			Undergraduate
http://yale.edu/research-collections/museums-galleries	a	a		Graduate & Professional Schools
http://yale.edu/research-collections/museums-galleries	a	a		Financial Aid
http://yale.edu/research-collections/museums-galleries	a	a		International Students
http://yale.edu/research-collections/museums-galleries	a	a		Summer Session
http://yale.edu/research-collections/museums-galleries	a	a		Non-Degree Seeking Students
http://yale.edu/research-collections/museums-galleries	a	a		World Fellows Program
http://yale.edu/research-collections/museums-galleries	a			Research & Collections
http://yale.edu/research-collections/museums-galleries	a			Research at Yale
http://yale.edu/research-collections/museums-galleries	a	a		Libraries
http://yale.edu/research-collections/museums-galleries	a	a		Museums & Galleries
http://yale.edu/research-collections/museums-galleries	a	a		Centers & Institutes
http://yale.edu/research-collections/museums-galleries	a	a		Digital Collections & Open Resources
http://yale.edu/research-collections/museums-galleries	a			Life at Yale
http://yale.edu/research-collections/museums-galleries	a			Arts & Culture
http://yale.edu/research-collections/museums-galleries	a	a		Athletics & Recreation
http://yale.edu/research-collections/museums-galleries	a	a		Belonging at Yale
http://yale.edu/research-collections/museums-galleries	a	a		Health & Wellness
http://yale.edu/research-collections/museums-galleries	a	a		New Haven
http://yale.edu/research-collections/museums-galleries	a	a		Residential Life
http://yale.edu/research-collections/museums-galleries	a	a		Service
http://yale.edu/research-collections/museums-galleries	a	a		Student Groups & Activities
http://yale.edu/research-collections/museums-galleries	span			Search
http://yale.edu/research-collections/museums-galleries	h2			Breadcrumb
http://yale.edu/research-collections/museums-galleries	span			Home
http://yale.edu/research-collections/museums-galleries	span			Research & Collections
http://yale.edu/research-collections/museums-galleries	span			Museums & Galleries
http://yale.edu/research-collections/museums-galleries	h2			Additional Navigation
http://yale.edu/research-collections/museums-galleries	h2			Sub Navigation
http://yale.edu/research-collections/museums-galleries	a			Research at Yale
http://yale.edu/research-collections/museums-galleries	a			Libraries
http://yale.edu/research-collections/museums-galleries	a			Museums & Galleries
http://yale.edu/research-collections/museums-galleries	a			Centers & Institutes
http://yale.edu/research-collections/museums-galleries	a			Digital Collections & Open Resources
http://yale.edu/research-collections/museums-galleries	h1			Museums & Galleries
http://yale.edu/research-collections/museums-galleries	p			Chances are you will learn something new every time you enter Yale’s world-class museums and galleries — all of them open to the public, almost all of them free of charge.
http://yale.edu/research-collections/museums-galleries	span			There you will find cultural and scientific treasures, from Van Gogh’s “Night 
http://yale.edu/research-collections/museums-galleries	p		span	Café”
http://yale.edu/research-collections/museums-galleries	span			 to the 
http://yale.edu/research-collections/museums-galleries	p		span	Gutenberg
http://yale.edu/research-collections/museums-galleries	span			 Bible to historic musical instruments to fossils of the earliest dinosaurs that walked the earth. There, too, are works by leading innovators in art, architecture, moving image, and design.
http://yale.edu/research-collections/museums-galleries	p			First-hand encounters with Yale’s collections are an integral part of teaching and learning across the university and forge creative connections that inspire tomorrow’s leaders. People of all ages are invited to visit the collections, join an exhibition tour, take classes with artists and curators, and enjoy the many other public programs offered throughout the year.
http://yale.edu/research-collections/museums-galleries	h2			Yale University Art Gallery
http://yale.edu/research-collections/museums-galleries	p			The oldest U.S. college art museum, the gallery houses more than 200,000 objects, both ancient and modern. 
http://yale.edu/research-collections/museums-galleries	h2			Yale Center for British Art
http://yale.edu/research-collections/museums-galleries	p			This Louis Kahn-designed building contains the largest collection of British art outside the United Kingdom.
http://yale.edu/research-collections/museums-galleries	h2			Peabody Museum of Natural History
http://yale.edu/research-collections/museums-galleries	p			The museum boasts renowned collections of dinosaur fossils, minerals, cultural artifacts, and more.
http://yale.edu/research-collections/museums-galleries	h2			Sterling Memorial Library
http://yale.edu/research-collections/museums-galleries	p			This cathedral-like library holds about 4 million volumes, and hosts exhibitions, lectures, and other events.
http://yale.edu/research-collections/museums-galleries	h2			Beinecke Rare Book and Manuscript Library
http://yale.edu/research-collections/museums-galleries	p			Inside these translucent marble walls are many historic items and documents, including a copy of the Gutenberg Bible.
http://yale.edu/research-collections/museums-galleries	h2			Lewis Walpole Library
http://yale.edu/research-collections/museums-galleries	p			Located in Farmington, Connecticut, this library focuses on the life and times of 18th-century historian Horace Walpole.
http://yale.edu/research-collections/museums-galleries	h2			Collection of Musical Instruments
http://yale.edu/research-collections/museums-galleries	p			The center has nearly 1,000 instruments that document the history of the world’s music traditions.
http://yale.edu/research-collections/museums-galleries	h2			Whitney Humanities Center
http://yale.edu/research-collections/museums-galleries	p			The Gallery at the Whitney hosts exhibits of works by artists from the Yale and New Haven communities.
http://yale.edu/research-collections/museums-galleries	h2			Yale School of Art Galleries
http://yale.edu/research-collections/museums-galleries	p			Works by both students and faculty artists are on exhibit in the Green Gallery and 32 Edgewood Gallery.
http://yale.edu/research-collections/museums-galleries	h2			Yale School of Architecture Gallery
http://yale.edu/research-collections/museums-galleries	p			The exhibits in this gallery explore how the field of architecture and individual designers impact how we live.
http://yale.edu/research-collections/museums-galleries	label			Info for Visiting Yale
http://yale.edu/research-collections/museums-galleries	option			Campus Tours
http://yale.edu/research-collections/museums-galleries	option	option		Maps & Directions
http://yale.edu/research-collections/museums-galleries	option	option		Yale Visitor Center
http://yale.edu/research-collections/museums-galleries	option	option		Museums & Galleries
http://yale.edu/research-collections/museums-galleries	option	option		New Haven
http://yale.edu/research-collections/museums-galleries	option	option		More Visit Resources
http://yale.edu/research-collections/museums-galleries	h2			Helpful Links
http://yale.edu/research-collections/museums-galleries	a			Contact Us
