url	parent	ps	ns	text
http://yale.edu/social-media	a			Skip to Main Content
http://yale.edu/social-media	p			It looks like you're trying to zoom in on this page. For best results: use the most recent version of your browser, disable your browser's 'zoom text only' setting, and use your browser's default font size settings.
http://yale.edu/social-media	p			To zoom in, use [Ctrl]   [ ] in Windows, and [Cmd]   [ ] on a Mac. To zoom out, use the keyboard shortcut [Ctrl]   [-] in Windows and [Cmd]   [-] on a Mac.
http://yale.edu/social-media	h1			Yale University
http://yale.edu/social-media	h2			Secondary Navigation
http://yale.edu/social-media	span			Calendars
http://yale.edu/social-media	span			Giving
http://yale.edu/social-media	span			News
http://yale.edu/social-media	span			Directories
http://yale.edu/social-media	span			Search
http://yale.edu/social-media	button			Navigation
http://yale.edu/social-media	label			Info for...
http://yale.edu/social-media	option			Students
http://yale.edu/social-media	option	option		Faculty
http://yale.edu/social-media	option	option		Staff
http://yale.edu/social-media	option	option		Alumni
http://yale.edu/social-media	h2			Main Navigation
http://yale.edu/social-media	a			About Yale
http://yale.edu/social-media	a			Leadership & Organization
http://yale.edu/social-media	a	a		Yale Facts
http://yale.edu/social-media	a	a		Traditions & History
http://yale.edu/social-media	a	a		Yale & the World
http://yale.edu/social-media	a	a		Visiting
http://yale.edu/social-media	a			Academics
http://yale.edu/social-media	a			Undergraduate Study
http://yale.edu/social-media	a	a		Graduate & Professional Study
http://yale.edu/social-media	a	a		Departments & Programs
http://yale.edu/social-media	a	a		Global Education
http://yale.edu/social-media	a	a		Summer Session
http://yale.edu/social-media	a	a		Non-Degree Offerings
http://yale.edu/social-media	a	a		Online Learning
http://yale.edu/social-media	a			Admissions
http://yale.edu/social-media	a			Undergraduate
http://yale.edu/social-media	a	a		Graduate & Professional Schools
http://yale.edu/social-media	a	a		Financial Aid
http://yale.edu/social-media	a	a		International Students
http://yale.edu/social-media	a	a		Summer Session
http://yale.edu/social-media	a	a		Non-Degree Seeking Students
http://yale.edu/social-media	a	a		World Fellows Program
http://yale.edu/social-media	a			Research & Collections
http://yale.edu/social-media	a			Research at Yale
http://yale.edu/social-media	a	a		Libraries
http://yale.edu/social-media	a	a		Museums & Galleries
http://yale.edu/social-media	a	a		Centers & Institutes
http://yale.edu/social-media	a	a		Digital Collections & Open Resources
http://yale.edu/social-media	a			Life at Yale
http://yale.edu/social-media	a			Arts & Culture
http://yale.edu/social-media	a	a		Athletics & Recreation
http://yale.edu/social-media	a	a		Belonging at Yale
http://yale.edu/social-media	a	a		Health & Wellness
http://yale.edu/social-media	a	a		New Haven
http://yale.edu/social-media	a	a		Residential Life
http://yale.edu/social-media	a	a		Service
http://yale.edu/social-media	a	a		Student Groups & Activities
http://yale.edu/social-media	span			Search
http://yale.edu/social-media	h2			Breadcrumb
http://yale.edu/social-media	span			Home
http://yale.edu/social-media	span			Stay Connected to Yale University
