url	parent	ps	ns	text
http://www.admission.ucla.edu	a			Skip to content
http://www.admission.ucla.edu	a			UCLA.edu
http://www.admission.ucla.edu	a			Students
http://www.admission.ucla.edu	a			Prospective
http://www.admission.ucla.edu	a			Current
http://www.admission.ucla.edu	a			Faculty
http://www.admission.ucla.edu	a			Staff
http://www.admission.ucla.edu	a			Alumni
http://www.admission.ucla.edu	a			Parents & Family
http://www.admission.ucla.edu	a			UCLA Undergraduate Admission
http://www.admission.ucla.edu	label			Search Admission
http://www.admission.ucla.edu	a			Menu
http://www.admission.ucla.edu	a			PROSPECTIVE STUDENTS
http://www.admission.ucla.edu	a			CURRENT APPLICANTS
http://www.admission.ucla.edu	a			ADMITTED STUDENTS
http://www.admission.ucla.edu	a			TOURS
http://www.admission.ucla.edu	a			CONTACT
http://www.admission.ucla.edu	h2			Welcome to UCLA
http://www.admission.ucla.edu	p			We're a global university located on a beautiful neighborhood campus in one of the world's great cities. UCLA has a long tradition of academic and research excellence, which is universally respected by leading employers and graduate schools alike. We offer 130 majors, and dozens of our academic programs rank among the top programs in the U.S.
http://www.admission.ucla.edu	p			Los Angeles is about dreaming big, so let us help you realize your dreams. At UCLA, you can discover your purpose, develop your career and determine to make a meaningful difference in society. That's what it means to be part of the worldwide UCLA community.
http://www.admission.ucla.edu	h3			Information for
http://www.admission.ucla.edu	h4			Applicants
http://www.admission.ucla.edu	p			How and when to apply
http://www.admission.ucla.edu	h4			Parents
http://www.admission.ucla.edu	p			Supporting your student's transition to college
http://www.admission.ucla.edu	h4			Counselors
http://www.admission.ucla.edu	p			Answering your student's questions about UCLA
http://www.admission.ucla.edu	h4			Veterans
http://www.admission.ucla.edu	p			Coming to UCLA  from the U.S. Armed Forces
http://www.admission.ucla.edu	h4			UCLA Students
http://www.admission.ucla.edu	p			Transferring course credit and advanced placement
http://www.admission.ucla.edu	h4			Virtual Tour
http://www.admission.ucla.edu	p			Take a virtual tour of campus from your computer or mobile device.
http://www.admission.ucla.edu	h4			Get Connected!
http://www.admission.ucla.edu	p			Sign up for updates and additional info from UCLA...
http://www.admission.ucla.edu	h4			Bruin Blog
http://www.admission.ucla.edu	p			Experience Bruin Life from our students and receive  updates from our staff!
http://www.admission.ucla.edu	h3			News & Events
http://www.admission.ucla.edu	a		span	UCLA ranked No. 1 U.S. public university
http://www.admission.ucla.edu	span			                    Read press release ››
http://www.admission.ucla.edu	a		span	UCLA receives $1 billion in research funding annually, with about 6,000 funded research projects underway at any given time.
http://www.admission.ucla.edu	span			                    Read UCLA fast facts  ››
http://www.admission.ucla.edu	h3			Connect with UCLA
http://www.admission.ucla.edu	span			Facebook icon 
http://www.admission.ucla.edu	a			Facebook
http://www.admission.ucla.edu	span			Twitter icon 
http://www.admission.ucla.edu	a			Twitter
http://www.admission.ucla.edu	span			Instagram icon 
http://www.admission.ucla.edu	a			Instagram
http://www.admission.ucla.edu	span			Snapchat icon 
http://www.admission.ucla.edu	a			Snapchat
http://www.admission.ucla.edu	span			LinkedIn icon 
http://www.admission.ucla.edu	a			LinkedIn
http://www.admission.ucla.edu	span			Youtube icon 
http://www.admission.ucla.edu	a			YouTube
http://www.admission.ucla.edu	span			UCLA on Facebook
http://www.admission.ucla.edu	span			UCLA on Twitter
http://www.admission.ucla.edu	span			UCLA on Instagram
http://www.admission.ucla.edu	span			UCLA on Snapchat
http://www.admission.ucla.edu	span			UCLA on LinkedIn
http://www.admission.ucla.edu	span			UCLA on YouTube
http://www.admission.ucla.edu	span			UCLA.edu Homepage
http://www.admission.ucla.edu	em			Information
http://www.admission.ucla.edu	span			Careers
http://www.admission.ucla.edu	span			Directory
http://www.admission.ucla.edu	span			Contact
http://www.admission.ucla.edu	span			Academic Calendar
http://www.admission.ucla.edu	span			Maps, Directions
http://www.admission.ucla.edu	span			Parking & Transportation
http://www.admission.ucla.edu	span			Emergency
http://www.admission.ucla.edu	em			Campus Values
http://www.admission.ucla.edu	span			Equity, Diversity & Inclusion
http://www.admission.ucla.edu	span			Environment & Sustainability
http://www.admission.ucla.edu	span			True Bruin Statement
http://www.admission.ucla.edu	span			Volunteerism
http://www.admission.ucla.edu	em			Event Venues
http://www.admission.ucla.edu	span			Luskin Conference Center
http://www.admission.ucla.edu	span			Event Planning
http://www.admission.ucla.edu	span			Film Production
http://www.admission.ucla.edu	span			UCLA UNDERGRADUATE ADMISSION
http://www.admission.ucla.edu	a			Terms of Use
http://www.admission.ucla.edu	a			Accessibility
http://www.admission.ucla.edu	a			Report Misconduct
http://www.ucla.edu	a			Skip to Navigation
http://www.ucla.edu	a			Skip to Search
http://www.ucla.edu	a			Skip to Main Content
http://www.ucla.edu	a			Skip to Footer Links
http://www.ucla.edu	a			Prospective Students
http://www.ucla.edu	a			Current Students
http://www.ucla.edu	a			Faculty
http://www.ucla.edu	a			Staff
http://www.ucla.edu	a			Alumni
http://www.ucla.edu	a			Parents & Families
http://www.ucla.edu	a			UCLA
http://www.ucla.edu	a		span	Apps
http://www.ucla.edu	a		span	Menu
http://www.ucla.edu	a			ABOUT
http://www.ucla.edu	a			Overview
http://www.ucla.edu	a			Chancellor
http://www.ucla.edu	a			Leadership
http://www.ucla.edu	a			Mission & Values
http://www.ucla.edu	a			Facts & Figures
http://www.ucla.edu	a			Awards & Honors
http://www.ucla.edu	a			History
http://www.ucla.edu	a			Impact & Accomplishments
http://www.ucla.edu	a			Iconic & Influential Alumni
http://www.ucla.edu	a			Rankings
http://www.ucla.edu	a			Centers & Institutes
http://www.ucla.edu	a			Careers
http://www.ucla.edu	a	ul		Close (X)
http://www.ucla.edu	a			ACADEMICS
http://www.ucla.edu	a			Undergraduate Education
http://www.ucla.edu	a			Graduate & Professional Education
http://www.ucla.edu	a			Continuing Education
http://www.ucla.edu	a			Academic Opportunities
http://www.ucla.edu	a			Departments & Programs
http://www.ucla.edu	a			Libraries
http://www.ucla.edu	a			ADMISSION
http://www.ucla.edu	a			Admission Overview
http://www.ucla.edu	a			Undergraduate Admission
http://www.ucla.edu	a			Graduate Admission
http://www.ucla.edu	a			Extension Enrollment
http://www.ucla.edu	a			International Admission
http://www.ucla.edu	a			Transfer Admission
http://www.ucla.edu	a			Affordability & Financial Aid
http://www.ucla.edu	a			UCLA IN THE COMMUNITY
http://www.ucla.edu	a			Community Programs & Partnerships
http://www.ucla.edu	a			K-12 Education Programs & Resources
http://www.ucla.edu	a			Academic Programs
http://www.ucla.edu	a			Health Care
http://www.ucla.edu	a			Arts & Culture
http://www.ucla.edu	a			THE ARTS
http://www.ucla.edu	a			Arts Overview
http://www.ucla.edu	a			School of the Arts and Architecture
http://www.ucla.edu	a			Herb Alpert School of Music
http://www.ucla.edu	a			School of Theater, Film and Television
http://www.ucla.edu	a			Performing Arts
http://www.ucla.edu	a			Museums
http://www.ucla.edu	a			Arts In The Community
http://www.ucla.edu	a			CAMPUS LIFE
http://www.ucla.edu	a			Values
http://www.ucla.edu	a			Housing & Dining
http://www.ucla.edu	a			LA Lifestyle
http://www.ucla.edu	a			Health & Safety
http://www.ucla.edu	a			Clubs, Organizations & Recreation
http://www.ucla.edu	a			Student Support
http://www.ucla.edu	a			HEALTH SYSTEM
http://www.ucla.edu	a			For Patients
http://www.ucla.edu	a			For Healthcare Professionals
http://www.ucla.edu	a			Education
http://www.ucla.edu	a			Giving Back to UCLA
http://www.ucla.edu	a			RESEARCH
http://www.ucla.edu	a			Research Across Campus
http://www.ucla.edu	a			Undergraduate Research
http://www.ucla.edu	a			Graduate Research
http://www.ucla.edu	a			Research and Entrepreneurship
http://www.ucla.edu	a			Administration Overview
http://www.ucla.edu	a			ATHLETICS
http://www.ucla.edu	a			Visit
http://www.ucla.edu	a			Apply
http://www.ucla.edu	a			Give
http://www.ucla.edu	strong			A LIFE-SAVING GIFT
http://www.ucla.edu	span			Donations to the UCLA's Blood & Platelet Center are vital to patient care at UCLA hospitals.
http://www.ucla.edu	strong			CONCRETE SOLUTION
http://www.ucla.edu	span			Inside the effort to turn pollution into sustainable concrete.
http://www.ucla.edu	strong			A HEALTHIER NEW YEAR
http://www.ucla.edu	span			Think of UCLA's Semel Healthy Campus Initiative as your personal coach.
http://www.ucla.edu	strong			THE CHANCELLOR'S GREATEST NEEDS FUND
http://www.ucla.edu	span			Help UCLA provide one of the most enriching educational experiences in the world.
http://www.ucla.edu	h2			Featured Stories
http://www.ucla.edu	span	img		New source of space weather
http://www.ucla.edu	p			Magnetic storms originate closer to Earth than thought, threatening satellites
http://www.ucla.edu	span	img		Student launches mobile health clinic
http://www.ucla.edu	p			Ahmad Elhaija wants to provide affordable medical care in low-income communities in L.A.
http://www.ucla.edu	span	img		UCLA Arts winter events calendar
http://www.ucla.edu	p			Featured among the 200-plus events: Paul McCarthy, Ibram X. Kendi and Jane Fonda
http://www.ucla.edu	span			Previous Featured Stories
http://www.ucla.edu	span	span		Next Featured Stories
http://www.ucla.edu	h3			Newsroom
http://www.ucla.edu	a			UCLA Engineering online master’s program ranked No. 1 by U.S. News & World Report
http://www.ucla.edu	a			In key areas, U.S. protections for constitutional rights fall behind peer nations
http://www.ucla.edu	a			Ronald S. Brookmeyer named dean of the UCLA Fielding School of Public Health
http://www.ucla.edu	a			In memoriam: John Baldessari, 88, professor who reshaped Conceptual art
http://www.ucla.edu	a			First male member of the spirit squad’s dance team attracting attention
http://www.ucla.edu	a			Enter Newsroom
http://www.ucla.edu	h3			Happenings
http://www.ucla.edu	li		a	       For Happenings, go to 
http://www.ucla.edu	a			http://happenings.ucla.edu
http://www.ucla.edu	a			Enter Happenings
