url	parent	ps	ns	text
http://www.ucla.edu/admission	a			Skip to Navigation
http://www.ucla.edu/admission	a			Skip to Search
http://www.ucla.edu/admission	a			Skip to Main Content
http://www.ucla.edu/admission	a			Skip to Footer Links
http://www.ucla.edu/admission	a			Prospective Students
http://www.ucla.edu/admission	a			Current Students
http://www.ucla.edu/admission	a			Faculty
http://www.ucla.edu/admission	a			Staff
http://www.ucla.edu/admission	a			Alumni
http://www.ucla.edu/admission	a			Parents & Families
http://www.ucla.edu/admission	a			UCLA
http://www.ucla.edu/admission	a		span	Apps
http://www.ucla.edu/admission	a		span	Menu
http://www.ucla.edu/admission	a			ABOUT
http://www.ucla.edu/admission	a			Overview
http://www.ucla.edu/admission	a			Chancellor
http://www.ucla.edu/admission	a			Leadership
http://www.ucla.edu/admission	a			Mission & Values
http://www.ucla.edu/admission	a			Facts & Figures
http://www.ucla.edu/admission	a			Awards & Honors
http://www.ucla.edu/admission	a			History
http://www.ucla.edu/admission	a			Impact & Accomplishments
http://www.ucla.edu/admission	a			Iconic & Influential Alumni
http://www.ucla.edu/admission	a			Rankings
http://www.ucla.edu/admission	a			Centers & Institutes
http://www.ucla.edu/admission	a			Careers
http://www.ucla.edu/admission	a	ul		Close (X)
http://www.ucla.edu/admission	a			ACADEMICS
http://www.ucla.edu/admission	a			Overview
http://www.ucla.edu/admission	a			Undergraduate Education
http://www.ucla.edu/admission	a			Graduate & Professional Education
http://www.ucla.edu/admission	a			Continuing Education
http://www.ucla.edu/admission	a			Academic Opportunities
http://www.ucla.edu/admission	a			Faculty
http://www.ucla.edu/admission	a			Departments & Programs
http://www.ucla.edu/admission	a			Libraries
http://www.ucla.edu/admission	a	ul		Close (X)
http://www.ucla.edu/admission	a			ADMISSION
http://www.ucla.edu/admission	a			Admission Overview
http://www.ucla.edu/admission	a			Undergraduate Admission
http://www.ucla.edu/admission	a			Graduate Admission
http://www.ucla.edu/admission	a			Extension Enrollment
http://www.ucla.edu/admission	a			International Admission
http://www.ucla.edu/admission	a			Transfer Admission
http://www.ucla.edu/admission	a			Affordability & Financial Aid
http://www.ucla.edu/admission	a	ul		Close (X)
http://www.ucla.edu/admission	a			UCLA IN THE COMMUNITY
http://www.ucla.edu/admission	a			Overview
http://www.ucla.edu/admission	a			Community Programs & Partnerships
http://www.ucla.edu/admission	a			K-12 Education Programs & Resources
http://www.ucla.edu/admission	a			Academic Programs
http://www.ucla.edu/admission	a			Health Care
http://www.ucla.edu/admission	a			Arts & Culture
http://www.ucla.edu/admission	a	ul		Close (X)
http://www.ucla.edu/admission	a			THE ARTS
http://www.ucla.edu/admission	a			Arts Overview
http://www.ucla.edu/admission	a			School of the Arts and Architecture
http://www.ucla.edu/admission	a			Herb Alpert School of Music
http://www.ucla.edu/admission	a			School of Theater, Film and Television
http://www.ucla.edu/admission	a			Performing Arts
http://www.ucla.edu/admission	a			Museums
http://www.ucla.edu/admission	a			Arts In The Community
http://www.ucla.edu/admission	a	ul		Close (X)
http://www.ucla.edu/admission	a			CAMPUS LIFE
http://www.ucla.edu/admission	a			Overview
http://www.ucla.edu/admission	a			Values
http://www.ucla.edu/admission	a			Housing & Dining
http://www.ucla.edu/admission	a			LA Lifestyle
http://www.ucla.edu/admission	a			Health & Safety
