url	parent	ps	ns	text
https://www.stanford.edu/search	a			Skip to content
https://www.stanford.edu/search	a			Stanford University
https://www.stanford.edu/search	a			Students
https://www.stanford.edu/search	a			Faculty & Staff
https://www.stanford.edu/search	a			Parents
https://www.stanford.edu/search	a			Visitors
https://www.stanford.edu/search	a			Alumni
https://www.stanford.edu/search	button			Search
https://www.stanford.edu/search	button			Menu
https://www.stanford.edu/search	a			News
https://www.stanford.edu/search	a			Events
https://www.stanford.edu/search	a			Academics
https://www.stanford.edu/search	a			Research
https://www.stanford.edu/search	a			Health Care
https://www.stanford.edu/search	a			Campus Life
https://www.stanford.edu/search	a			Admission
https://www.stanford.edu/search	a			About
https://www.stanford.edu/search	label			Search term
https://www.stanford.edu/search	h2			Search Stanford:
https://www.stanford.edu/search	label			Web
https://www.stanford.edu/search	label			People
https://www.stanford.edu/search	button			 Search Web
https://www.stanford.edu/search	p		a	       Other ways to search:         
https://www.stanford.edu/search	a			Map
https://www.stanford.edu/search	a			Profiles
https://www.stanford.edu/search	h1			Search Results
https://www.stanford.edu/search	span	span		Facebook
https://www.stanford.edu/search	span	span		Twitter
https://www.stanford.edu/search	span	span		Instagram
https://www.stanford.edu/search	span	span		YouTube
https://www.stanford.edu/search	span	span		iTunes U
https://www.stanford.edu/search	span		sup	 F / 10
https://www.stanford.edu/search	span			   clear sky 
https://www.stanford.edu/search	h3			Schools
https://www.stanford.edu/search	a			Business
https://www.stanford.edu/search	a			Earth, Energy & Environmental Sciences
https://www.stanford.edu/search	a			Education
https://www.stanford.edu/search	a			Engineering
https://www.stanford.edu/search	a			Humanities & Sciences
https://www.stanford.edu/search	a			Law
https://www.stanford.edu/search	a			Medicine
https://www.stanford.edu/search	h3			Departments
https://www.stanford.edu/search	a		span	Departments A 
https://www.stanford.edu/search	a			Interdisciplinary Programs
https://www.stanford.edu/search	h3			Research
https://www.stanford.edu/search	a		span	Research Centers A 
https://www.stanford.edu/search	a			Interdisciplinary Research
https://www.stanford.edu/search	a			Libraries
https://www.stanford.edu/search	h3			Health Care
https://www.stanford.edu/search	a			Stanford Health Care
https://www.stanford.edu/search	a			Stanford Children's Health
https://www.stanford.edu/search	h3			Online Learning
https://www.stanford.edu/search	a			Stanford Online
https://www.stanford.edu/search	h3			About Stanford
https://www.stanford.edu/search	a			Facts
https://www.stanford.edu/search	a			History
https://www.stanford.edu/search	a			Accreditation
https://www.stanford.edu/search	h3			Admission
https://www.stanford.edu/search	a			Undergraduate
https://www.stanford.edu/search	a			Graduate
https://www.stanford.edu/search	a			Financial Aid
https://www.stanford.edu/search	h3			Resources
https://www.stanford.edu/search	a			 Z Index
https://www.stanford.edu/search	a			Campus Map
https://www.stanford.edu/search	a			Directory
https://www.stanford.edu/search	a			Stanford Profiles
https://www.stanford.edu/search	a			Applying
https://www.stanford.edu/search	a			Visiting
https://www.stanford.edu/search	a			Giving
https://www.stanford.edu/search	a			Careers
https://www.stanford.edu/search	a			Contact
https://www.stanford.edu/search	a		br	Stanford
https://www.stanford.edu/search	a			University
https://www.stanford.edu/search	a			Stanford Home
https://www.stanford.edu/search	a			Maps & Directions
https://www.stanford.edu/search	a			Search Stanford
https://www.stanford.edu/search	a			Emergency Info
https://www.stanford.edu/search	a			Terms of Use
https://www.stanford.edu/search	a			Privacy
https://www.stanford.edu/search	a			Copyright
https://www.stanford.edu/search	a			Trademarks
https://www.stanford.edu/search	a			Non-Discrimination
https://www.stanford.edu/search	a			Accessibility
https://www.stanford.edu/search	span	span		Copyright 
https://www.stanford.edu/search	span			Stanford University
https://www.stanford.edu/search	span			Stanford
https://www.stanford.edu/search	span			California
https://www.stanford.edu/search	span			94305
