url	parent	ps	ns	text
https://www.yale.edu/life-yale	a			Skip to Main Content
https://www.yale.edu/life-yale	p			It looks like you're trying to zoom in on this page. For best results: use the most recent version of your browser, disable your browser's 'zoom text only' setting, and use your browser's default font size settings.
https://www.yale.edu/life-yale	p			To zoom in, use [Ctrl]   [ ] in Windows, and [Cmd]   [ ] on a Mac. To zoom out, use the keyboard shortcut [Ctrl]   [-] in Windows and [Cmd]   [-] on a Mac.
https://www.yale.edu/life-yale	h1			Yale University
https://www.yale.edu/life-yale	h2			Secondary Navigation
https://www.yale.edu/life-yale	span			Calendars
https://www.yale.edu/life-yale	span			Giving
https://www.yale.edu/life-yale	span			News
https://www.yale.edu/life-yale	span			Directories
https://www.yale.edu/life-yale	span			Search
https://www.yale.edu/life-yale	button			Navigation
https://www.yale.edu/life-yale	label			Info for...
https://www.yale.edu/life-yale	option			Students
https://www.yale.edu/life-yale	option	option		Faculty
https://www.yale.edu/life-yale	option	option		Staff
https://www.yale.edu/life-yale	option	option		Alumni
https://www.yale.edu/life-yale	h2			Main Navigation
https://www.yale.edu/life-yale	a			About Yale
https://www.yale.edu/life-yale	a			Leadership & Organization
https://www.yale.edu/life-yale	a	a		Yale Facts
https://www.yale.edu/life-yale	a	a		Traditions & History
https://www.yale.edu/life-yale	a	a		Yale & the World
https://www.yale.edu/life-yale	a	a		Visiting
https://www.yale.edu/life-yale	a			Academics
https://www.yale.edu/life-yale	a			Undergraduate Study
https://www.yale.edu/life-yale	a	a		Graduate & Professional Study
https://www.yale.edu/life-yale	a	a		Departments & Programs
https://www.yale.edu/life-yale	a	a		Global Education
https://www.yale.edu/life-yale	a	a		Summer Session
https://www.yale.edu/life-yale	a	a		Non-Degree Offerings
https://www.yale.edu/life-yale	a	a		Online Learning
https://www.yale.edu/life-yale	a			Admissions
https://www.yale.edu/life-yale	a			Undergraduate
https://www.yale.edu/life-yale	a	a		Graduate & Professional Schools
https://www.yale.edu/life-yale	a	a		Financial Aid
https://www.yale.edu/life-yale	a	a		International Students
https://www.yale.edu/life-yale	a	a		Summer Session
https://www.yale.edu/life-yale	a	a		Non-Degree Seeking Students
https://www.yale.edu/life-yale	a	a		World Fellows Program
https://www.yale.edu/life-yale	a			Research & Collections
https://www.yale.edu/life-yale	a			Research at Yale
https://www.yale.edu/life-yale	a	a		Libraries
https://www.yale.edu/life-yale	a	a		Museums & Galleries
https://www.yale.edu/life-yale	a	a		Centers & Institutes
https://www.yale.edu/life-yale	a	a		Digital Collections & Open Resources
https://www.yale.edu/life-yale	a			Life at Yale
https://www.yale.edu/life-yale	a			Arts & Culture
https://www.yale.edu/life-yale	a	a		Athletics & Recreation
https://www.yale.edu/life-yale	a	a		Belonging at Yale
https://www.yale.edu/life-yale	a	a		Health & Wellness
https://www.yale.edu/life-yale	a	a		New Haven
https://www.yale.edu/life-yale	a	a		Residential Life
https://www.yale.edu/life-yale	a	a		Service
https://www.yale.edu/life-yale	a	a		Student Groups & Activities
https://www.yale.edu/life-yale	span			Search
https://www.yale.edu/life-yale	a			@Yale on Instagram
https://www.yale.edu/life-yale	p			Deepest gratitude to the student photographers who capture the beauty of Yale's campus! Take one final look back at four seasons in 2019.
https://www.yale.edu/life-yale	a			3775
https://www.yale.edu/life-yale	p			Deepest gratitude to the student photographers who capture the beauty of Yale's campus! Take one final look back at four seasons in 2019. #yale
https://www.yale.edu/life-yale	a			4194
https://www.yale.edu/life-yale	p			Deepest gratitude to the student photographers who capture the beauty of Yale's campus! Take one final look back at four seasons in 2019. #yale
https://www.yale.edu/life-yale	a			2914
https://www.yale.edu/life-yale	p			Deepest gratitude to the student photographers who capture the beauty of Yale's campus! Take one final look back at four seasons in 2019. #yale
https://www.yale.edu/life-yale	a			4804
https://www.yale.edu/life-yale	p			Wishing you a happy New Year and all the best in 2020!
https://www.yale.edu/life-yale	a			13025
https://www.yale.edu/life-yale	p			A book tree brings holiday spirit to the Yale Medical Historical Library, made from over 500 volumes of the National Union Catalog @yalemedhistlib…
https://www.yale.edu/life-yale	a			20303
https://www.yale.edu/life-yale	a			104
https://www.yale.edu/life-yale	p			Wishing the Yale community a restful winter break and holiday season. See you in the new year!
https://www.yale.edu/life-yale	a			9008
https://www.yale.edu/life-yale	p			Queen Elizabeth I is holding court on the Yale Center for British Arts fourth floor.  The earliest full-length portrait of the iconic English monarch,…
https://www.yale.edu/life-yale	a			7095
